Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pemegang Saham,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,17870926997.000000,1404607850.000000,117453181.000000,1287154669.000000,1404607850.000000,29961401.000000,,29961401.000000,29961401.000000,791331197.000000,,429280437.000000,20526107882.000000,,1001944176.000000,12941080206.000000,,,,351344542.000000,14294368924.000000,34820476806.000000,,,9684560213.000000,,7335940646.000000,,7335940646.000000,,,,,850900967.000000,1497718600.000000,,,,,,,,9684560213.000000,2843189896.000000,,,,,,,2843189896.000000,2843189896.000000,12527750109.000000,,1650000000.000000,,20642726697.000000,,,20642726697.000000,,,22292726697.000000,34820476806.000000,16500.000000
12M 2010,,,42941621233.000000,1265833816.000000,54005529.000000,1211828287.000000,1265833816.000000,568307894.000000,7250416.000000,561057478.000000,568307894.000000,1254694714.000000,,371819584.000000,46402277241.000000,,1086839459.000000,21655711721.000000,,,,860302875.000000,23602854055.000000,70005131296.000000,,,8849293541.000000,,5441340890.000000,,5441340890.000000,,,,,1144517676.000000,1509363005.000000,,,,,202666670.000000,202666670.000000,551405300.000000,8849293541.000000,3642482773.000000,,,219555555.000000,219555555.000000,,,3422927218.000000,3642482773.000000,12491776314.000000,,28600000000.000000,20594902093.000000,8318452889.000000,,,8318452889.000000,,,57513354982.000000,70005131296.000000,286000000.000000
12M 2011,,,56285807682.000000,919732050.000000,874731261.000000,45000789.000000,919732050.000000,602010697.000000,587954315.000000,14056382.000000,602010697.000000,1247929531.000000,,596073179.000000,59651553139.000000,,1266630782.000000,19857186383.000000,,,,858234542.000000,21982051707.000000,81633604846.000000,,,13380851287.000000,,9467777948.000000,,9467777948.000000,,,,,683806528.000000,2062364625.000000,,,,,202666667.000000,202666667.000000,964235519.000000,13380851287.000000,4044032635.000000,,,16888888.000000,16888888.000000,,,4027143747.000000,4044032635.000000,17424883922.000000,,28600000000.000000,20594902093.000000,15013818831.000000,,,15013818831.000000,,,64208720924.000000,81633604846.000000,286000000.000000
12M 2012,,,63184647982.000000,1156807097.000000,1096316064.000000,60491033.000000,1156807097.000000,765234316.000000,743597858.000000,21636458.000000,765234316.000000,982354661.000000,,1145378173.000000,67234422229.000000,,1420119587.000000,18167619927.000000,,,,851344542.000000,20439084056.000000,87673506285.000000,,,11532673713.000000,,8493451471.000000,,8493451471.000000,,26269153.000000,,26269153.000000,792813479.000000,1418205653.000000,,,,,16888889.000000,16888889.000000,785045068.000000,11532673713.000000,5035208157.000000,,,,,,,5035208157.000000,5035208157.000000,16567881870.000000,,28600000000.000000,20594902093.000000,21843922322.000000,2544218427.000000,19299703895.000000,21843922322.000000,,66800000.000000,71105624415.000000,87673506285.000000,286000000.000000
12M 2013,,,61156407204.000000,1736094391.000000,1711942466.000000,24151925.000000,1736094391.000000,532972576.000000,512652901.000000,20319675.000000,532972576.000000,945764376.000000,,14009016021.000000,78380254568.000000,,1513740070.000000,15947958646.000000,,,,851344542.000000,18313043258.000000,96693297826.000000,,,13497036111.000000,,10470520450.000000,,10470520450.000000,,,,,528087604.000000,1800277137.000000,,,,,,,698150920.000000,13497036111.000000,5437894617.000000,,,,,,,5437894617.000000,5437894617.000000,18934930728.000000,,28600000000.000000,20594902093.000000,28461727505.000000,3910239125.000000,24551488380.000000,28461727505.000000,,101737500.000000,77758367098.000000,96693297826.000000,286000000.000000
12M 2014,,,74502422159.000000,1249473361.000000,1229595330.000000,19878031.000000,1249473361.000000,924779692.000000,763433304.000000,161346388.000000,924779692.000000,1028332924.000000,,1232804777.000000,78937812913.000000,,1550700502.000000,13969285584.000000,,,,851344542.000000,16371330628.000000,95309143541.000000,,,8735835892.000000,,4506548323.000000,,4506548323.000000,,85642680.000000,,85642680.000000,1596922160.000000,1731881888.000000,,,,,,,814840841.000000,8735835892.000000,5648440455.000000,,,,,,,5648440455.000000,5648440455.000000,14384276347.000000,,28600000000.000000,20594902093.000000,31487818533.000000,5233800162.000000,26254018371.000000,31487818533.000000,268936568.000000,-26790000.000000,80924867194.000000,95309143541.000000,286000000.000000
12M 2015,,,74549383128.000000,893030709.000000,810650296.000000,82380413.000000,893030709.000000,925343564.000000,763085755.000000,162257809.000000,925343564.000000,1170014500.000000,,822822376.000000,78360594277.000000,,1731916548.000000,12162138964.000000,,,,851344542.000000,14745400054.000000,93105994331.000000,,,10766729572.000000,,5791314595.000000,,5791314595.000000,,89437800.000000,,89437800.000000,1577686021.000000,2052444436.000000,,,,,,,1255846720.000000,10766729572.000000,5914242259.000000,,,,,,,5914242259.000000,5914242259.000000,16680971831.000000,,28600000000.000000,20594902093.000000,27123290930.000000,5333800162.000000,21789490768.000000,27123290930.000000,268566977.000000,-161737500.000000,76425022500.000000,93105994331.000000,286000000.000000
12M 2016,,,17249674947.000000,2808699910.000000,2808699910.000000,,2808699910.000000,7843025345.000000,6643025345.000000,1200000000.000000,7843025345.000000,,,18978461689.000000,46879861891.000000,,1300256502.000000,7615652642.000000,,,95083656364.000000,,103999565508.000000,150879427399.000000,,,65647358350.000000,,55150033.000000,,55150033.000000,,,,,197284034.000000,240193893.000000,,58209589041.000000,,,,,6945141349.000000,65647358350.000000,1166696464.000000,,,,,,,1166696464.000000,1166696464.000000,66814054814.000000,,31460000000.000000,26725542022.000000,25878855161.000000,5333800162.000000,20545054999.000000,25878855161.000000,975402.000000,,84065372585.000000,150879427399.000000,314600000.000000
12M 2017,,,5682568917.000000,2905356751.000000,2905356751.000000,,2905356751.000000,1276032450.000000,76032450.000000,1200000000.000000,1276032450.000000,,,36563173633.000000,46427131751.000000,,573213402.000000,6600084336.000000,,,128812439685.000000,,135985737423.000000,182412869174.000000,,,71632995613.000000,,,,,,,,,494632411.000000,408073395.000000,,59644350000.000000,,5243691267.000000,,5243691267.000000,5842248540.000000,71632995613.000000,27460770700.000000,,26051060078.000000,,26051060078.000000,,,1409710622.000000,27460770700.000000,99093766313.000000,,31460000000.000000,26751902022.000000,25106213794.000000,5333800162.000000,19772413632.000000,25106213794.000000,987045.000000,,83319102861.000000,182412869174.000000,314600000.000000
12M 2018,,,2638028101.000000,14111630205.000000,14111630205.000000,,14111630205.000000,1327013142.000000,127013142.000000,1200000000.000000,1327013142.000000,,,12907939254.000000,30984610702.000000,,488892782.000000,184835176289.000000,,,,22906904690.000000,208230973761.000000,239215584463.000000,,,48022409114.000000,,,,,,7751508759.000000,10176000000.000000,17927508759.000000,1157587026.000000,1118125821.000000,,,,9314468097.000000,,9314468097.000000,18504719411.000000,48022409114.000000,97141354406.000000,,31709844534.000000,,31709844534.000000,63475938750.000000,,1955571122.000000,97141354406.000000,145163763520.000000,,31460000000.000000,26751902022.000000,17231439431.000000,5333800162.000000,11897639269.000000,17231439431.000000,1145838.000000,18607333652.000000,94051820943.000000,239215584463.000000,314600000.000000
