Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Karyawan,Total Pembayaran Kas Kepada :,Penerimaan (Pembayaran) Kas Untuk Beban Operasi Lain,Pembayaran Untuk :,Pajak Final,Total Pembayaran Untuk :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Uang Muka Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Pembayaran Utang Bank Dan Lembaga Pembiayaan Dan Utang Sewa Pembiayaan,Penerimaan Dari Pihak Ketiga,Penerimaan Dari Ipo,Pembayaran Ke Payments To Pihak Ketiga,Penerimaan Dari (Pembayaran Ke) Pihak Ketiga Lainnya,Pembayaran Leasing,Pembayaran Dividen Kas Oleh Perusahaan,Pembayaran Dari Pembelian Saham Treasuri,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-19227234698.000000,38078064767.000000,,-50129937455.000000,-2073992500.000000,-52203929955.000000,-1885617772.000000,,-3215751738.000000,-3215751738.000000,-19227234698.000000,-1761778000.000000,-1470000000.000000,,-291778000.000000,-1761778000.000000,21167316458.000000,42500000000.000000,-8319824962.000000,,,-5000000.000000,-9602046699.000000,-63702348.000000,-3342109533.000000,,21167316458.000000,178303760.000000,1251346715.000000,1429650475.000000
12M 2020,14841970583.000000,51643617459.000000,,-27526768107.000000,-2046584250.000000,-29573352357.000000,-4694491810.000000,,-2533802709.000000,-2533802709.000000,14841970583.000000,-6850372965.000000,,-6850372965.000000,,-6850372965.000000,-8051068148.000000,,-2039094580.000000,,,-5000000000.000000,265365279.000000,-177338847.000000,-1100000000.000000,,-8051068148.000000,-59470530.000000,1429650475.000000,1370179945.000000
12M 2021,34049745809.000000,62147131894.000000,,-13955693463.000000,-2258522000.000000,-16214215463.000000,-6322697677.000000,,-5560472945.000000,-5560472945.000000,34049745809.000000,-14145861033.000000,-78835990.000000,-6428939750.000000,-7638085293.000000,-14145861033.000000,-9413766599.000000,,-5254501796.000000,,,,-4017405997.000000,-141858806.000000,,,-9413766599.000000,10490118177.000000,1370179946.000000,11860298123.000000
12M 2022,51025555020.000000,71669290647.000000,,-10616476485.000000,-3049000504.000000,-13665476989.000000,-2654599865.000000,,-4323658773.000000,-4323658773.000000,51025555020.000000,-22502326439.000000,-2490715837.000000,-8512733802.000000,-11498876800.000000,-22502326439.000000,-15893888232.000000,29556387990.000000,-39858817691.000000,,,-5000000000.000000,4787147735.000000,621393734.000000,-6000000000.000000,,-15893888232.000000,12629340349.000000,11860298123.000000,24489638472.000000
12M 2023,55944733195.000000,82235307898.000000,,-16343675265.000000,-3049842424.000000,-19393517689.000000,-1167056656.000000,,-5730000358.000000,-5730000358.000000,55944733195.000000,-27147951870.000000,-245387109.000000,-13768596591.000000,-13133968170.000000,-27147951870.000000,35436153946.000000,-5506582591.000000,-2010333175.000000,,,-4122039907.000000,10508209459.000000,113173864.000000,-1356250000.000000,37809976296.000000,35436153946.000000,64232935271.000000,24489638472.000000,88722573743.000000
12M 2024,82407022160.000000,111451857792.000000,,-17907287731.000000,-7521476014.000000,-25428763745.000000,2340233875.000000,,-5956305762.000000,-5956305762.000000,82407022160.000000,-68273554251.000000,-34578151424.000000,-860628099.000000,-32834774728.000000,-68273554251.000000,-12396978630.000000,-4917325503.000000,,,,-5000000000.000000,-818996829.000000,-306406298.000000,-1356250000.000000,2000000.000000,-12396978630.000000,1736489279.000000,88722573743.000000,90459063022.000000
