Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Piutang Usaha,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,1429650475.000000,13595430161.000000,977742000.000000,12617688161.000000,13595430161.000000,78011238490.000000,,,,,3700952583.000000,96737271709.000000,,46991207824.000000,35843619548.000000,,,8806883100.000000,91641710472.000000,188378982181.000000,,,25581722649.000000,,3335205781.000000,3335205781.000000,795442337.000000,575600000.000000,,,2039094580.000000,2912312520.000000,4951407100.000000,15924067431.000000,25581722649.000000,68355246853.000000,40052236513.000000,28303010340.000000,68355246853.000000,93936969502.000000,,35000000000.000000,,59442012679.000000,,59442012679.000000,59442012679.000000,,,94442012679.000000,188378982181.000000,35000.000000
12M 2020,,,1370179946.000000,11412355566.000000,977742000.000000,10434613566.000000,11412355566.000000,81737624206.000000,884863928.000000,884863928.000000,,884863928.000000,498692391.000000,95903716037.000000,,66225191968.000000,3475884725.000000,,,22593813225.000000,92294889918.000000,188198605955.000000,,,33162585255.000000,,3682741488.000000,3682741488.000000,488343123.000000,1293442614.000000,1313099446.000000,,5254501797.000000,3172209639.000000,8426711436.000000,17958247148.000000,33162585255.000000,51460317202.000000,34797734716.000000,16662582486.000000,51460317202.000000,84622902457.000000,,35000000000.000000,,68370880249.000000,,68370880249.000000,68370880249.000000,,204823249.000000,103575703498.000000,188198605955.000000,35000.000000
12M 2021,,,11860298123.000000,7385551885.000000,638876844.000000,6746675041.000000,7385551885.000000,66513282729.000000,1018728623.000000,884863928.000000,133864695.000000,1018728623.000000,8155765651.000000,94933627011.000000,,75439033631.000000,3668127206.000000,,,21027341094.000000,100134501931.000000,195068128942.000000,,,18988562605.000000,,703191758.000000,703191758.000000,1749176305.000000,3200850768.000000,1094914186.000000,,5637338564.000000,3357628721.000000,8994967285.000000,3245462303.000000,18988562605.000000,42373593358.000000,29160396154.000000,13213197204.000000,42373593358.000000,61362155963.000000,,35000000000.000000,,98531289423.000000,,98531289423.000000,98531289423.000000,,174683556.000000,133705972979.000000,195068128942.000000,35000.000000
12M 2022,,,24489638472.000000,5611598883.000000,,5611598883.000000,5611598883.000000,34089502714.000000,13091920.000000,,13091920.000000,13091920.000000,24899924781.000000,89103756770.000000,,100311997314.000000,5495711079.000000,,,15530553717.000000,121338262110.000000,210442018880.000000,,,29687789589.000000,,882599586.000000,882599586.000000,2151977503.000000,5138097666.000000,853164917.000000,,4198990541.000000,4008866043.000000,8207856584.000000,12454093333.000000,29687789589.000000,32134229649.000000,22306647651.000000,9827581998.000000,32134229649.000000,61822019238.000000,,108500000000.000000,,39542807342.000000,21700000000.000000,17842807342.000000,39542807342.000000,,577192300.000000,148619999642.000000,210442018880.000000,1085000000.000000
12M 2023,,,88722573743.000000,25756010348.000000,,25756010348.000000,25756010348.000000,22616424886.000000,12841920.000000,,12841920.000000,12841920.000000,38493613420.000000,175601464317.000000,,107651066591.000000,4914443801.000000,22062500.000000,,12762077434.000000,125349650326.000000,300951114643.000000,,,51895908734.000000,,26798550.000000,26798550.000000,1396605888.000000,11160660542.000000,649891649.000000,,4228176920.000000,4428446205.000000,8656623125.000000,30005328980.000000,51895908734.000000,22512787991.000000,16770878681.000000,5741909310.000000,22512787991.000000,74408696725.000000,,135625000000.000000,,79569737634.000000,24368710577.000000,55201027057.000000,79569737634.000000,,11347680284.000000,226542417918.000000,300951114643.000000,1356250000.000000
12M 2024,,,90459063222.000000,4266630927.000000,,4266630927.000000,4266630927.000000,14133231474.000000,720035828.000000,,720035828.000000,720035828.000000,6102502089.000000,115681463540.000000,,101754845826.000000,38524760234.000000,44750000.000000,1828749999.000000,76913151152.000000,219066257211.000000,334747720751.000000,,,40093594362.000000,,178910458.000000,178910458.000000,788277862.000000,10063760614.000000,497450274.000000,,4396645164.000000,4033594233.000000,8430239397.000000,20134955757.000000,40093594362.000000,13512784458.000000,11685085135.000000,1827699323.000000,13512784458.000000,53606378820.000000,,135625000000.000000,,134042636980.000000,27125000000.000000,106917636980.000000,134042636980.000000,1974079.000000,11471730872.000000,281141341931.000000,334747720751.000000,1356250000.000000
