Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Adjusment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1178572799002.000000,-1052523427000.000000,126049372002.000000,-66164959186.000000,,,-66164959186.000000,59884412816.000000,-12134750966.000000,2462744067.000000,-21262007843.000000,2971077419.000000,4716809610.000000,,-1023374219.000000,-12134750966.000000,47749661850.000000,-17676433233.000000,,,,-17676433233.000000,30073228617.000000,-510395.000000,30072718222.000000,,,,,30072718222.000000,30073228617.000000,-510395.000000,30072718222.000000,,,,
12M 2009,1037581722174.000000,-912288813843.000000,125292908331.000000,-70410675201.000000,,,-70410675201.000000,54882233130.000000,-24505407815.000000,1306447218.000000,-26452261023.000000,2667052734.000000,-6222693192.000000,,4196046448.000000,-24505407815.000000,30376825315.000000,-11759080118.000000,,,,-11759080118.000000,18617745197.000000,-1648204.000000,18616096993.000000,,,,,18616096993.000000,18617745197.000000,-1648204.000000,18616096993.000000,,,,
12M 2010,1048158672581.000000,-926587527436.000000,121571145145.000000,-76959045615.000000,,,-76959045615.000000,44612099530.000000,-24172251352.000000,1570440326.000000,-28053049668.000000,2006879729.000000,-1160102351.000000,,1463580612.000000,-24172251352.000000,20439848178.000000,-7611968125.000000,,,,-7611968125.000000,12827880053.000000,-2007086.000000,12825872967.000000,,,,,12825872967.000000,12827880053.000000,-2007086.000000,12825872967.000000,,,,
12M 2011,1164017876608.000000,-1013516179295.000000,150501697313.000000,-90751704792.000000,-88633482094.000000,-2118222698.000000,-90751704792.000000,59749992521.000000,-47986038452.000000,13646863339.000000,-43741604055.000000,4618913040.000000,-14647412021.000000,,-7862798755.000000,-47986038452.000000,11763954069.000000,-8515129318.000000,,,,-8515129318.000000,3248824751.000000,,3248824751.000000,759963458.000000,759963458.000000,759963458.000000,4008788209.000000,3248824751.000000,3245939489.000000,2885262.000000,3248824751.000000,4008788209.000000,4005902947.000000,2885262.000000,4008788209.000000
12M 2012,1602490003187.000000,-1367209221405.000000,235280781782.000000,-107905962527.000000,-104601593972.000000,-3304368555.000000,-107905962527.000000,127374819255.000000,-79148221258.000000,2654096322.000000,-55978770378.000000,202000711.000000,-21382971567.000000,,-4642576346.000000,-79148221258.000000,48226597997.000000,-19232888518.000000,,,,-19232888518.000000,28993709479.000000,,28993709479.000000,159772874.000000,159772874.000000,159772874.000000,29153482353.000000,28993709479.000000,28995930251.000000,-2220772.000000,28993709479.000000,29153482353.000000,29155703125.000000,-2220772.000000,29153482353.000000
12M 2013,1796548087821.000000,-1502727777428.000000,293820310393.000000,-123019882458.000000,-1979703793.000000,-121040178665.000000,-123019882458.000000,170800427935.000000,-114437497341.000000,4256388548.000000,-68193541374.000000,1310440763.000000,-52571006066.000000,,760220788.000000,-114437497341.000000,56362930594.000000,-26727442868.000000,,,,-26727442868.000000,29635487726.000000,,29635487726.000000,101439014.000000,101439014.000000,101439014.000000,29736926740.000000,29635487726.000000,29630210258.000000,5277468.000000,29635487726.000000,29736926740.000000,29731649272.000000,5277468.000000,29736926740.000000
12M 2014,1833216329110.000000,-1532893171686.000000,300323157424.000000,-150216211187.000000,-2524960010.000000,-147691251177.000000,-150216211187.000000,150106946237.000000,-72192749335.000000,2173345125.000000,-81369286596.000000,2331758606.000000,-7882615584.000000,,12554049114.000000,-72192749335.000000,77914196902.000000,-22208701966.000000,,,,-22208701966.000000,55705494936.000000,,55705494936.000000,-1245876382.000000,-1245876382.000000,-1245876382.000000,54459618554.000000,55705494936.000000,55705816085.000000,-321149.000000,55705494936.000000,54459618554.000000,54459939703.000000,-321149.000000,54459618554.000000
12M 2015,1598265131427.000000,-1300570209158.000000,297694922269.000000,-143095839518.000000,-1573283817.000000,-141522555701.000000,-143095839518.000000,154599082751.000000,-84568223735.000000,6704544453.000000,-67961916118.000000,1643166190.000000,-21375245787.000000,,-3578772473.000000,-84568223735.000000,70030859016.000000,-28749752714.000000,-27379440013.000000,-1370312701.000000,,-28749752714.000000,41281106302.000000,,41281106302.000000,1237239819.000000,1237239819.000000,1237239819.000000,42518346121.000000,41281106302.000000,41283013644.000000,-1907342.000000,41281106302.000000,42518346121.000000,42520216280.000000,-1870159.000000,42518346121.000000
12M 2016,1315633714236.000000,-1086563504724.000000,229070209512.000000,-128009352130.000000,-1181550506.000000,-126827801624.000000,-128009352130.000000,101060857382.000000,-46208569231.000000,4273098594.000000,-50359617288.000000,2887054534.000000,-1392510164.000000,,-1616594907.000000,-46208569231.000000,54852288151.000000,-28781971381.000000,-27924392320.000000,-857579061.000000,,-28781971381.000000,26070316770.000000,,26070316770.000000,1010330352.000000,1010330352.000000,1010330352.000000,27080647122.000000,26070316770.000000,26070246283.000000,70487.000000,26070316770.000000,27080647122.000000,27080562585.000000,84537.000000,27080647122.000000
12M 2017,1125128522648.000000,-926069356015.000000,199059166633.000000,-119497356754.000000,-1235521190.000000,-118261835564.000000,-119497356754.000000,79561809879.000000,-40647898151.000000,1204409621.000000,-41197397519.000000,1763100604.000000,-2322507722.000000,,-95503135.000000,-40647898151.000000,38913911728.000000,-17991548295.000000,,-16952556431.000000,-1038991864.000000,-17991548295.000000,20922363433.000000,,20922363433.000000,4267958236.000000,4267958236.000000,4267958236.000000,25190321669.000000,20922363433.000000,20922223290.000000,140143.000000,20922363433.000000,25190321668.000000,25190084516.000000,237152.000000,25190321668.000000
12M 2018,1298117469650.000000,-1085490238792.000000,212627230858.000000,-124117100239.000000,-1880086550.000000,-122237013689.000000,-124117100239.000000,88510130619.000000,-41102141555.000000,945841027.000000,-42856467571.000000,2354766344.000000,-632474339.000000,,-913807016.000000,-41102141555.000000,47407989064.000000,-20352902611.000000,,-17524863414.000000,-2828039197.000000,-20352902611.000000,27055086453.000000,,27055086453.000000,2463008109.000000,2463008109.000000,2463008109.000000,29518094562.000000,27055086453.000000,27054684979.000000,401474.000000,27055086453.000000,29518094562.000000,29517660757.000000,433805.000000,29518094562.000000
12M 2019,1596396576716.000000,-1360935451914.000000,235461124802.000000,-136676744797.000000,-2040916502.000000,-134635828295.000000,-136676744797.000000,98784380005.000000,-45192679993.000000,771334092.000000,-49951779575.000000,1671731658.000000,2420705387.000000,,-104671555.000000,-45192679993.000000,53591700012.000000,-20505428469.000000,,-17566773598.000000,-2938654871.000000,-20505428469.000000,33086271543.000000,,33086271543.000000,-1421222456.000000,-1421222456.000000,-1421222456.000000,31665049087.000000,33086271543.000000,33085812498.000000,459045.000000,33086271543.000000,31665049087.000000,31664596113.000000,452974.000000,31665049087.000000
12M 2020,1616390151557.000000,-1379095316110.000000,237294835447.000000,-132606831520.000000,-1291487642.000000,-131315343878.000000,-132606831520.000000,104688003927.000000,-54417458911.000000,1773107385.000000,-56891880423.000000,1447550941.000000,-112315605.000000,,-633921209.000000,-54417458911.000000,50270545016.000000,-22728347353.000000,,-20538376695.000000,-2189970658.000000,-22728347353.000000,27542197663.000000,,27542197663.000000,3675673817.000000,3675673817.000000,3675673817.000000,31217871480.000000,27542197663.000000,27541932779.000000,264884.000000,27542197663.000000,31217871480.000000,31217446170.000000,425310.000000,31217871480.000000
12M 2021,1645636804155.000000,-1428582501484.000000,217054302671.000000,-127379257432.000000,-1464055229.000000,-125915202203.000000,-127379257432.000000,89675045239.000000,-53534577031.000000,157363637.000000,-54448654403.000000,1103056640.000000,734917996.000000,,-1081260901.000000,-53534577031.000000,36140468208.000000,-17805001748.000000,,-14278393590.000000,-3526608158.000000,-17805001748.000000,18335466460.000000,,18335466460.000000,13365629946.000000,13365629946.000000,13365629946.000000,31701096406.000000,18335466460.000000,18334263708.000000,1202752.000000,18335466460.000000,31701096406.000000,31699319751.000000,1776655.000000,31701096406.000000
12M 2022,1706092477346.000000,-1494186250323.000000,211906227023.000000,-117863949783.000000,-4332957742.000000,-113530992041.000000,-117863949783.000000,94042277240.000000,-52862997998.000000,298011926.000000,-54026339218.000000,1715073499.000000,-797767106.000000,,-51977099.000000,-52862997998.000000,41179279242.000000,-21067927373.000000,,-18685145002.000000,-2382782371.000000,-21067927373.000000,20111351869.000000,,20111351869.000000,19930167763.000000,19930167763.000000,19930167763.000000,40041519632.000000,20111351869.000000,20110349420.000000,1002449.000000,20111351869.000000,40041519632.000000,40039801952.000000,1717680.000000,40041519632.000000
12M 2023,1779907291848.000000,-1566750035773.000000,213157256075.000000,-123671896165.000000,-4276797465.000000,-119395098700.000000,-123671896165.000000,89485359910.000000,-56870520118.000000,935527929.000000,-54570094789.000000,1376290997.000000,-4357797269.000000,,-254446986.000000,-56870520118.000000,32614839792.000000,-18426400893.000000,,-17514816936.000000,-911583957.000000,-18426400893.000000,14188438899.000000,,14188438899.000000,14251026625.000000,14251026625.000000,14251026625.000000,28439465524.000000,14188438899.000000,14187407353.000000,1031546.000000,14188438899.000000,28439465524.000000,28437833471.000000,1632053.000000,28439465524.000000
12M 2024,2140520184552.000000,-1937134192194.000000,203385992358.000000,-118924426504.000000,-4236938537.000000,-114687487967.000000,-118924426504.000000,84461565854.000000,-54656665615.000000,4510641447.000000,-62008522722.000000,1551333109.000000,434623688.000000,,855258863.000000,-54656665615.000000,29804900239.000000,-16490767506.000000,-15136930941.000000,649062124.000000,-2002898689.000000,-16490767506.000000,13314132733.000000,,13314132733.000000,-7504923966.000000,,-7504923966.000000,5809208767.000000,13314132683.000000,13312801588.000000,1331095.000000,13314132683.000000,5809208717.000000,5808200689.000000,1008028.000000,5809208717.000000
