Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Aset Pajak Tangguhan,Properti Investasi,Aset Eksplorasi Dan Evaluasi,Aset Tetap,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Surat Berharga Jangka Menengah,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Utang Pembelian Aset Tetap,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Adjusment,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Pembelian Kendaraan,Utang Pembelian Aset Tetap,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Surat Berharga Jangka Menengah,Utang Bank,Utang Lembaga Keuangan Lain,Utang Obligasi,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjusment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,81636405336.000000,254845296416.000000,1669368628.000000,253175927788.000000,254845296416.000000,10733992120.000000,,10733992120.000000,10733992120.000000,69119117695.000000,416334811567.000000,,8468150629.000000,,2895749939.000000,5168300000.000000,,176821828255.000000,,8824588193.000000,202178617016.000000,618513428583.000000,,,209775482277.000000,65345292516.000000,64821471477.000000,,,64821471477.000000,,,3449623988.000000,3449623988.000000,13263829704.000000,47305819454.000000,,,,8800589500.000000,,6597410945.000000,166540793.000000,15564541238.000000,24903900.000000,209775482277.000000,,207169482391.000000,,,,,,4681584251.000000,,92271760000.000000,,1674857672.000000,107405865.000000,,94054023537.000000,,,,98696417139.000000,,9737457464.000000,207169482391.000000,416944964668.000000,,21597063722.000000,92852290732.000000,1500000000.000000,91352290732.000000,92852290732.000000,11700415.000000,87107409046.000000,201568463915.000000,,618513428583.000000,770000000.000000
12M 2009,,,63334783117.000000,195604118099.000000,55836003.000000,195548282096.000000,195604118099.000000,13058997783.000000,,13058997783.000000,13058997783.000000,88595658571.000000,360593557570.000000,,9403117565.000000,,2536656432.000000,5168300000.000000,,165541156648.000000,11407063672.000000,8817089919.000000,202873384236.000000,563466941806.000000,,,165875301297.000000,25083972982.000000,77254468029.000000,,,77254468029.000000,,,5114839274.000000,5114839274.000000,6132720726.000000,33795711259.000000,,,,10066146582.000000,,8031076351.000000,107405865.000000,18204628798.000000,288960229.000000,165875301297.000000,,186561541054.000000,388178115.000000,,,,,4361621509.000000,,70314077514.000000,,1974045825.000000,,,72288123339.000000,,,,99217850283.000000,,10305767808.000000,186561541054.000000,352436842351.000000,,21597063722.000000,102228387725.000000,6500000000.000000,95728387725.000000,102228387725.000000,13203678.000000,87191444330.000000,211030099455.000000,,563466941806.000000,770000000.000000
12M 2010,,,48914699082.000000,235334370933.000000,31618470.000000,235302752463.000000,235334370933.000000,19253112669.000000,2501459529.000000,16751653140.000000,19253112669.000000,88068071878.000000,391570254562.000000,,7311985156.000000,,5249795441.000000,,,147635959871.000000,27257508269.000000,15926593189.000000,203381841926.000000,594952096488.000000,,,261859632718.000000,68478983370.000000,54601671294.000000,,,54601671294.000000,,1045931760.000000,29816809483.000000,30862741243.000000,3377275438.000000,47865464899.000000,,,,46512547886.000000,,3066504683.000000,5072691511.000000,54651744080.000000,2021752394.000000,261859632718.000000,,119070382172.000000,,,,,,,,101391763096.000000,,2128584830.000000,,3490597675.000000,107010945601.000000,,,,,,12059436571.000000,119070382172.000000,380930014890.000000,,21597063722.000000,105814260692.000000,9000000000.000000,96814260692.000000,105814260692.000000,11499923.000000,86599257261.000000,214022081598.000000,,594952096488.000000,770000000.000000
12M 2011,,,71803817364.000000,273851019656.000000,966841115.000000,272884178541.000000,273851019656.000000,16129275512.000000,3472715763.000000,12656559749.000000,16129275512.000000,87919014061.000000,449703126593.000000,,13232223422.000000,,5181162035.000000,,,427428446061.000000,49707329749.000000,40669936325.000000,536219097592.000000,985922224185.000000,,,417567450043.000000,160939541684.000000,51681033855.000000,,,51681033855.000000,,927830408.000000,32221967419.000000,33149797827.000000,9987411762.000000,64744680253.000000,,,,87619060830.000000,,5464003170.000000,3463300072.000000,96546364072.000000,518620590.000000,417567450043.000000,,356491799159.000000,12855965.000000,,,,,10183926216.000000,,254856485810.000000,,2439974912.000000,,1644359619.000000,258940820341.000000,,,67511514400.000000,,5151895676.000000,14690786561.000000,356491799159.000000,774059249202.000000,,21597063722.000000,91400200181.000000,,,91400200181.000000,6490361.000000,98859220719.000000,211862974983.000000,,985922224185.000000,770000000.000000
12M 2012,,,69602169149.000000,494018931654.000000,691289590.000000,493327642064.000000,494018931654.000000,18444466611.000000,2067382196.000000,16377084415.000000,18444466611.000000,70289118926.000000,652354686340.000000,,4896601798.000000,11169880358.000000,8690346517.000000,,,407057840913.000000,62092516136.000000,30316775661.000000,524223961383.000000,1176578647723.000000,,,604913733248.000000,298172899458.000000,87059815059.000000,,,87059815059.000000,,,22962948903.000000,22962948903.000000,17154966936.000000,95357565424.000000,,,,79866169016.000000,,3441133194.000000,67616668.000000,83374918878.000000,830618590.000000,604913733248.000000,,333728577922.000000,47226373.000000,,,,,24297918099.000000,,215832499780.000000,,1177323284.000000,,958901558.000000,217968724622.000000,,,73039156758.000000,,1198783264.000000,17176768806.000000,333728577922.000000,938642311170.000000,,21597063722.000000,128816130432.000000,11500000000.000000,117316130432.000000,128816130432.000000,4148806.000000,87518993593.000000,237936336553.000000,,1176578647723.000000,770000000.000000
12M 2013,,,105629347961.000000,464005267057.000000,42568241.000000,463962698816.000000,464005267057.000000,17547757441.000000,2233490371.000000,15314267070.000000,17547757441.000000,134098633197.000000,721281005656.000000,,426968639.000000,,11430037049.000000,,,406569506411.000000,68788060287.000000,69447315203.000000,556661887589.000000,1277942893245.000000,,,645157795529.000000,347728422556.000000,,8337129732.000000,67419312010.000000,75756441742.000000,,,19424818765.000000,19424818765.000000,17965290265.000000,79281152215.000000,,,,95919447634.000000,,8527546430.000000,419513144.000000,104866507208.000000,135162778.000000,645157795529.000000,,370887017949.000000,14325084.000000,,,,,11418605741.000000,,198881337296.000000,,6629539792.000000,,,205510877088.000000,34399373042.000000,,91771930847.000000,,4609613028.000000,23162293119.000000,370887017949.000000,1016044813478.000000,,30971619947.000000,152671340892.000000,14000000000.000000,138671340892.000000,152671340892.000000,9242546.000000,78245876382.000000,261898079767.000000,,1277942893245.000000,770000000.000000
12M 2014,,,125927427164.000000,418636357109.000000,42568241.000000,418593788868.000000,418636357109.000000,,,,,160893746322.000000,705457530595.000000,,10876397735.000000,,,,,507593258183.000000,,40215473131.000000,558685129049.000000,1264142659644.000000,,,728273748903.000000,349679329418.000000,,,84961030247.000000,84961030247.000000,,,,,10586823536.000000,51955363936.000000,8399532692.000000,,,216623771387.000000,,6057176311.000000,10721376.000000,222691669074.000000,,728273748903.000000,,225286369485.000000,,,,,,606848618.000000,,163662131068.000000,,2304033236.000000,,,165966164304.000000,34404150389.000000,,,,,24309206174.000000,225286369485.000000,953560118388.000000,,30971619947.000000,202602156775.000000,14000000000.000000,188602156775.000000,202602156775.000000,8764534.000000,77000000000.000000,310582541256.000000,,1264142659644.000000,770000000.000000
12M 2015,,,134409531510.000000,317535046714.000000,26294813.000000,317508751901.000000,317535046714.000000,,,,,111731874046.000000,563676452270.000000,,12466341734.000000,,12690927715.000000,,,474338230928.000000,,28581938790.000000,528077439167.000000,1091753891437.000000,,,651582818206.000000,367997856003.000000,,,73468207212.000000,73468207212.000000,,,,,13020826375.000000,46057718538.000000,,34763996582.000000,,114268429362.000000,,1960827706.000000,44956428.000000,116274213496.000000,,651582818206.000000,,101757607803.000000,,,,,,,,66102296272.000000,,278255158.000000,,,66380551430.000000,,,,,,35377056373.000000,101757607803.000000,753340426009.000000,,30971619947.000000,230435077155.000000,14000000000.000000,216435077155.000000,230435077155.000000,6768326.000000,77000000000.000000,338413465428.000000,,1091753891437.000000,770000000.000000
12M 2016,,,57110411569.000000,285424219992.000000,132042192.000000,285292177800.000000,285424219992.000000,,,,,109750340430.000000,452284971991.000000,,4718550611.000000,,14043874882.000000,,,443475154491.000000,,64609898787.000000,526847478771.000000,979132450762.000000,,,504510336330.000000,318443298358.000000,,,55966201287.000000,55966201287.000000,,,,,10486768964.000000,62766913854.000000,,,,56532049774.000000,,254525508.000000,60578585.000000,56847153867.000000,,504510336330.000000,,114903050902.000000,,,1130144963.000000,59827882920.000000,60958027883.000000,,,17386493028.000000,,,,,17386493028.000000,,,,,,36558529991.000000,114903050902.000000,619413387232.000000,,30971619947.000000,251740639740.000000,14000000000.000000,237740639740.000000,251740639740.000000,6803843.000000,77000000000.000000,359719063530.000000,,979132450762.000000,770000000.000000
12M 2017,,,69890081340.000000,290438320002.000000,230079612.000000,290208240390.000000,290438320002.000000,,,,,112854745276.000000,473183146618.000000,,5035296808.000000,,14717361555.000000,,,406237951632.000000,,60173981137.000000,486164591132.000000,959347737750.000000,,,471048328188.000000,335873753342.000000,,,62435448846.000000,62435448846.000000,,,,,5277589569.000000,44258742812.000000,,,,21175241118.000000,,1952706014.000000,74846487.000000,23202793619.000000,,471048328188.000000,,108010543971.000000,,,651197090.000000,56427000000.000000,57078197090.000000,,,12352221953.000000,,2564560634.000000,,,14916782587.000000,,,,,,36015564294.000000,108010543971.000000,579058872159.000000,,30971619947.000000,272310724257.000000,14000000000.000000,258310724257.000000,272310724257.000000,6521387.000000,77000000000.000000,380288865591.000000,,959347737750.000000,770000000.000000
