Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.60,261.76,1.60,261.76,81 B,197 B,278 B,197 B,207 B
12M 2009,0.67,274.05,0.67,274.05,43 B,176 B,219 B,156 B,195 B
12M 2010,0.72,277.94,0.72,277.94,123 B,107 B,230 B,181 B,130 B
12M 2011,0.80,275.14,0.80,275.14,257 B,342 B,599 B,527 B,32 B
12M 2012,0.63,309.00,0.63,309.00,382 B,317 B,698 B,628 B,47 B
12M 2013,0.56,340.12,0.56,340.12,453 B,348 B,800 B,695 B,76 B
12M 2014,0.54,403.34,0.54,403.34,581 B,201 B,782 B,656 B,(23 B)
12M 2015,0.49,439.49,0.49,439.49,519 B,66 B,585 B,451 B,(88 B)
12M 2016,0.51,467.16,0.51,467.16,375 B,17 B,393 B,336 B,(52 B)
12M 2017,0.47,493.87,0.47,493.87,359 B,15 B,374 B,304 B,2 B
12M 2018,0.49,527.21,0.49,527.21,381 B,5 B,386 B,308 B,51 B
12M 2019,0.44,562.33,0.44,562.33,430 B,112 B,543 B,479 B,20 B
12M 2020,0.46,592.78,0.46,592.78,467 B,119 B,586 B,503 B,45 B
12M 2021,0.33,628.95,0.33,628.95,473 B,53 B,525 B,438 B,91 B
12M 2022,0.33,679.33,0.33,679.33,454 B,11 B,465 B,395 B,146 B
12M 2023,0.27,713.57,0.27,713.57,479 B,21 B,500 B,403 B,227 B
12M 2024,0.23,721.11,0.23,721.11,535 B,12 B,546 B,442 B,366 B
