Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2016,121 B,(16 B),105 B,316.63
12M 2017,134 B,(56 B),78 B,235.49
12M 2018,144 B,(19 B),125 B,377.73
12M 2019,70 B,(10 B),59 B,179.53
12M 2020,10 B,(2 B),7 B,22.61
12M 2021,(44 B),(3 B),(47 B),-141.03
12M 2022,81 B,(10 B),71 B,215.37
12M 2023,116 B,(10 B),106 B,321.21
12M 2024,165 B,(12 B),152 B,459.94
