Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Restitusi Pajak,Pembayaran Pajak Final,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Penjualan Aset Tetap,Hasil Penjualan Investasi Dalam Saham,Penerimaan (Penempatan) Investasi Dalam Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Bunga,Pembayaran Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Pembayaran Liabilitas Sewa Hak Guna,Pembayaran Beban Keuangan Atas Psak No. 73,Pembayaran Bunga Atas Sewa Pembiayaan,Pembayaran Bunga Liabilitas Sewa,Pembayaran Bunga Dibayar Dimuka - Liabilitas Sewa,Pembayaran Dividen,Pembayaran Dividen Kepentingan Nonpengendali Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,121214147880.000000,1430649744185.000000,-1287132849084.000000,59602435.000000,-194696906.000000,-22167652750.000000,121214147880.000000,-13520388018.000000,4573440964.000000,-15434849649.000000,-912615697.000000,3636364.000000,-1750000000.000000,,-13520388018.000000,-155624024275.000000,-14671413824.000000,-34845452735.000000,,,,,,,-105984000000.000000,-123157716.000000,-155624024275.000000,-47930264413.000000,394909291774.000000,-193998404.000000,346785028957.000000
12M 2017,134300892693.000000,1597671528575.000000,-1504714661489.000000,51938809498.000000,-275587451.000000,-10319196440.000000,134300892693.000000,-47115572606.000000,7100133501.000000,-26734122528.000000,-29571529034.000000,339945455.000000,1750000000.000000,,-47115572606.000000,-47556261906.000000,-11755126276.000000,-35801135630.000000,,,,,,,,,-47556261906.000000,39629058181.000000,346785028957.000000,45045707.000000,386459132845.000000
12M 2018,143850720091.000000,1993771385409.000000,-1837684322511.000000,8326663343.000000,,-20563006150.000000,143850720091.000000,-9825438552.000000,8896208458.000000,-16751983066.000000,-1995300308.000000,25636364.000000,,,-9825438552.000000,-52138062000.000000,-9861900427.000000,-42276161573.000000,,,,,,,,,-52138062000.000000,81887219539.000000,386459132845.000000,3657984177.000000,472004336561.000000
12M 2019,69860681633.000000,1758203301194.000000,-1645506660772.000000,,-205833757.000000,-42630125032.000000,69860681633.000000,-2607680365.000000,7767535977.000000,-10401489069.000000,,26272727.000000,,,-2607680365.000000,-50922352000.000000,-6739575821.000000,-44182776179.000000,,,,,,,,,-50922352000.000000,16330649268.000000,472004336561.000000,-1494426595.000000,486840559234.000000
12M 2020,9972343041.000000,252116550304.000000,-273075992152.000000,38425517694.000000,-100387672.000000,-7393345133.000000,9972343041.000000,4750334661.000000,7235749955.000000,-2485415294.000000,,,,,4750334661.000000,-6544713721.000000,,,-5927770484.000000,,,,-335076409.000000,-281866828.000000,,,-6544713721.000000,8177963981.000000,486840559234.000000,1148479881.000000,496167003096.000000
12M 2021,-43511399189.000000,72358047087.000000,-137006533361.000000,21187009414.000000,-14245785.000000,-35676544.000000,-43511399189.000000,5638903335.000000,8351512597.000000,-1300478994.000000,-1898039359.000000,485909091.000000,,,5638903335.000000,-22093284240.000000,,,-21606440319.000000,,,,-486843921.000000,,,,-22093284240.000000,-59965780094.000000,496167003096.000000,776629380.000000,436977852382.000000
12M 2022,81490511612.000000,314361624985.000000,-241319942087.000000,8687443890.000000,-43505733.000000,-195109443.000000,81490511612.000000,-3384822775.000000,6303300410.000000,-10161096158.000000,,472972973.000000,,,-3384822775.000000,-25765987571.000000,,,-21826796145.000000,,,,-3936035726.000000,,,-3155700.000000,-25765987571.000000,52339701266.000000,436977852382.000000,6813675854.000000,496131229502.000000
12M 2023,116026250462.000000,715013223049.000000,-592727501994.000000,,-38511875.000000,-6220958718.000000,116026250462.000000,-1698396099.000000,7867097627.000000,-9640472726.000000,,74979000.000000,,,-1698396099.000000,-127286141842.000000,,,-119910198357.000000,,,,-7370218485.000000,,,-5725000.000000,-127286141842.000000,-12958287479.000000,496131229502.000000,-456488723.000000,482716453300.000000
12M 2024,164525304875.000000,855148926557.000000,-661835910886.000000,,-79453876.000000,-28708256920.000000,164525304875.000000,-2346447168.000000,8681936968.000000,-9440371587.000000,-2752472008.000000,1164459459.000000,,,-2346447168.000000,-62613644507.000000,,,-58306803105.000000,,,,-4305302902.000000,,,-1538500.000000,-62613644507.000000,99565213200.000000,482716453300.000000,1505024414.000000,583786690914.000000
