Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,9912225657.000000,202335122835.000000,39412672.000000,39412672.000000,,,39412672.000000,239295014446.000000,9082619157.000000,460664394767.000000,,439340789498.000000,901440000.000000,440242229498.000000,,900906624265.000000,,,420710314300.000000,250061641904.000000,86310718170.000000,,12491714.000000,27810476.000000,40302190.000000,46661466070.000000,4725261698.000000,,29550187936.000000,29550187936.000000,,3360736332.000000,420710314300.000000,198076458419.000000,41556560743.000000,,140135397226.000000,140135397226.000000,16384500450.000000,198076458419.000000,618786772719.000000,,292727295250.000000,70622704211.000000,-81230147915.000000,,282119851546.000000,900906624265.000000,1170909181.000000
12M 2009,,,6144933788.000000,222328909621.000000,308000000.000000,,308000000.000000,,308000000.000000,236364780804.000000,546715950.000000,465693340163.000000,,410636609754.000000,901440000.000000,411538049754.000000,,877231389917.000000,,,377312806517.000000,232552781952.000000,62297955677.000000,,168400665.000000,6156629.000000,174557294.000000,48563728750.000000,3575732889.000000,,27652932000.000000,27652932000.000000,,2495117955.000000,377312806517.000000,186663452015.000000,52958693516.000000,,116239500000.000000,116239500000.000000,17465258499.000000,186663452015.000000,563976258532.000000,,292727295250.000000,70622704211.000000,-50094868076.000000,,313255131385.000000,877231389917.000000,1170909181.000000
12M 2010,,,1810752949.000000,218372673849.000000,46599242.000000,46599242.000000,,,46599242.000000,251101206814.000000,8260545878.000000,479591778732.000000,,391965502624.000000,901440000.000000,392866942624.000000,,872458721356.000000,,,238460976340.000000,89769886985.000000,50326230950.000000,,283305000.000000,,283305000.000000,52366664934.000000,11177046894.000000,,34537841577.000000,34537841577.000000,,,238460976340.000000,310824289763.000000,57122786942.000000,,235116231244.000000,235116231244.000000,18585271577.000000,310824289763.000000,549285266103.000000,,292727295250.000000,70622704211.000000,-40176544208.000000,,323173455253.000000,872458721356.000000,1170909181.000000
12M 2011,,,1530510889.000000,76131609438.000000,54071143.000000,54071143.000000,,,54071143.000000,391015379346.000000,545443992.000000,469277014808.000000,,373271702153.000000,901440000.000000,374173142153.000000,,843450156961.000000,,,256793923076.000000,79066281943.000000,72760916625.000000,,,,,58039771741.000000,7821055379.000000,,38354160188.000000,38354160188.000000,,751737200.000000,256793923076.000000,287580774185.000000,51543194273.000000,,215883279882.000000,215883279882.000000,20154300030.000000,287580774185.000000,544374697261.000000,,292727295250.000000,70622704211.000000,-64274539761.000000,,299075459700.000000,843450156961.000000,1170909181.000000
12M 2012,,,1233634407.000000,37269957428.000000,57164878.000000,,,57164878.000000,57164878.000000,389371990487.000000,546614179.000000,428479361379.000000,,380894782589.000000,901440000.000000,381796222589.000000,,810275583968.000000,,,249010900037.000000,69992451465.000000,91259647731.000000,,,9700000000.000000,9700000000.000000,25360011982.000000,5469667439.000000,,47229121420.000000,47229121420.000000,,,249010900037.000000,276326411034.000000,47346070882.000000,,207458406645.000000,207458406645.000000,21521933507.000000,276326411034.000000,525337311071.000000,,292727295250.000000,70622704211.000000,-78411726564.000000,,284938272897.000000,810275583968.000000,1170909181.000000
12M 2013,,,2738498972.000000,67217400707.000000,47457528.000000,,,47457528.000000,47457528.000000,344737943944.000000,312015241.000000,415053316392.000000,,385911640643.000000,901440000.000000,386813080643.000000,,801866397035.000000,,,315809046109.000000,26114716684.000000,111965882580.000000,,,,,33295803827.000000,8051434766.000000,,136381208252.000000,136381208252.000000,,,315809046109.000000,214347213747.000000,43778573438.000000,,157147352119.000000,157147352119.000000,13421288190.000000,214347213747.000000,530156259856.000000,,292727295250.000000,70622704211.000000,-91639862282.000000,,271710137179.000000,801866397035.000000,1170909181.000000
12M 2014,,,1446328917.000000,47878615385.000000,21201952.000000,,,21201952.000000,21201952.000000,349113710318.000000,325489713.000000,398785346285.000000,,373976560649.000000,901440000.000000,374878000649.000000,-9013334.000000,773654333600.000000,,,332501069454.000000,29686512217.000000,110758216633.000000,,,,,42146068099.000000,8876858733.000000,,140804359536.000000,140804359536.000000,,229054236.000000,332501069454.000000,182283424795.000000,39922846248.000000,,131893555300.000000,131893555300.000000,10467023247.000000,182283424795.000000,514784494249.000000,,292727295250.000000,70622704211.000000,-104480160110.000000,,258869839351.000000,773654333600.000000,1170909181.000000
12M 2015,,,1748000559.000000,50717553591.000000,,,,,,323426229333.000000,1427753862.000000,377319537345.000000,,343663190339.000000,901440000.000000,344564630339.000000,,721884167684.000000,,,331660630809.000000,56988727871.000000,97524474204.000000,,,,,35611204253.000000,1726037579.000000,,139810186902.000000,139810186902.000000,,,331660630809.000000,146132064014.000000,36224746484.000000,,92619648114.000000,92619648114.000000,17287669416.000000,146132064014.000000,477792694823.000000,,292727295250.000000,70622704211.000000,-116870769863.000000,-2387756737.000000,244091472861.000000,721884167684.000000,1170909181.000000
12M 2016,,,2420688310.000000,49306630395.000000,,,,,,298261379195.000000,1717470038.000000,351706167938.000000,,318356385777.000000,901440000.000000,319257825777.000000,,670963993715.000000,,,277524504441.000000,37296294524.000000,93153187929.000000,,,,,7673536694.000000,2749491620.000000,,136651993674.000000,136651993674.000000,,,277524504441.000000,130419987551.000000,31850206385.000000,,78087751586.000000,78087751586.000000,20482029580.000000,130419987551.000000,407944491992.000000,,292727295250.000000,70622704211.000000,-98322557413.000000,-2007940326.000000,263019501722.000000,670963993714.000000,1170909181.000000
12M 2017,,,2383042772.000000,15891336432.000000,,,,,,293180825559.000000,92653585.000000,311547858348.000000,,293194002959.000000,901440000.000000,294095442959.000000,,605643301307.000000,,,182421582456.000000,31482119234.000000,104304344677.000000,,,,,7668112911.000000,4732097238.000000,,29720624837.000000,29720624837.000000,,4514283559.000000,182421582456.000000,210756047129.000000,24511210427.000000,,164745695755.000000,164745695755.000000,21499140947.000000,210756047129.000000,393177629585.000000,,292727295250.000000,70622704211.000000,-147111482423.000000,-3772845315.000000,212465671723.000000,605643301308.000000,1170909181.000000
12M 2018,,,3324644849.000000,15493537094.000000,,,,,,275298010853.000000,56367420.000000,294172560216.000000,,267100180681.000000,901440000.000000,268001620681.000000,,562174180897.000000,,,131917686499.000000,,88097020637.000000,,,,,7971629097.000000,4718555060.000000,,26442521944.000000,26442521944.000000,,4687959761.000000,131917686499.000000,215006169768.000000,25219361612.000000,,167488804298.000000,167488804298.000000,22298003858.000000,215006169768.000000,346923856267.000000,,292727295250.000000,70622704211.000000,-145999444506.000000,-2100230325.000000,215250324630.000000,562174180897.000000,1170909181.000000
12M 2019,,,1830920129.000000,14774264177.000000,,,,,,246903617805.000000,93997110.000000,263602799221.000000,,250261492669.000000,901440000.000000,251162932669.000000,,514765731890.000000,,,166219539040.000000,,102564779276.000000,,,,,3781732115.000000,4973304928.000000,,53167227751.000000,53167227751.000000,,1732494970.000000,166219539040.000000,148197267542.000000,20162685395.000000,,106943481158.000000,106943481158.000000,21091100989.000000,148197267542.000000,314416806582.000000,,292727295250.000000,71627954211.000000,-162266176683.000000,-1740147470.000000,200348925308.000000,514765731890.000000,1170909181.000000
12M 2020,,,1779593149.000000,13311875021.000000,,,,,,231219092276.000000,68997034.000000,246379557480.000000,,234784296615.000000,901440000.000000,235685736615.000000,,482065294095.000000,,,164959909413.000000,,89739810270.000000,,,,,7799213967.000000,3956312766.000000,,33206021082.000000,33206021082.000000,,30258551328.000000,164959909413.000000,130774066588.000000,16117557070.000000,,92281981158.000000,92281981158.000000,22374528360.000000,130774066588.000000,295733976001.000000,,292727295250.000000,71627954211.000000,-177620554126.000000,-403377241.000000,186331318094.000000,482065294095.000000,1170909181.000000
