Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Others,Total Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,540163037733.000000,-530232626004.000000,9930411729.000000,-34583799588.000000,-21090699575.000000,-13493100013.000000,-34583799588.000000,-24653387859.000000,-81882411309.000000,-44965740000.000000,29579052.000000,,-40900317739.000000,,3954067378.000000,-81882411309.000000,-106535799168.000000,10059616822.000000,,10059616822.000000,10059616822.000000,-96476182346.000000,27711948849.000000,27711948849.000000,27711948849.000000,-68764233497.000000,,,,,-68764233497.000000,-96476182346.000000,,27711948849.000000,-68764233497.000000,,,,
12M 2009,427198532746.000000,-389233372983.000000,37965159763.000000,-31146166939.000000,-19126710548.000000,-12019456391.000000,-31146166939.000000,6818992824.000000,35718419788.000000,47141937063.000000,28029798.000000,,-37694704735.000000,,26243157662.000000,35718419788.000000,42537412612.000000,-11402132773.000000,,-11402132773.000000,-11402132773.000000,31135279839.000000,,,,31135279839.000000,,,,,31135279839.000000,31135279839.000000,,,31135279839.000000,,,,
12M 2010,446624926710.000000,-417658026200.000000,28966900510.000000,-36031119877.000000,-23161000112.000000,-12870119765.000000,-36031119877.000000,-7064219367.000000,21146636661.000000,11625495323.000000,25567747.000000,,-49652367663.000000,,59147941254.000000,21146636661.000000,14082417294.000000,-4164093426.000000,,-4164093426.000000,-4164093426.000000,9918323868.000000,,,,9918323868.000000,,,,,9918323868.000000,9918323868.000000,,,9918323868.000000,,,,
12M 2011,403181559300.000000,-401937018793.000000,1244540507.000000,-30641477410.000000,-12241046743.000000,-18400430667.000000,-30641477410.000000,-29396936903.000000,-263329941.000000,-2599366802.000000,26533269.000000,,-34880071626.000000,,37189575218.000000,-263329941.000000,-29660266844.000000,5562271291.000000,-17321378.000000,5579592669.000000,5562271291.000000,-24097995553.000000,,,,-24097995553.000000,,,,-24097995553.000000,-24097995553.000000,-24097995553.000000,,,-24097995553.000000,-24097995553.000000,-24097995553.000000,,-24097995553.000000
12M 2012,554471435919.000000,-553365136109.000000,1106299810.000000,-26934614612.000000,-14364669498.000000,-12569945114.000000,-26934614612.000000,-25828314802.000000,7512608181.000000,-16145504997.000000,22190522.000000,74999997.000000,-30820023321.000000,,54380945980.000000,7512608181.000000,-18315706621.000000,4178519818.000000,-18603573.000000,4197123391.000000,4178519818.000000,-14137186803.000000,,,,-14137186803.000000,,,,-14137186803.000000,-14137186803.000000,-14137186803.000000,,,-14137186803.000000,-14137186803.000000,-14137186803.000000,,-14137186803.000000
12M 2013,573748747725.000000,-550324853479.000000,23423894246.000000,-26908280126.000000,-13744560752.000000,-13163719374.000000,-26908280126.000000,-3484385880.000000,-13300501117.000000,-36161717865.000000,6268212.000000,126520832.000000,-35958425147.000000,,58686852851.000000,-13300501117.000000,-16784886997.000000,3556751279.000000,-10746165.000000,3567497444.000000,3556751279.000000,-13228135718.000000,,,,-13228135718.000000,,,,-13228135718.000000,-13228135718.000000,-13228135718.000000,,,-13228135718.000000,-13228135718.000000,-13228135718.000000,,-13228135718.000000
12M 2014,519854661831.000000,-516033321493.000000,3821340338.000000,-26460793724.000000,-14030743940.000000,-12430049784.000000,-26460793724.000000,-22639453386.000000,5952441702.000000,-3081341113.000000,3403103.000000,22499999.000000,-33326812245.000000,,42334691958.000000,5952441702.000000,-16687011684.000000,3846713856.000000,-9013334.000000,3855727190.000000,3846713856.000000,-12840297828.000000,,,,-12840297828.000000,,,,-12840297828.000000,-12840297828.000000,-12840297828.000000,,,-12840297828.000000,-12840297828.000000,-12840297828.000000,,-12840297828.000000
12M 2015,506180498366.000000,-504827107491.000000,1353390875.000000,-23708472034.000000,-10917062477.000000,-12791409557.000000,-23708472034.000000,-22355081159.000000,8845739370.000000,13837546372.000000,3705009.000000,,-30999649750.000000,,26004137739.000000,8845739370.000000,-13509341789.000000,3047164643.000000,-8124252.000000,3055288895.000000,3047164643.000000,-10462177146.000000,,,,-10462177146.000000,-3577590469.000000,,-3577590469.000000,-14039767615.000000,-10462177146.000000,-10462177146.000000,,,-10462177146.000000,-14039767615.000000,-14039767615.000000,,-14039767615.000000
12M 2016,436691203876.000000,-434547485451.000000,2143718425.000000,-23537162208.000000,-9808906422.000000,-13728255786.000000,-23537162208.000000,-21393443783.000000,2679858656.000000,1735768457.000000,107024724.000000,,-29791603689.000000,,30628669164.000000,2679858656.000000,-18713585127.000000,4130960803.000000,-244367196.000000,4375327999.000000,4130960803.000000,-14582624324.000000,,,,-14582624324.000000,-625433589.000000,,-625433589.000000,-15208057913.000000,-14582624324.000000,-14582624324.000000,,,-14582624324.000000,-15208057913.000000,-15208057913.000000,,-15208057913.000000
12M 2017,343842837211.000000,-340200437602.000000,3642399609.000000,-25193512766.000000,-10471880624.000000,-14721632142.000000,-25193512766.000000,-21551113157.000000,-9497716546.000000,,,,,,-9497716546.000000,-9497716546.000000,-31048829703.000000,7338995958.000000,,7338995958.000000,7338995958.000000,-23709833745.000000,,,,-23709833745.000000,-1764904989.000000,,-1764904989.000000,-25474738734.000000,-23709833745.000000,-23709833745.000000,,,-23709833745.000000,-25474738734.000000,-25474738734.000000,,-25474738734.000000
12M 2018,410244604874.000000,-398508313159.000000,11736291715.000000,-23934646366.000000,-9332114911.000000,-14602531455.000000,-23934646366.000000,-12198354651.000000,14018543753.000000,,,,,,14018543753.000000,14018543753.000000,1820189102.000000,-708151185.000000,,-708151185.000000,-708151185.000000,1112037917.000000,,,,1112037917.000000,1672614990.000000,,1672614990.000000,2784652907.000000,1112037917.000000,1112037917.000000,,,1112037917.000000,2784652907.000000,2784652907.000000,,2784652907.000000
12M 2019,354113973461.000000,-340474551624.000000,13639421837.000000,-23522109409.000000,-9887310324.000000,-13634799085.000000,-23522109409.000000,-9882687572.000000,-11440720821.000000,,,,,,-11440720821.000000,-11440720821.000000,-21323408393.000000,5056676216.000000,,5056676216.000000,5056676216.000000,-16266732177.000000,,,,-16266732177.000000,1365332855.000000,,1365332855.000000,-14901399322.000000,-16266732177.000000,-16266732177.000000,,,-16266732177.000000,-14901399322.000000,-14901399322.000000,,-14901399322.000000
12M 2020,220499855235.000000,-214249373220.000000,6250482015.000000,-16902916902.000000,-5830321904.000000,-11072594998.000000,-16902916902.000000,-10652434887.000000,-8747070881.000000,,,,,,-8747070881.000000,-8747070881.000000,-19399505768.000000,4045128325.000000,,4045128325.000000,4045128325.000000,-15354377443.000000,,,,-15354377443.000000,1336770229.000000,,1336770229.000000,-14017607214.000000,-15354377443.000000,-15354377443.000000,,,-15354377443.000000,-14017607214.000000,-14017607214.000000,,-14017607214.000000
12M 2021,226838383304.000000,-220837864307.000000,6000518997.000000,-18978564499.000000,-5113639689.000000,-13864924810.000000,-18978564499.000000,-12978045502.000000,70244948590.000000,,,,,,70244948590.000000,70244948590.000000,57266903088.000000,-517081273.000000,,-517081273.000000,-517081273.000000,56749821815.000000,,,,56749821815.000000,1243752284.000000,,1243752284.000000,57993574099.000000,56749821815.000000,56749821815.000000,,,56749821815.000000,57993574099.000000,57993574099.000000,,57993574099.000000
12M 2022,260232693262.000000,-254508383470.000000,5724309792.000000,-18334453352.000000,-4821534985.000000,-13512918367.000000,-18334453352.000000,-12610143560.000000,5524880652.000000,,,,,,5524880652.000000,5524880652.000000,-7085262908.000000,1040401133.000000,,1040401133.000000,1040401133.000000,-6044861775.000000,,,,-6044861775.000000,367511456.000000,,367511456.000000,-5677350319.000000,-6044861775.000000,-6044861775.000000,,,-6044861775.000000,-5677350319.000000,-5677350319.000000,,-5677350319.000000
12M 2023,224458888000.000000,-221993578625.000000,2465309375.000000,-15103414980.000000,-4445504638.000000,-10657910342.000000,-15103414980.000000,-12638105605.000000,4641831607.000000,,,,,,4641831607.000000,4641831607.000000,-7996273998.000000,1761286898.000000,,1761286898.000000,1761286898.000000,-6234987100.000000,,,,-6234987100.000000,3449327550.000000,,3449327550.000000,-2785659550.000000,-6234987100.000000,-6234987100.000000,,,-6234987100.000000,-2785659550.000000,-2785659550.000000,,-2785659550.000000
12M 2024,235863387767.000000,-233319219638.000000,2544168129.000000,-13722736949.000000,-2976433869.000000,-10746303080.000000,-13722736949.000000,-11178568820.000000,-8699080543.000000,,,,,,-8699080543.000000,-8699080543.000000,-19877649363.000000,1891906215.000000,,1891906215.000000,1891906215.000000,-17985743148.000000,,,,-17985743148.000000,1933930494.000000,,1933930494.000000,-16051812654.000000,-17985743148.000000,-17985743148.000000,,,-17985743148.000000,-16051812654.000000,-16051812654.000000,,-16051812654.000000
