Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.04,240.94,1.04,240.94,280 B,140 B,420 B,410 B,40 B
12M 2009,0.93,267.53,0.93,267.53,260 B,116 B,376 B,370 B,88 B
12M 2010,0.82,276.00,0.82,276.00,124 B,235 B,359 B,358 B,241 B
12M 2011,0.70,255.42,0.70,255.42,117 B,216 B,,332 B,212 B
12M 2012,0.55,243.35,0.55,243.35,117 B,207 B,325 B,323 B,179 B
12M 2013,0.34,232.05,0.34,232.05,162 B,157 B,320 B,317 B,99 B
12M 2014,0.47,221.08,0.47,221.08,170 B,132 B,302 B,301 B,66 B
12M 2015,0.25,208.46,0.25,208.46,197 B,93 B,289 B,288 B,46 B
12M 2016,1.60,224.63,1.60,224.63,174 B,78 B,252 B,250 B,74 B
12M 2017,2.09,181.45,2.09,181.45,61 B,165 B,226 B,224 B,129 B
12M 2018,2.46,183.83,2.46,183.83,26 B,167 B,194 B,191 B,162 B
12M 2019,3.10,171.11,3.10,171.11,53 B,107 B,160 B,158 B,97 B
12M 2020,3.58,159.13,3.58,159.13,33 B,92 B,125 B,124 B,81 B
12M 2021,3.88,208.66,3.88,208.66,18 B,75 B,93 B,91 B,145 B
12M 2022,3.88,203.81,3.88,203.81,,,,(2 B),70 B
12M 2023,2.47,201.43,2.47,201.43,,,,(2 B),73 B
12M 2024,1.37,187.73,1.37,187.73,,,,(2 B),63 B
