Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Setara Kas Yang Dibatasi Penggunaannya,Pencairan Deposito,Pembayaran Kas Kepada :,Pemasok,"Gaji, Upah Dan Tunjangan",Biaya Produksi Lainnya Dan Beban Usaha,Total Pembayaran Kas Kepada :,Adjustment,Pembayaran Untuk Beban Keuangan,Penerimaan Tagihan Restitusi Pajak Lainnya,Penerimaan Penghasilan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Pajak-Pajak Lainnya,Denda Pajak,Laba Atas Kurs Valuta Asing,Pembayaran Untuk Beban Operasi Lainnya - Bersih,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Pendek Dan Jangka Panjang,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek Dan Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Reklasifikasi Setara Kas Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2008,-23891712467.000000,490855391018.000000,,,,-348022427445.000000,-50698321123.000000,-71468843587.000000,-470189592155.000000,,-42027043756.000000,4582414977.000000,29579052.000000,,,,,-7142461603.000000,,-23891712467.000000,-4239531925.000000,-4239531925.000000,,-4239531925.000000,29248355473.000000,37029393765.000000,,-7781038292.000000,29248355473.000000,1117111081.000000,9315114576.000000,-520000000.000000,9912225657.000000
12M 2009,6194191501.000000,407204745960.000000,,,,-230475896010.000000,-45930950801.000000,-75704781422.000000,-352111628233.000000,,-37694704735.000000,,28029798.000000,,,,,-11232251289.000000,,6194191501.000000,-4341378718.000000,-4341378718.000000,,-4341378718.000000,-5620104652.000000,53166643179.000000,,-58786747831.000000,-5620104652.000000,-3767291869.000000,9912225657.000000,,6144933788.000000
12M 2010,16726584387.000000,522319957182.000000,,,,-384861425504.000000,-43093437759.000000,-29547694563.000000,-457502557826.000000,,-41952577054.000000,,25567747.000000,,,,,-6163805662.000000,,16726584387.000000,-14083885840.000000,-14083885840.000000,,-14083885840.000000,-6976879386.000000,10002722932.000000,,-16979602318.000000,-6976879386.000000,-4334180839.000000,6144933788.000000,,1810752949.000000
12M 2011,42939506442.000000,608193963588.000000,,,,-361591233708.000000,-46370843184.000000,-116216415076.000000,-524178491968.000000,,-34880071626.000000,,26533269.000000,,,,,-6222426821.000000,,42939506442.000000,-15236928181.000000,-15236928181.000000,,-15236928181.000000,-27982820321.000000,,,-27982820321.000000,-27982820321.000000,-280242060.000000,1810752949.000000,,1530510889.000000
12M 2012,54013300088.000000,580570569305.000000,,,,-320790376953.000000,-44057060639.000000,-126799815800.000000,-491647253392.000000,,-30820023321.000000,,22190522.000000,,,,,-4112183026.000000,,54013300088.000000,-42184250152.000000,-42259250152.000000,75000000.000000,-42184250152.000000,-12406168478.000000,,9700000000.000000,-22106168478.000000,-12406168478.000000,-577118542.000000,1810752949.000000,,1233634407.000000
12M 2013,83498266987.000000,590123147711.000000,,520000000.000000,,-336786082568.000000,-52589876175.000000,-73218904828.000000,-462594863571.000000,,-34061292510.000000,,6268212.000000,,,,,-10494992855.000000,,83498266987.000000,-41509160000.000000,-41683260000.000000,174100000.000000,-41509160000.000000,-40484242422.000000,,,-40484242422.000000,-40484242422.000000,1504864565.000000,1233634407.000000,,2738498972.000000
12M 2014,39556169947.000000,581757193347.000000,,,,-376963632143.000000,-56300183486.000000,-67225638134.000000,-500489453763.000000,,-33515680845.000000,,3403103.000000,,-10746165.000000,,,-8188545730.000000,,39556169947.000000,-23589490000.000000,-23611990000.000000,22500000.000000,-23589490000.000000,-17258850002.000000,,3571795533.000000,-20830645535.000000,-17258850002.000000,-1292170055.000000,2738498972.000000,,1446328917.000000
12M 2015,29295185871.000000,529116643663.000000,-1340000000.000000,,,-388854592617.000000,-43890194292.000000,-14395016662.000000,-447139803571.000000,,-34020959047.000000,,3705009.000000,,-6092334.000000,-5734602746.000000,,-11583705103.000000,,29295185871.000000,-4107450000.000000,-4107450000.000000,,-4107450000.000000,-24886064231.000000,,707215654.000000,-25593279885.000000,-24886064231.000000,301671640.000000,1446328917.000000,,1748000557.000000
12M 2016,42265424796.000000,468709893837.000000,-280000000.000000,,,-323023309009.000000,-38003395974.000000,-32259760846.000000,-393286465829.000000,,-28373840945.000000,,107024724.000000,,-8124252.000000,-4587000.000000,,-4598475739.000000,,42265424796.000000,-7368407170.000000,-7368407170.000000,,-7368407170.000000,-34224329875.000000,,1855566653.000000,-36079896528.000000,-34224329875.000000,672687751.000000,1748000559.000000,,2420688310.000000
12M 2017,25549790980.000000,377258131174.000000,1620000000.000000,,,-248892341783.000000,-28854691579.000000,-46905182808.000000,-324652216170.000000,,-28360585174.000000,,40881031.000000,,-244367196.000000,-117298786.000000,,5246101.000000,,25549790980.000000,-917975752.000000,-917975752.000000,,-917975752.000000,-24669460766.000000,,1000000.000000,-24670460766.000000,-24669460766.000000,-37645538.000000,2420688310.000000,,2383042772.000000
