Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,337740700872.000000,-244061701787.000000,93678999085.000000,-61504961595.000000,-146301890.000000,-61358659705.000000,-61504961595.000000,32174037490.000000,-28269267589.000000,-27439505964.000000,,,-829761625.000000,-28269267589.000000,3904769901.000000,-3806061750.000000,98708151.000000,79676764965.000000,,79676764965.000000,79775473116.000000,98708151.000000,98708151.000000,,98708151.000000,79775473116.000000,79775473116.000000,,79775473116.000000
12M 2019,315790682205.000000,-249434054851.000000,66356627354.000000,-70699564974.000000,-105418923.000000,-70594146051.000000,-70699564974.000000,-4342937620.000000,-50668750271.000000,-29757139143.000000,,,-20911611128.000000,-50668750271.000000,-55011687891.000000,10813293419.000000,-44198394472.000000,-8721018704.000000,,-8721018704.000000,-52919413176.000000,-44198394472.000000,-44198394472.000000,,-44198394472.000000,-52919413176.000000,-52919413176.000000,,-52919413176.000000
12M 2020,177551568583.000000,-119305034698.000000,58246533885.000000,-54065587837.000000,,-54065587837.000000,-54065587837.000000,4180946048.000000,-6882168974.000000,-34818776866.000000,,,27936607892.000000,-6882168974.000000,-2701222926.000000,-3185976466.000000,-5887199392.000000,293276800.000000,,293276800.000000,-5593922592.000000,-5887199392.000000,-5887199392.000000,,-5887199392.000000,-5593922592.000000,-5593922592.000000,,-5593922592.000000
12M 2021,166888495594.000000,-110477331759.000000,56411163835.000000,-62547047298.000000,,-62547047298.000000,-62547047298.000000,-6135883463.000000,-50204781996.000000,-42345389530.000000,,,-7859392466.000000,-50204781996.000000,-56340665459.000000,9338190209.000000,-47002475250.000000,210440100.000000,,210440100.000000,-46792035150.000000,-47002475250.000000,-47002377504.000000,-97746.000000,-47002475250.000000,-46792035150.000000,-46791937404.000000,-97746.000000,-46792035150.000000
12M 2022,111989805385.000000,-79858690737.000000,32131114648.000000,-52639084764.000000,,-52639084764.000000,-52639084764.000000,-20507970116.000000,-63720400429.000000,-44204050801.000000,2075631128.000000,,-21591980756.000000,-63720400429.000000,-84228370545.000000,-3395042649.000000,-87623413194.000000,263527680.000000,263527680.000000,263527680.000000,-87359885514.000000,-87623413194.000000,-87623374722.000000,-38472.000000,-87623413194.000000,-87359885514.000000,-87359847042.000000,-38472.000000,-87359885514.000000
