Period,Arus Kas Dari Aktivitas Operasi,Kas Diperoleh Dari Pelanggan Dan Karyawan,Pembayaran Kas Kepada Pemasok Dan Karyawan:,Pemasok,Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan:,Penurunan Aset Lainnya,Pendapatan Bunga Dan Jasa Giro,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Laba / (Rugi) Selisih Kurs,Keuntungan Divestasi Entitas Anak,Pendapatan (Beban) Di Luar Usaha Lainnya,Bunga Pinjaman Lainnya,Administrasi Bank,Pembayaran Bunga,Penerimaan (Pembayaran) Pajak,Penerimaan Restitusi Ppn Tahun 2007,Pendapatan Bunga Jaminan Pajak,Bunga Pinjaman Bank,Bunga Sewa Pembiayaan,Denda-Denda,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Pembayaran Beban Eksplorasi Ditangguhkan,Penambahan Eksplorasi Ditangguhkan,Total Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Pertambangan,Investasi Entitas Anak,Penambahan Jaminan Reklamasi,Penerimaan Penghasilan Bunga,Penyertaan Saham,Laba Pelepasan Entitas Anak,Penurunan (Kenaikan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Kembali Jaminan Pengadilan Pajak,Penerimaan Pinjaman Hubungan Istimewa,Pembayaran Pinjaman Hubungan Istimewa,Penerbitan Saham Biasa,Pembayaran Biaya Emisi Saham,Penerimaan (Pembayaran) Utang Berelasi,Peningkatan (Penurunan) Utang Lain-Lain Pihak Berelasi,Piutang Potongan Pajak Kepada Pihak Berelasi,Penambahan (Pencairan) Bank Garansi,Penerimaan (Pembayaran) Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Total Penerimaan (Pembayaran) Pinjaman Bank,(Penurunan) Kenaikan Hutang Piutang,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Penerimaan (Pembayaran) Jaminan Pelaksanaan Kerja,Penerimaan Restitusi Pajak Pertambahan Nilai,(Pembayaran) Penerimaan Deviden Tunai,(Penurunan) Kenaikan Hutang Piutang Kepada Pihak Hubungan Istimewa,Modal Saham Diperoleh Kembali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Merging Entities,Kas Dan Setara Kas Akhir Periode
12M 2008,123179200281.000000,472272979344.000000,-324118084295.000000,,,-324118084295.000000,,,,,,,-763992510.000000,,,-20815978678.000000,-3395723580.000000,,,,,,123179200281.000000,-223848673520.000000,-50321949197.000000,,,-50321949197.000000,-176654762345.000000,4173908742.000000,,,,,116320768.000000,,-1162191488.000000,-223848673520.000000,120425489013.000000,,,,,,,,,,105671890653.000000,,,105671890653.000000,10646893226.000000,14963257506.000000,,,-6859175332.000000,,-3997377040.000000,120425489013.000000,19756015774.000000,6975764433.000000,,26731780207.000000
12M 2009,70843705959.000000,400897869563.000000,-306480067172.000000,,,-306480067172.000000,,,,,,,-920028885.000000,,,-18286476279.000000,-4367591268.000000,,,,,,70843705959.000000,-38445914519.000000,10294693036.000000,,,10294693036.000000,-2576905812.000000,,,,,,,,-46163701743.000000,-38445914519.000000,-52223218853.000000,,,,,,,,,,3766302546.000000,,,3766302546.000000,9754543451.000000,-35101990640.000000,,,-8629896000.000000,,-22012178210.000000,-52223218853.000000,-19825427413.000000,26731780207.000000,,6906352794.000000
12M 2010,27634662262.000000,264118651707.000000,-214195100895.000000,,,-214195100895.000000,,,,,,,-737015994.000000,,,-18536758310.000000,-4451253567.000000,1436139321.000000,,,,,27634662262.000000,-2109921002.000000,,-1340014684.000000,,-1340014684.000000,-1946642500.000000,1176736182.000000,,,,,,,,-2109921002.000000,-16135156054.000000,,,,,,,,,,,20239003030.000000,-26913307931.000000,-6674304901.000000,,-3612208300.000000,,,-5848642853.000000,,,-16135156054.000000,9389585206.000000,6906352794.000000,,16295938000.000000
12M 2011,-20347519784.000000,328297618615.000000,,-281965028001.000000,-51693295357.000000,-333658323358.000000,,,,,,,-3993112295.000000,,,-25876475925.000000,14882773179.000000,,,,,,-20347519784.000000,-29489109223.000000,,,,,-56534538535.000000,27045429312.000000,,,,,,,,-29489109223.000000,47000075523.000000,26407177566.000000,,,,,-15346229615.000000,,-13176287175.000000,4090502192.000000,,84000000000.000000,-35499575009.000000,48500424991.000000,,-3475512436.000000,,,,,,47000075523.000000,-2836553484.000000,16295937999.000000,,13459384515.000000
12M 2012,31961854000.000000,303200763000.000000,,-198259236000.000000,-43390782000.000000,-241650018000.000000,,212214000.000000,,,1242707000.000000,,1296871000.000000,,-389350000.000000,,-2178634000.000000,,,-23100763000.000000,-6671936000.000000,,31961854000.000000,17590313000.000000,,,,,-316298000.000000,17906611000.000000,,,,,,,,17590313000.000000,-42764613000.000000,,,,,,2610048000.000000,,,,-28216877000.000000,,,-28216877000.000000,,-17157784000.000000,,,,,,-42764613000.000000,6787554000.000000,13459385000.000000,,20246939000.000000
12M 2013,-2269482000.000000,226465581000.000000,,-172197604000.000000,-32140815000.000000,-204338419000.000000,,336519000.000000,,,1536637000.000000,,1180604000.000000,,-1074863000.000000,-22020039000.000000,-2178634000.000000,,,,-938863000.000000,-1238005000.000000,-2269482000.000000,13973324000.000000,,,,,-75000000.000000,14048324000.000000,,,,,,,,13973324000.000000,-30097351000.000000,,,,,,-2610048000.000000,,,,-18759573000.000000,,,-18759573000.000000,,-8727730000.000000,,,,,,-30097351000.000000,-18393509000.000000,20246939000.000000,,1853430000.000000
12M 2014,49547707000.000000,137930993000.000000,,-66068378000.000000,-12331714000.000000,-78400092000.000000,,52567000.000000,,,158205000.000000,5680000000.000000,1430691000.000000,,-880267000.000000,,-119441000.000000,,,-16015710000.000000,-10541000.000000,-278698000.000000,49547707000.000000,-30000000000.000000,,,,,-30000000000.000000,,,,,,,,,-30000000000.000000,-18915507000.000000,,,,,,-8393534000.000000,,,,-9009373000.000000,,,-9009373000.000000,,-1512600000.000000,,,,,,-18915507000.000000,632200000.000000,1853429000.000000,,2485629000.000000
12M 2015,56239777000.000000,112941816000.000000,,-36596955000.000000,-7004109000.000000,-43601064000.000000,,,-12507010000.000000,-593965000.000000,,,,,,,,,,,,,56239777000.000000,1547397000.000000,,,,,,1547397000.000000,,,,,,,,1547397000.000000,-57831351000.000000,,,,,,,,,,-57741238000.000000,,,-57741238000.000000,,-90113000.000000,,,,,,-57831351000.000000,-44177000.000000,2485629000.000000,,2441452000.000000
12M 2016,-3323091000.000000,15948923000.000000,,-5334138000.000000,-4376086000.000000,-9710224000.000000,,,-9636555000.000000,74765000.000000,,,,,,,,,,,,,-3323091000.000000,,,,,,,,,,,,,,,,2749915000.000000,,,,,,,,,,2813033000.000000,,,2813033000.000000,,-63118000.000000,,,,,,2749915000.000000,-573176000.000000,2441452000.000000,,1868276000.000000
12M 2017,4566815000.000000,12914104000.000000,,-10342067000.000000,-4142898000.000000,-14484965000.000000,,,-4401721000.000000,10539397000.000000,,,,,,,,,,,,,4566815000.000000,4092000000.000000,,,,,,4092000000.000000,,,,,,,,4092000000.000000,-9710957000.000000,,,,,,73907978000.000000,,,,-83590245000.000000,,,-83590245000.000000,,-28690000.000000,,,,,,-9710957000.000000,-1052142000.000000,1868277000.000000,,816135000.000000
