Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Penerimaan Dari Taksiran Tagihan Pajak Pertambahan Nilai,Penerimaan Dari Pendapatan Keuangan,Penurunan Piutang Lain-Lain - Pihak Berelasi,Pembayaran Atas Beban Keuangan,Pembayaran Pajak Penghasilan,Kenaikan Piutang Lain-Lain - Pihak Berelasi,Pembayaran Pesangon,(Pembayaran)/Penerimaan Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Kenaikan Bank Yang Dibatasi Penggunannya,Penurunan Deposito Yang Dibatasi Penggunannya,Penempatan Deposito Berjangka,Penurunan (Kenaikan) Piutang Lain-Lain - Pihak Berelasi,Penempatan Liabilitas Derivatif,Uang Muka Pembelian Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Pendek,Penerimaan Dari Utang Lain-Lain - Pihak Berelasi,Pembayaran Atas Pinjaman Bank Jangka Pendek,Pembayaran Atas Utang Lain-Lain - Pihak Berelasi,Pembayaran Atas Pinjaman Bank Jangka Panjang,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Dividen Kas,Kenaikan Deposito Yang Dibatasi Penggunaannya,Penerimaan Dari Penerbitan Modal Saham Melalui Ipo,Pembayaran Biaya Emisi Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-576974000000.000000,3049305000000.000000,-3132920000000.000000,-26553000000.000000,-67692000000.000000,,1023000000.000000,,-64327000000.000000,,-335810000000.000000,,,,-576974000000.000000,-70324000000.000000,-69964000000.000000,,,,,,-360000000.000000,-70324000000.000000,671841000000.000000,2352109000000.000000,420139000000.000000,-1932128000000.000000,-286461000000.000000,-12424000000.000000,130606000000.000000,,,,,,671841000000.000000,24543000000.000000,,62806000000.000000,87349000000.000000
12M 2020,-31017000000.000000,4351453000000.000000,-3893776000000.000000,-26006000000.000000,-288231000000.000000,,603000000.000000,,-82488000000.000000,,-91882000000.000000,-690000000.000000,,,-31017000000.000000,-52531000000.000000,-52531000000.000000,,,,,,,-52531000000.000000,166833000000.000000,3059832000000.000000,39800000000.000000,-2803489000000.000000,-130156000000.000000,-25053000000.000000,27899000000.000000,,-2000000000.000000,,,,166833000000.000000,83285000000.000000,,87349000000.000000,170634000000.000000
12M 2021,184161000000.000000,8794574000000.000000,-6700536000000.000000,-28545000000.000000,-1922117000000.000000,,889000000.000000,115374000000.000000,-74895000000.000000,-26000000.000000,,-557000000.000000,,,184161000000.000000,-33318000000.000000,-32883000000.000000,,,,,,-435000000.000000,-33318000000.000000,-169839000000.000000,3557023000000.000000,163103000000.000000,-3635393000000.000000,-206098000000.000000,-48864000000.000000,390000000.000000,,,,,,-169839000000.000000,-18996000000.000000,,170634000000.000000,151638000000.000000
12M 2022,492877000000.000000,9455752000000.000000,-7720272000000.000000,-28228000000.000000,-1115752000000.000000,27881000000.000000,4330000000.000000,-11534000000.000000,-84139000000.000000,-35106000000.000000,,-55000000.000000,,,492877000000.000000,-30767000000.000000,-5568000000.000000,,,,,,-25199000000.000000,-30767000000.000000,246221000000.000000,3536882000000.000000,64192000000.000000,-3542142000000.000000,-154402000000.000000,-74739000000.000000,,,2000000000.000000,431250000000.000000,-16820000000.000000,,246221000000.000000,708331000000.000000,,151638000000.000000,859969000000.000000
12M 2023,-384368000000.000000,10466516000000.000000,-9497410000000.000000,-43168000000.000000,-1240969000000.000000,91038000000.000000,66345000000.000000,1367000000.000000,-131215000000.000000,-95738000000.000000,,-1134000000.000000,,,-384368000000.000000,-1963131000000.000000,-19183000000.000000,-888191000000.000000,,-788000000000.000000,-190172000000.000000,,-77585000000.000000,-1963131000000.000000,1792462000000.000000,5112701000000.000000,130033000000.000000,-3901669000000.000000,-130414000000.000000,-268189000000.000000,850000000000.000000,,,,,,1792462000000.000000,-555037000000.000000,,859969000000.000000,304932000000.000000
12M 2024,-246579000000.000000,10201894000000.000000,-8757158000000.000000,-33075000000.000000,-1742281000000.000000,308126000000.000000,106920000000.000000,,-150559000000.000000,-120290000000.000000,-60122000000.000000,-34000000.000000,,,-246579000000.000000,534654000000.000000,-115118000000.000000,255685000000.000000,,,424433000000.000000,-16154000000.000000,-14192000000.000000,534654000000.000000,-358903000000.000000,3808115000000.000000,224548000000.000000,-4063977000000.000000,-218745000000.000000,-80000000000.000000,,-28844000000.000000,,,,,-358903000000.000000,-70828000000.000000,,304932000000.000000,234104000000.000000
