Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,0.94,0.71,-17.15,-23.87,-0.0,0.0,-15.82,0.48,-24.87
12M 2020,0.85,0.59,-6.71,-9.25,-0.0,0.0,-4.33,0.73,-10.25
12M 2021,1.01,0.68,14.65,22.84,0.0,0.0,12.94,0.64,21.84
12M 2022,1.26,0.98,1.61,3.92,0.0,0.0,0.5,0.41,2.92
12M 2023,1.48,1.25,3.31,4.81,0.0,0.0,2.97,0.51,3.81
12M 2024,1.41,1.18,2.8,4.33,0.0,0.0,2.56,0.65,3.33
