Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,3297871000000.000000,-3345567000000.000000,-47696000000.000000,-76139000000.000000,-76139000000.000000,-76139000000.000000,-123835000000.000000,-22885000000.000000,1023000000.000000,-64327000000.000000,15556000000.000000,24863000000.000000,-22885000000.000000,-146720000000.000000,-2700000000.000000,,-2700000000.000000,,-2700000000.000000,-149420000000.000000,-24898000000.000000,-24898000000.000000,-24898000000.000000,-174318000000.000000,-149420000000.000000,-149420000000.000000,,-149420000000.000000,-174318000000.000000,-174318000000.000000,,-174318000000.000000
12M 2020,4354531000000.000000,-4079197000000.000000,275334000000.000000,-289174000000.000000,-289174000000.000000,-289174000000.000000,-13840000000.000000,-141318000000.000000,603000000.000000,-82488000000.000000,-35267000000.000000,-24166000000.000000,-141318000000.000000,-155158000000.000000,353000000.000000,,353000000.000000,,353000000.000000,-154805000000.000000,11172000000.000000,11172000000.000000,11172000000.000000,-143633000000.000000,-154805000000.000000,-154805000000.000000,,-154805000000.000000,-143633000000.000000,-143633000000.000000,,-143633000000.000000
12M 2021,8662321000000.000000,-6623553000000.000000,2038768000000.000000,-1652266000000.000000,-1652266000000.000000,-1652266000000.000000,386502000000.000000,-82590000000.000000,889000000.000000,-74895000000.000000,-27573000000.000000,18989000000.000000,-82590000000.000000,303912000000.000000,-17810000000.000000,-17754000000.000000,-56000000.000000,,-17810000000.000000,286102000000.000000,12101000000.000000,12101000000.000000,12101000000.000000,298203000000.000000,286102000000.000000,286102000000.000000,,286102000000.000000,298203000000.000000,298203000000.000000,,298203000000.000000
12M 2022,9619267000000.000000,-8127908000000.000000,1491359000000.000000,-1077806000000.000000,-1077806000000.000000,-1077806000000.000000,413553000000.000000,-128089000000.000000,4330000000.000000,-84139000000.000000,-59717000000.000000,11437000000.000000,-128089000000.000000,285464000000.000000,-62317000000.000000,-62069000000.000000,-248000000.000000,,-62317000000.000000,223147000000.000000,43238000000.000000,43238000000.000000,43238000000.000000,266385000000.000000,223147000000.000000,223147000000.000000,,223147000000.000000,266385000000.000000,266385000000.000000,,266385000000.000000
12M 2023,10319437000000.000000,-9004930000000.000000,1314507000000.000000,-1002748000000.000000,-1002748000000.000000,-1002748000000.000000,311759000000.000000,-135090000000.000000,7104000000.000000,-131215000000.000000,-8753000000.000000,-2226000000.000000,-135090000000.000000,176669000000.000000,-32427000000.000000,-48846000000.000000,16419000000.000000,,-32427000000.000000,144242000000.000000,-11346000000.000000,-11346000000.000000,-11346000000.000000,132896000000.000000,144242000000.000000,144242000000.000000,,144242000000.000000,132896000000.000000,132896000000.000000,,132896000000.000000
12M 2024,9766108000000.000000,-8619599000000.000000,1146509000000.000000,-1056870000000.000000,-1056870000000.000000,-1056870000000.000000,89639000000.000000,-11230000000.000000,106920000000.000000,-150559000000.000000,-35046000000.000000,67455000000.000000,-11230000000.000000,78409000000.000000,-10223000000.000000,,-10223000000.000000,,-10223000000.000000,68186000000.000000,27540000000.000000,27540000000.000000,27540000000.000000,95726000000.000000,68186000000.000000,68186000000.000000,,68186000000.000000,95726000000.000000,95726000000.000000,,95726000000.000000
