Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,61159842464.000000,-49515808870.000000,11644033594.000000,-14464849275.000000,-1860171591.000000,-12163261819.000000,-441415865.000000,-14464849275.000000,-2820815681.000000,-4844468361.000000,3291405.000000,-4847759766.000000,-4844468361.000000,-7665284042.000000,1172197091.000000,,,1172197091.000000,-6493086951.000000,181475250.000000,-6311611701.000000,-6493086951.000000,-6493086951.000000,,-6493086951.000000,-6311611701.000000,-6311611701.000000,,-6311611701.000000
12M 2018,73653760679.000000,-60616031577.000000,13037729102.000000,-11480948957.000000,-2527689072.000000,-9567368059.000000,614108174.000000,-11480948957.000000,1556780145.000000,-4970520981.000000,2476612.000000,-4972997593.000000,-4970520981.000000,-3413740836.000000,-1350548991.000000,,,-1350548991.000000,-4764289827.000000,1221171000.000000,-3543118827.000000,-4764289827.000000,-4764289827.000000,,-4764289827.000000,-3543118827.000000,-3543118827.000000,,-3543118827.000000
12M 2019,128633144683.000000,-98503645092.000000,30129499591.000000,-13402768862.000000,-4527704879.000000,-11976149853.000000,3101085870.000000,-13402768862.000000,16726730729.000000,-4354803969.000000,3276536.000000,-4358080505.000000,-4354803969.000000,12371926760.000000,-4133706098.000000,,,-4133706098.000000,8238220662.000000,78666000.000000,8316886662.000000,8238220662.000000,8238220662.000000,,8238220662.000000,8316886662.000000,8316886662.000000,,8316886662.000000
12M 2020,223464299075.000000,-157924054141.000000,65540244934.000000,-14964889272.000000,-4187678600.000000,-13700394761.000000,2923184089.000000,-14964889272.000000,50575355662.000000,-1949008366.000000,321086598.000000,-2270094964.000000,-1949008366.000000,48626347296.000000,-12249180378.000000,,,-12249180378.000000,36377166918.000000,-2117419980.000000,34259746938.000000,36377166918.000000,36377166918.000000,,36377166918.000000,34259746938.000000,34259746938.000000,,34259746938.000000
12M 2021,650832068089.000000,-533263186460.000000,117568881629.000000,-23224734014.000000,-9104071058.000000,-17613647801.000000,3492984845.000000,-23224734014.000000,94344147615.000000,-3813704804.000000,663330535.000000,-4477035339.000000,-3813704804.000000,90530442811.000000,-20779560606.000000,,,-20779560606.000000,69750882205.000000,808538640.000000,70559420845.000000,69750882205.000000,69750882205.000000,,69750882205.000000,70559420845.000000,70559420845.000000,,70559420845.000000
12M 2022,770370214533.000000,-626234121494.000000,144136093039.000000,-36835271183.000000,-6368802108.000000,-17212654698.000000,-13253814377.000000,-36835271183.000000,107300821856.000000,-5948040312.000000,155156580.000000,-6103196892.000000,-5948040312.000000,101352781544.000000,-22725364102.000000,,,-22725364102.000000,78627417442.000000,103643280.000000,78731060722.000000,78627417442.000000,78627417442.000000,,78627417442.000000,78731060722.000000,78731060722.000000,,78731060722.000000
12M 2023,289633302450.000000,-198198985738.000000,91434316712.000000,-21600147372.000000,-7168804169.000000,-20361794939.000000,5930451736.000000,-21600147372.000000,69834169340.000000,-13372579133.000000,187163457.000000,-13559742590.000000,-13372579133.000000,56461590207.000000,-23508698705.000000,-23882474500.000000,373775795.000000,-23508698705.000000,32952891502.000000,6029370.000000,32958920872.000000,32952891502.000000,32952891502.000000,,32952891502.000000,32958920872.000000,32958920872.000000,,32958920872.000000
12M 2024,364238673755.000000,-296401998676.000000,67836675079.000000,-34040867948.000000,-9050860253.000000,-26370447785.000000,1380440090.000000,-34040867948.000000,33795807131.000000,-9149481580.000000,91709165.000000,-9241190745.000000,-9149481580.000000,24646325551.000000,-9474433172.000000,-10230339850.000000,755906678.000000,-9474433172.000000,15171892379.000000,363554880.000000,15535447259.000000,15171892379.000000,15171892379.000000,,15171892379.000000,15535447259.000000,15535447259.000000,,15535447259.000000
