Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Kegiatan Usaha,Pembayaran Kepada Karyawan,Penerimaan Dari (Pembayaran Untuk):,Pajak Penghasilan,Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap Dan Uang Muka Pembelian Aset Tetap,Perolehan Uang Muka Pembelian Aset Tetap,Pembelian Aset Keuangan Yang Dinilai Pada Nilai Wajar Melalui Pendapatam Komprehensif Lain,Perolehan Aset Tetap,Total Perolehan Aset Tetap Dan Uang Muka Pembelian Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Takberwujud,Penerimaan (Pembayaran) Piutang Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan Dari Utang Bank Jangka Pendek,Penambahan Liabilitas Sewa,Penerimaan Dari Tambahan Modal Disetor,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Beban Bunga,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen Kepada Pemegang Saham,Penambahan Modal Disetor,Pelaksanaan Waran,Perolehan Dari Penawaran Umum Perdana Setelah Dikurangi Biaya Emisi Saham,Pengaruh Perubahan Kurs Valuta Asing Pada Kas Dan Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-12131943702.000000,58145351195.000000,-55596111908.000000,-7446668304.000000,-5594132141.000000,,-348972029.000000,-1291410515.000000,-12131943702.000000,-52199000.000000,-54199000.000000,,,,-54199000.000000,2000000.000000,,,-52199000.000000,11889155516.000000,5646985139.000000,267729951716.000000,,,-256150461009.000000,,,-4792999611.000000,-544320719.000000,,,,,,11889155516.000000,-294987186.000000,1049289467.000000,754302281.000000
12M 2018,17314795342.000000,67551948092.000000,-46405225962.000000,-4903970875.000000,-6086755535.000000,,-228035642.000000,7386835264.000000,17314795342.000000,-7683742067.000000,-7301116002.000000,,,,-7301116002.000000,,,-382626065.000000,-7683742067.000000,-10174641280.000000,8621164840.000000,241177673465.000000,,,-254683348862.000000,,,-4950591343.000000,-339539380.000000,,,,,,-10174641280.000000,-543588005.000000,754302281.000000,210714276.000000
12M 2019,22993728818.000000,169757195408.000000,-132294899462.000000,-8439549153.000000,-8283904848.000000,,-2941567499.000000,5196454372.000000,22993728818.000000,-755778980.000000,-728469409.000000,,,,-728469409.000000,41000000.000000,,-68309571.000000,-755778980.000000,-22130788516.000000,-8075334010.000000,95164609659.000000,,,-123543674048.000000,20000000000.000000,-1165739471.000000,-4335830505.000000,-174820141.000000,,,,,,-22130788516.000000,107161322.000000,210714276.000000,317875598.000000
12M 2020,11089716248.000000,183200549541.000000,-148366831022.000000,-11565051194.000000,-9060433024.000000,,-4520065045.000000,1401546992.000000,11089716248.000000,-26049137742.000000,-22562230449.000000,,,,-22562230449.000000,324500000.000000,,-3811407293.000000,-26049137742.000000,21861661975.000000,-545830830.000000,68533858918.000000,,,-54320357008.000000,,-2193690923.000000,-2217118714.000000,-145199468.000000,,12750000000.000000,,,,21861661975.000000,6902240481.000000,317875598.000000,7220116079.000000
12M 2021,-46753554071.000000,599084883427.000000,-523064177289.000000,-74931978043.000000,-15692302870.000000,,-34310354854.000000,2160375558.000000,-46753554071.000000,-39948190510.000000,-40743136202.000000,,,,-40743136202.000000,200000.000000,,794745692.000000,-39948190510.000000,80554378873.000000,,157845217127.000000,,,-149744485227.000000,,-2436988686.000000,-4093375339.000000,-303015418.000000,,8333332500.000000,,70953693916.000000,,80554378873.000000,-6147365708.000000,7220116079.000000,1072750371.000000
12M 2022,108226349614.000000,757857636274.000000,-567529991897.000000,-42452876934.000000,-7946732789.000000,,-31701685040.000000,,108226349614.000000,-1541831071.000000,,-1159090908.000000,,-384240163.000000,-1543331071.000000,1500000.000000,,,-1541831071.000000,98619077764.000000,,310676907667.000000,,389325.000000,-181010192816.000000,,-14203580920.000000,-6103196892.000000,-286141808.000000,-10464627611.000000,13425.000000,,,9507394.000000,98619077764.000000,205294088913.000000,1072750371.000000,206376346678.000000
12M 2023,-128496217522.000000,305587607179.000000,-407226083726.000000,-12815981106.000000,-7814358892.000000,,-6227400977.000000,,-128496217522.000000,-9117173827.000000,,-1445471651.000000,,-8151593617.000000,-9597065268.000000,655000000.000000,-175108559.000000,,-9117173827.000000,-56058792670.000000,,632960121981.000000,,521275.000000,-664670842493.000000,,,-13559742590.000000,-207571998.000000,-10550010820.000000,17975.000000,,,-31286000.000000,-56058792670.000000,-193640898019.000000,206376346678.000000,12704162659.000000
12M 2024,113472348370.000000,370519610759.000000,-218464314059.000000,-20314520489.000000,-11335108818.000000,,-6933319023.000000,,113472348370.000000,-28276763926.000000,,-2288991454.000000,,-25753595940.000000,-28042587394.000000,83500135.000000,-317676667.000000,,-28276763926.000000,-91627433299.000000,,320101441669.000000,133490000.000000,,-396424833578.000000,,,-9241190745.000000,-87977983.000000,-6183337857.000000,,,,74975195.000000,-91627433299.000000,-6506824050.000000,12704162660.000000,6272313805.000000
