Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Adjustment,Aset Tidak Lancar,Aset Tetap,Aset Eksplorasi Dan Evaluasi,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Bank,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,113880972.000000,1207928000.000000,,1207928000.000000,1207928000.000000,300000000000.000000,300000000000.000000,300000000000.000000,8413368222.000000,25455398388.000000,335190575582.000000,,,13279669860.000000,,,,22156691269.000000,35436361129.000000,370626936711.000000,,,332572536551.000000,,,21424000.000000,136101849.000000,157525849.000000,,325000000000.000000,325000000000.000000,40000000.000000,273946775.000000,7101063927.000000,332572536551.000000,12833164669.000000,38257757.000000,,12794906912.000000,12833164669.000000,345405701220.000000,,25000000000.000000,,221235491.000000,,221235491.000000,221235491.000000,,,25221235491.000000,370626936711.000000,25000.000000
12M 2020,,,234744580.000000,8029270943.000000,548859950.000000,7480410993.000000,8029270943.000000,,,,21434960516.000000,17983180859.000000,47682156898.000000,,,38610636865.000000,301472579610.000000,,554828768.000000,18678739584.000000,359316784827.000000,406998941725.000000,,,22205495157.000000,,,4358945810.000000,3163585105.000000,7522530915.000000,,,,185020000.000000,6456585663.000000,8041358579.000000,22205495157.000000,4928732951.000000,,,4928732951.000000,4928732951.000000,27134228108.000000,,350000000000.000000,,21011924090.000000,,21011924090.000000,21011924090.000000,8872816310.000000,-20026783.000000,379864713617.000000,406998941725.000000,7000000000.000000
12M 2021,,,26330591177.000000,55371142149.000000,8138120599.000000,47233021550.000000,55371142149.000000,,,,38687276541.000000,50052363989.000000,170441373856.000000,,,205564148053.000000,336472579610.000000,,,15819302084.000000,557856029747.000000,728297403603.000000,,,45247298838.000000,,,740875386.000000,5898324107.000000,6639199493.000000,,,,195396575.000000,35153325016.000000,3259377754.000000,45247298838.000000,1203102874.000000,866672787.000000,,336430087.000000,1203102874.000000,46450401712.000000,,450000000000.000000,91904751867.000000,131091990139.000000,,131091990139.000000,131091990139.000000,8864016310.000000,-13756425.000000,681847001891.000000,728297403603.000000,9000000000.000000
12M 2022,,,8102045758.000000,86278456409.000000,11967728457.000000,74310727952.000000,86278456409.000000,29700000000.000000,29700000000.000000,29700000000.000000,60593339107.000000,18431277943.000000,203105119217.000000,1.000000,,260564531519.000000,381472579610.000000,1047848810.000000,306643367.000000,,643391603306.000000,846496722524.000000,,,74343152713.000000,,,393079986.000000,6879676420.000000,7272756406.000000,,,,229582817.000000,37140813490.000000,29700000000.000000,74343152713.000000,358956124.000000,,,358956124.000000,358956124.000000,74702108837.000000,,450000000000.000000,91904751867.000000,220981037580.000000,2000000000.000000,218981037580.000000,220981037580.000000,8902870042.000000,5954196.000000,771794613685.000000,846496722522.000000,45000000000.000000
12M 2023,,,1261105408.000000,14316246145.000000,95670000.000000,14220576145.000000,14316246145.000000,,,,7582904783.000000,20000543910.000000,43160800246.000000,,,432140642224.000000,381472579610.000000,896492871.000000,808081656.000000,41887935800.000000,857205732161.000000,900366532407.000000,,,84080097141.000000,,,343399000.000000,5085142825.000000,5428541825.000000,,,,973338358.000000,50863616958.000000,26814600000.000000,84080097141.000000,658450614.000000,,,658450614.000000,658450614.000000,84738547755.000000,,450000000000.000000,91904751867.000000,264798439077.000000,2000000000.000000,262798439077.000000,264798439077.000000,8905202396.000000,19591312.000000,815627984652.000000,900366532407.000000,45000000000.000000
