Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Perolehan Hak Guna Usaha,Penambahan Aset Tidak Berwujud,Uang Muka Investasi,Akuisisi Entitas Anak,Penjualan Aset Tetap,Pembayaran Uang Muka Proyek,Kenaikan (Penurunan) Piutang Lain-Lain,Penambahan Aset Eksplorasi Dan Evaluasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham Entitas Anak Dari Non Pengendali,Setoran Modal,Pembayaran Liabilias Sewa,Kenaikan Hutang Bank,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Kenaikan Aset Lancar Lainnya,Pembayaran Dividen,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,1630333195.000000,13556132765.000000,-8196175017.000000,-925911718.000000,-2803712835.000000,1630333195.000000,-7325807714.000000,,-7325807714.000000,,,,,,,,,-7325807714.000000,5809355491.000000,,8846001362.000000,-3036645871.000000,,,,,,,5809355491.000000,113880972.000000,,113880972.000000
12M 2020,11357353285.000000,103875945449.000000,-76998014380.000000,-4155818884.000000,-11364758900.000000,11357353285.000000,-11525425752.000000,-10450000000.000000,-1075425752.000000,,,,,,,,,-11525425752.000000,288936075.000000,,7390000000.000000,-7101063925.000000,,,,,,,288936075.000000,120863608.000000,113880972.000000,234744580.000000
12M 2021,70947793503.000000,412059260563.000000,-320819948031.000000,-6818930944.000000,-13472588085.000000,70947793503.000000,-227278286323.000000,-40000000000.000000,-152278286323.000000,,,,,,,,-35000000000.000000,-227278286323.000000,182426339417.000000,,100000000000.000000,-9478412450.000000,,,,,,91904751867.000000,182426339417.000000,26095846597.000000,234744580.000000,26330591177.000000
12M 2022,119016352663.000000,661412633780.000000,-498175744412.000000,-14369323804.000000,-29851212901.000000,119016352663.000000,-100955520330.000000,,-24188373347.000000,,-1117705397.000000,,-949441586.000000,,,-29700000000.000000,-45000000000.000000,-100955520330.000000,-36289377754.000000,,,-3259377754.000000,,,,,-33030000000.000000,,-36289377754.000000,-18228545421.000000,26330591177.000000,8102045756.000000
12M 2023,10353618399.000000,60201134154.000000,-36328335996.000000,-6834983419.000000,-6684196340.000000,10353618399.000000,-17194558748.000000,,-2378894948.000000,-44515663800.000000,,,,,,29700000000.000000,,-17194558748.000000,,,,,,,,,,,,-6840940349.000000,8102045758.000000,1261105409.000000
