Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2019,,,,,,24.45,,2.85,,2.22,,0.08,5.64,5.64,1.01
12M 2020,15.23,71.46,18.39,68.3,23.97,27.57,5.11,7.11,4.27,5.73,0.28,0.54,4.35,4.35,2.15
12M 2021,25.19,35.55,8.37,52.37,14.49,8.84,10.27,8.15,3.76,2.32,0.81,0.6,3.67,3.67,3.77
12M 2022,39.9,38.2,5.35,72.75,9.15,5.77,9.56,9.22,2.78,2.4,0.82,0.74,5.03,5.03,2.73
12M 2023,45.68,37.93,7.07,76.54,7.99,20.88,9.62,9.85,1.16,1.07,0.46,0.44,-9.82,-9.82,0.51
