Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,,,,0.00
12M 2019,2 B,(7 B),(6 B),-227818.98
12M 2020,11 B,(12 B),(0 B),-0.02
12M 2021,71 B,(227 B),(156 B),-17.37
12M 2022,119 B,(70 B),49 B,1.08
12M 2023,10 B,(47 B),(37 B),-0.81
