Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Direksi Dan Karyawan,Penerimaan Penghasilan Bunga,Pembayaran Beban Keuangan,Pembayaran Beban Pajak,Penerimaan Restitusi Pajak,Penerimaan Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tidak Lancar Lainnya,Penerimaan Penjualan Aset Tetap,Penambahan Investasi Yang Tersedia Untuk Dijual,Pencairan Investasi Jangka Pendek,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Lembaga Keuangan,Deposito Berjangka Dibatasi Penggunaannya,Pembayaran Fasilitas Pengaturan Pembiayaan Pemasok,Tambahan Modal Disetor,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penerimaan Dari Penawaran Umum Saham Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,87772000000.000000,374779000000.000000,-244209000000.000000,-37386000000.000000,2039000000.000000,-6741000000.000000,-3141000000.000000,,2431000000.000000,,87772000000.000000,2743000000.000000,-3013000000.000000,,59000000.000000,-3000000.000000,5700000000.000000,,2743000000.000000,-68202000000.000000,-20341000000.000000,,575000000.000000,-71500000000.000000,-90000000.000000,-263000000.000000,,,23417000000.000000,,,,,-68202000000.000000,22313000000.000000,41738000000.000000,,64051000000.000000
12M 2017,23574000000.000000,394373000000.000000,-310508000000.000000,-41789000000.000000,4709000000.000000,-412000000.000000,-26618000000.000000,,3819000000.000000,,23574000000.000000,-25095000000.000000,-14073000000.000000,,86000000.000000,-4000000.000000,,-11104000000.000000,-25095000000.000000,137985000000.000000,-34000000.000000,,,,-35000000.000000,-239000000.000000,,,,,-37000000000.000000,,175293000000.000000,137985000000.000000,136464000000.000000,64051000000.000000,,200515000000.000000
12M 2018,29393000000.000000,432049000000.000000,-348502000000.000000,-51666000000.000000,7625000000.000000,-932000000.000000,-10986000000.000000,,1805000000.000000,,29393000000.000000,-4461000000.000000,-4247000000.000000,,,,,-214000000.000000,-4461000000.000000,-22330000000.000000,,4000000000.000000,,,,-107000000.000000,,,,,-26223000000.000000,,,-22330000000.000000,2602000000.000000,200515000000.000000,,203117000000.000000
12M 2019,40998000000.000000,373985000000.000000,-280011000000.000000,-60215000000.000000,8938000000.000000,-1085000000.000000,-5501000000.000000,3950000000.000000,937000000.000000,,40998000000.000000,-15106000000.000000,-12951000000.000000,-2314000000.000000,159000000.000000,,,,-15106000000.000000,-30362000000.000000,,,,,,,,,,,-30362000000.000000,,,-30362000000.000000,-4470000000.000000,203117000000.000000,,198647000000.000000
12M 2020,62326000000.000000,371964000000.000000,-261792000000.000000,-53000000000.000000,8402000000.000000,-1205000000.000000,-6344000000.000000,3350000000.000000,951000000.000000,,62326000000.000000,-3481000000.000000,-3430000000.000000,-51000000.000000,,,,,-3481000000.000000,-26851000000.000000,-4000000000.000000,,,,,,,,,-80000000.000000,-22771000000.000000,,,-26851000000.000000,31994000000.000000,198647000000.000000,,230641000000.000000
12M 2021,29843000000.000000,422523000000.000000,-323558000000.000000,-64856000000.000000,5319000000.000000,-510000000.000000,-10950000000.000000,730000000.000000,1145000000.000000,,29843000000.000000,-6354000000.000000,-5435000000.000000,,,,,-919000000.000000,-6354000000.000000,-20452000000.000000,,10000000000.000000,,,,,,,,-90000000.000000,-30362000000.000000,,,-20452000000.000000,3037000000.000000,230641000000.000000,,233678000000.000000
12M 2022,-506000000.000000,506756000000.000000,-427842000000.000000,-70871000000.000000,4014000000.000000,-1397000000.000000,-12830000000.000000,421000000.000000,1243000000.000000,,-506000000.000000,-19940000000.000000,-19328000000.000000,-30000000.000000,,,,-582000000.000000,-19940000000.000000,-27264000000.000000,,-280000000.000000,4500000000.000000,-1082000000.000000,,,-5000000000.000000,,,-100000000.000000,-25302000000.000000,,,-27264000000.000000,-47710000000.000000,233678000000.000000,,185968000000.000000
12M 2023,65730000000.000000,529860000000.000000,-387980000000.000000,-74874000000.000000,6152000000.000000,-867000000.000000,-8618000000.000000,,2057000000.000000,,65730000000.000000,-5441000000.000000,-5441000000.000000,,,,,,-5441000000.000000,-24441000000.000000,,5280000000.000000,4950000000.000000,-2947000000.000000,,,-6000000000.000000,,,-112000000.000000,-25302000000.000000,-310000000.000000,,-24441000000.000000,35848000000.000000,185968000000.000000,,221816000000.000000
12M 2024,60600000000.000000,387947000000.000000,-256832000000.000000,-72628000000.000000,8199000000.000000,-984000000.000000,-9893000000.000000,2941000000.000000,1850000000.000000,,60600000000.000000,-10456000000.000000,-9902000000.000000,,,,,-554000000.000000,-10456000000.000000,-54391000000.000000,,-11381000000.000000,,-3184000000.000000,,,6000000000.000000,-14947000000.000000,,-104000000.000000,-30362000000.000000,-413000000.000000,,-54391000000.000000,-4247000000.000000,221816000000.000000,,217569000000.000000
