Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,339985000000.000000,-228106000000.000000,111879000000.000000,-23546000000.000000,-6265000000.000000,-17281000000.000000,-23546000000.000000,88333000000.000000,-6600000000.000000,-6741000000.000000,141000000.000000,-6600000000.000000,81733000000.000000,5744000000.000000,,,5744000000.000000,87477000000.000000,-4242000000.000000,83235000000.000000,87477000000.000000,86691000000.000000,786000000.000000,87477000000.000000,83235000000.000000,82462000000.000000,773000000.000000,83235000000.000000
12M 2017,368174000000.000000,-280493000000.000000,87681000000.000000,-34420000000.000000,-7111000000.000000,-27309000000.000000,-34420000000.000000,53261000000.000000,6038000000.000000,-412000000.000000,6450000000.000000,6038000000.000000,59299000000.000000,-12200000000.000000,,,-12200000000.000000,47099000000.000000,327157000000.000000,374256000000.000000,47099000000.000000,46853000000.000000,246000000.000000,47099000000.000000,374256000000.000000,369101000000.000000,5155000000.000000,374256000000.000000
12M 2018,399193000000.000000,-320304000000.000000,78889000000.000000,-43551000000.000000,-13529000000.000000,-30022000000.000000,-43551000000.000000,35338000000.000000,8695000000.000000,-932000000.000000,9627000000.000000,8695000000.000000,44033000000.000000,-10245000000.000000,,,-10245000000.000000,33788000000.000000,65272000000.000000,99060000000.000000,33788000000.000000,33508000000.000000,280000000.000000,33788000000.000000,99060000000.000000,97704000000.000000,1356000000.000000,99060000000.000000
12M 2019,349579000000.000000,-268776000000.000000,80803000000.000000,-46081000000.000000,-10086000000.000000,-35995000000.000000,-46081000000.000000,34722000000.000000,7764000000.000000,-1085000000.000000,8849000000.000000,7764000000.000000,42486000000.000000,-9627000000.000000,,,-9627000000.000000,32859000000.000000,-346000000.000000,32513000000.000000,32859000000.000000,32457000000.000000,402000000.000000,32859000000.000000,32513000000.000000,32077000000.000000,436000000.000000,32513000000.000000
12M 2020,349983000000.0,-262814000000.0,87169000000.0,-42083000000.0,-10871000000.0,-31212000000.0,-42083000000.0,45086000000.0,5010000000.0,-1205000000.0,6215000000.0,5010000000.0,50096000000.0,-10011000000.0,-7971000000.0,-2040000000.0,-10011000000.0,40085000000.0,37781000000.0,77866000000.0,40085000000.0,39839000000.0,246000000.0,40085000000.0,77866000000.0,77075000000.0,791000000.0,77866000000.0
12M 2021,397308000000.000000,-310677000000.000000,86631000000.000000,-50968000000.000000,-18987000000.000000,-31981000000.000000,-50968000000.000000,35663000000.000000,11382000000.000000,-537000000.000000,11919000000.000000,11382000000.000000,47045000000.000000,-8194000000.000000,,,-8194000000.000000,38851000000.000000,6067000000.000000,44918000000.000000,38851000000.000000,38710000000.000000,141000000.000000,38851000000.000000,44918000000.000000,44685000000.000000,233000000.000000,44918000000.000000
12M 2022,486876000000.000000,-387839000000.000000,99037000000.000000,-52394000000.000000,-20937000000.000000,-31457000000.000000,-52394000000.000000,46643000000.000000,2412000000.000000,-1397000000.000000,3809000000.000000,2412000000.000000,49055000000.000000,-10638000000.000000,,,-10638000000.000000,38417000000.000000,21112000000.000000,59529000000.000000,38417000000.000000,37950000000.000000,467000000.000000,38417000000.000000,59529000000.000000,58760000000.000000,769000000.000000,59529000000.000000
12M 2023,470700000000.000000,-364182000000.000000,106518000000.000000,-51049000000.000000,-17794000000.000000,-33255000000.000000,-51049000000.000000,55469000000.000000,6055000000.000000,-867000000.000000,6922000000.000000,6055000000.000000,61524000000.000000,-13117000000.000000,,,-13117000000.000000,48407000000.000000,969000000.000000,49376000000.000000,48407000000.000000,47795000000.000000,612000000.000000,48407000000.000000,49376000000.000000,48730000000.000000,646000000.000000,49376000000.000000
12M 2024,344460000000.000000,-270545000000.000000,73915000000.000000,-43280000000.000000,-11161000000.000000,-32119000000.000000,-43280000000.000000,30635000000.000000,4720000000.000000,-1012000000.000000,5732000000.000000,4720000000.000000,35355000000.000000,-6668000000.000000,,,-6668000000.000000,28687000000.000000,11026000000.000000,39713000000.000000,28687000000.000000,27548000000.000000,1139000000.000000,28687000000.000000,39713000000.000000,38224000000.000000,1489000000.000000,39713000000.000000
