Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,"Pembayaran Kepada Karyawan, Beban Operasi Dan Lain-Lain",Penerimaan Tagihan Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Surat-Surat Berharga,Penempatan Surat-Surat Berharga,Penerimaan Pendapatan Deviden,Penambahan Investasi Saham,Penerimaan Pendapatan Dividen Dari Ventura Bersama,Penerimaan Dana Dari Bank Atas Pembiayaan Pengembangan Kebun Plasma,Penurunan (Kenaikan) Piutang Plasma,Pembiayaan Pengembangan Kebun Plasma,Kenaikan (Penurunan) Aset Tidak Lancar Lainnya,Penerimaan Pendapatan Bunga,Penambahan Aset Takberwujud,Penerimaan Dari Penjualan Aset Tetap,Kenaikan Investasi Pada Entitas Asosiasi,Penerimaan Piutang Lain-Lain Atas Pelepasan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Beban Bunga Dan Provisi Bank,Penjualan Saham Perusahaan Melalui Penawaran Umum Kepada Masyarakat,Biaya Emisi Saham,Pembayaran Dividen Tunai,Peningkatan Modal Saham Entitas Anak,Pembayaran Dividen Tunai Entitas Anak,Pembayaran Dividen Tunai Kepentingan Nonpengendali,Pembayaran Dividen Kas Entitas Anak Kepada Kepentingan Nonpengendali,Penerimaan Dari Transaksi Jual Dan Sewa Kembali,Pembayaran Liabilitas Sewa Dan Liabilitas Keuangan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,715666000000.000000,4277668000000.000000,-2199931000000.000000,-1269975000000.000000,4643000000.000000,-96739000000.000000,715666000000.000000,-606022000000.000000,-751135000000.000000,-27414000000.000000,538901000000.000000,-538534000000.000000,100000000000.000000,,,84198000000.000000,,-66410000000.000000,-4338000000.000000,57287000000.000000,-7869000000.000000,6792000000.000000,,2500000000.000000,-606022000000.000000,-1479182000000.000000,479000000000.000000,-1422100000000.000000,300000000000.000000,-406887000000.000000,-446217000000.000000,,,,,,,,87000000000.000000,-69978000000.000000,-1479182000000.000000,-1369538000000.000000,,2833684000000.000000,1464146000000.000000
12M 2020,1552735000000.000000,5332586000000.000000,-2250994000000.000000,-1458170000000.000000,22183000000.000000,-92870000000.000000,1552735000000.000000,-212885000000.000000,-427222000000.000000,-17632000000.000000,152702000000.000000,,50000000000.000000,,,1295000000.000000,,-10759000000.000000,1425000000.000000,39950000000.000000,-4021000000.000000,1377000000.000000,,,-212885000000.000000,-1314035000000.000000,,-299000000000.000000,286224000000.000000,-990637000000.000000,-245489000000.000000,,,,,,,,41000000000.000000,-106133000000.000000,-1314035000000.000000,25815000000.000000,,1464146000000.000000,1489961000000.000000
12M 2021,1455015000000.000000,6280134000000.000000,-3458681000000.000000,-1231545000000.000000,21614000000.000000,-156507000000.000000,1455015000000.000000,-357107000000.000000,-455163000000.000000,-15443000000.000000,,,150000000000.000000,,,,-14589000000.000000,,-34992000000.000000,20992000000.000000,-8788000000.000000,876000000.000000,,,-357107000000.000000,-1317024000000.000000,,-180000000000.000000,,-782196000000.000000,-158833000000.000000,173240000000.000000,-12823000000.000000,-299972000000.000000,57835000000.000000,,-3300000000.000000,,,-110975000000.000000,-1317024000000.000000,-219116000000.000000,9393000000.000000,1489961000000.000000,1280238000000.000000
12M 2022,3175480000000.000000,9388794000000.000000,-4324034000000.000000,-1571601000000.000000,23646000000.000000,-341325000000.000000,3175480000000.000000,-662802000000.000000,-738152000000.000000,-53849000000.000000,,-5357000000.000000,150000000000.000000,-62931000000.000000,,,56342000000.000000,,-30907000000.000000,24166000000.000000,-4145000000.000000,2031000000.000000,,,-662802000000.000000,-1883703000000.000000,,,,-1238607000000.000000,-104116000000.000000,,,-496314000000.000000,,,,,,-44666000000.000000,-1883703000000.000000,628975000000.000000,48560000000.000000,1280238000000.000000,1957773000000.000000
12M 2023,1569363000000.000000,8279893000000.000000,-4448440000000.000000,-1679162000000.000000,1546000000.000000,-584474000000.000000,1569363000000.000000,-441818000000.000000,-802438000000.000000,,,-4371000000.000000,300000000000.000000,,,,19182000000.000000,,-51086000000.000000,41484000000.000000,,55411000000.000000,,,-441818000000.000000,-2049701000000.000000,75000000000.000000,,1320000000000.000000,-2577392000000.000000,-110416000000.000000,,,-754397000000.000000,17000000.000000,,,,,-2513000000.000000,-2049701000000.000000,-922156000000.000000,-28821000000.000000,1957773000000.000000,1006796000000.000000
12M 2024,3239185000000.000000,9553066000000.000000,-4082349000000.000000,-1946384000000.000000,1635000000.000000,-286783000000.000000,3239185000000.000000,576160000000.000000,-587641000000.000000,,,-1832000000.000000,1170000000000.000000,,,,9990000000.000000,,-40109000000.000000,53578000000.000000,,21174000000.000000,-49000000000.000000,,576160000000.000000,-3516260000000.000000,545000000000.000000,,800000000000.000000,-1366101000000.000000,-76640000000.000000,,,-3315374000000.000000,,,,-103145000000.000000,,,-3516260000000.000000,299085000000.000000,3335000000.000000,1006796000000.000000,1309216000000.000000
