Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,4329148000000.000000,-3475993000000.000000,853155000000.000000,-528145000000.000000,-245525000000.000000,-282620000000.000000,-528145000000.000000,325010000000.000000,19976000000.000000,145999000000.000000,-431344000000.000000,305321000000.000000,19976000000.000000,344986000000.000000,-157466000000.000000,187520000000.000000,284000000.000000,187804000000.000000,187520000000.000000,191415000000.000000,-3895000000.000000,,187520000000.000000,187804000000.000000,191798000000.000000,-3994000000.000000,187804000000.000000
12M 2020,5265785000000.000000,-3872987000000.000000,1392798000000.000000,-495711000000.000000,-193937000000.000000,-301774000000.000000,-495711000000.000000,897087000000.000000,173797000000.000000,49477000000.000000,-391036000000.000000,515356000000.000000,173797000000.000000,1070884000000.000000,-138149000000.000000,932735000000.000000,-27356000000.000000,905379000000.000000,932735000000.000000,911068000000.000000,21667000000.000000,,932735000000.000000,905379000000.000000,884571000000.000000,20808000000.000000,905379000000.000000
12M 2021,6278123000000.000000,-4662334000000.000000,1615789000000.000000,-529498000000.000000,-168204000000.000000,-361294000000.000000,-529498000000.000000,1086291000000.000000,334973000000.000000,20992000000.000000,-197064000000.000000,511045000000.000000,334973000000.000000,1421264000000.000000,-222517000000.000000,1198747000000.000000,26002000000.000000,1224749000000.000000,1198747000000.000000,1159036000000.000000,39711000000.000000,,1198747000000.000000,1224749000000.000000,1183889000000.000000,40860000000.000000,1224749000000.000000
12M 2022,9345641000000.000000,-5629777000000.000000,3715864000000.000000,-684953000000.000000,-284032000000.000000,-400921000000.000000,-684953000000.000000,3030911000000.000000,658370000000.000000,69469000000.000000,-380151000000.000000,969052000000.000000,658370000000.000000,3689281000000.000000,-600536000000.000000,3088745000000.000000,24302000000.000000,3113047000000.000000,3088745000000.000000,2981120000000.000000,107625000000.000000,,3088745000000.000000,3113047000000.000000,3004371000000.000000,108676000000.000000,3113047000000.000000
12M 2023,8325887000000.000000,-6108590000000.000000,2217297000000.000000,-875030000000.000000,-305154000000.000000,-569876000000.000000,-875030000000.000000,1342267000000.000000,598831000000.000000,77998000000.000000,-152924000000.000000,673757000000.000000,598831000000.000000,1941098000000.000000,-279840000000.000000,1661258000000.000000,19918000000.000000,1681176000000.000000,1661258000000.000000,1608217000000.000000,53041000000.000000,,1661258000000.000000,1681176000000.000000,1627077000000.000000,54099000000.000000,1681176000000.000000
12M 2024,9671463000000.000000,-5948685000000.000000,3722778000000.000000,-894242000000.000000,-281644000000.000000,-612598000000.000000,-894242000000.000000,2828536000000.000000,1098368000000.000000,63966000000.000000,-75443000000.000000,1109845000000.000000,1098368000000.000000,3926904000000.000000,-686305000000.000000,3240599000000.000000,114809000000.000000,3355408000000.000000,3240599000000.000000,3120276000000.000000,120323000000.000000,,3240599000000.000000,3355408000000.000000,3229322000000.000000,126086000000.000000,3355408000000.000000
