Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,4306203000000.000000,-3829471000000.000000,476732000000.000000,-138107000000.000000,-72117000000.000000,-65990000000.000000,-138107000000.000000,338625000000.000000,36760000000.000000,7563000000.000000,-10742000000.000000,10464000000.000000,,,29475000000.000000,36760000000.000000,375385000000.000000,-80017000000.000000,295368000000.000000,190406000000.000000,485774000000.000000,,,485774000000.000000,485774000000.000000,,485774000000.000000,,,,
12M 2008,4988056000000.000000,-4786235000000.000000,201821000000.000000,-139160000000.000000,-72546000000.000000,-66614000000.000000,-139160000000.000000,62661000000.000000,-77633000000.000000,14403000000.000000,-42369000000.000000,-41022000000.000000,,,-8645000000.000000,-77633000000.000000,-14972000000.000000,1217000000.000000,-13755000000.000000,,-13755000000.000000,,,-13755000000.000000,-13755000000.000000,,-13755000000.000000,,,,
12M 2009,4739684000000.000000,-3799249000000.000000,940435000000.000000,-157438000000.000000,-75452000000.000000,-81986000000.000000,-157438000000.000000,782997000000.000000,-148435000000.000000,13744000000.000000,-57096000000.000000,-110266000000.000000,,,5183000000.000000,-148435000000.000000,634562000000.000000,-151678000000.000000,482884000000.000000,,482884000000.000000,,,482884000000.000000,482884000000.000000,,482884000000.000000,,,,
12M 2010,5176270000000.000000,-4567343000000.000000,608927000000.000000,-144103000000.000000,-78805000000.000000,-65298000000.000000,-144103000000.000000,464824000000.000000,-10860000000.000000,9099000000.000000,-28462000000.000000,-13380000000.000000,,,21883000000.000000,-10860000000.000000,453964000000.000000,-105677000000.000000,348287000000.000000,,348287000000.000000,,,348287000000.000000,348287000000.000000,,348287000000.000000,,,,
12M 2011,2197484000.000000,-2092868000.000000,104616000.000000,-58349000.000000,-27634000.000000,-30715000.000000,-58349000.000000,46267000.000000,-48398000.000000,,-48688000.000000,-2258000.000000,,514000.000000,2034000.000000,-48398000.000000,-2131000.000000,10138000.000000,8007000.000000,,8007000.000000,,8007000.000000,8007000.000000,8007000.000000,,8007000.000000,8007000.000000,8007000.000000,,8007000.000000
12M 2012,2285158000.000000,-2262369000.000000,22789000.000000,-62667000.000000,-35942000.000000,-26725000.000000,-62667000.000000,-39878000.000000,-70760000.000000,,-45936000.000000,-10508000.000000,,455000.000000,-14771000.000000,-70760000.000000,-110638000.000000,23425000.000000,-87213000.000000,,-87213000.000000,-116000.000000,-87329000.000000,-87213000.000000,-87391000.000000,178000.000000,-87213000.000000,-87329000.000000,-87450000.000000,121000.000000,-87329000.000000
12M 2013,2506414000.000000,-2408370000.000000,98044000.000000,-66727000.000000,-41155000.000000,-25572000.000000,-66727000.000000,31317000.000000,-14238000.000000,1261000.000000,-22747000.000000,-4389000.000000,,2000.000000,11635000.000000,-14238000.000000,17079000.000000,-6049000.000000,11030000.000000,,11030000.000000,-2718000.000000,8312000.000000,11030000.000000,9682000.000000,1348000.000000,11030000.000000,8312000.000000,8303000.000000,9000.000000,8312000.000000
12M 2014,2460051000.000000,-2342587000.000000,117464000.000000,-67385000.000000,-42539000.000000,-24846000.000000,-67385000.000000,50079000.000000,-25167000.000000,,-31942000.000000,-3608000.000000,,-825000.000000,11208000.000000,-25167000.000000,24912000.000000,-6666000.000000,18246000.000000,,18246000.000000,-65000.000000,18181000.000000,18246000.000000,18051000.000000,195000.000000,18246000.000000,18181000.000000,18018000.000000,163000.000000,18181000.000000
12M 2015,1377573000.000000,-1231844000.000000,145729000.000000,-66507000.000000,-41675000.000000,-24832000.000000,-66507000.000000,79222000.000000,-23323000.000000,,-22537000.000000,-11505000.000000,,-3720000.000000,14439000.000000,-23323000.000000,55899000.000000,-29643000.000000,26256000.000000,,26256000.000000,-328000.000000,25928000.000000,26256000.000000,26337000.000000,-81000.000000,26256000.000000,25928000.000000,26316000.000000,-388000.000000,25928000.000000
12M 2016,1930336000.000000,-1436018000.000000,494318000.000000,-70528000.000000,-42624000.000000,-27904000.000000,-70528000.000000,423790000.000000,-23237000.000000,,-31887000.000000,-1320000.000000,,-5861000.000000,15831000.000000,-23237000.000000,400553000.000000,-100428000.000000,300125000.000000,,300125000.000000,-1625000.000000,298500000.000000,300125000.000000,300016000.000000,109000.000000,300125000.000000,298500000.000000,298328000.000000,172000.000000,298500000.000000
12M 2017,2418509000.000000,-1873505000.000000,545004000.000000,-80672000.000000,-42377000.000000,-38295000.000000,-80672000.000000,464332000.000000,-39730000.000000,,-36036000.000000,-2569000.000000,,-8756000.000000,7631000.000000,-39730000.000000,424602000.000000,-105448000.000000,319154000.000000,,319154000.000000,-1538000.000000,317616000.000000,319154000.000000,318624000.000000,530000.000000,319154000.000000,317616000.000000,317095000.000000,521000.000000,317616000.000000
12M 2018,2543219000.000000,-2152729000.000000,390490000.000000,-75729000.000000,-38753000.000000,-36976000.000000,-75729000.000000,314761000.000000,-60664000.000000,,-51283000.000000,-8053000.000000,,-14893000.000000,13565000.000000,-60664000.000000,254097000.000000,-71781000.000000,182316000.000000,,182316000.000000,598000.000000,182914000.000000,182316000.000000,181651000.000000,665000.000000,182316000.000000,182914000.000000,182408000.000000,506000.000000,182914000.000000
12M 2019,1880989000.000000,-1709877000.000000,171112000.000000,-84542000.000000,-41510000.000000,-43032000.000000,-84542000.000000,86570000.000000,-47795000.000000,,-56387000.000000,-2470000.000000,,-8507000.000000,19569000.000000,-47795000.000000,38775000.000000,-15128000.000000,23647000.000000,,23647000.000000,530000.000000,24177000.000000,23647000.000000,22882000.000000,765000.000000,23647000.000000,24177000.000000,23434000.000000,743000.000000,24177000.000000
12M 2020,1806444000.000000,-1641322000.000000,165122000.000000,-83664000.000000,-49933000.000000,-33731000.000000,-83664000.000000,81458000.000000,-52619000.000000,,-64974000.000000,-10939000.000000,,,23294000.000000,-52619000.000000,28839000.000000,22703000.000000,51542000.000000,,51542000.000000,174000.000000,51716000.000000,51542000.000000,51352000.000000,190000.000000,51542000.000000,51716000.000000,51530000.000000,186000.000000,51716000.000000
12M 2021,2580425000.000000,-2235404000.000000,345021000.000000,-91469000.000000,-52842000.000000,-38627000.000000,-91469000.000000,253552000.000000,-51556000.000000,,-65401000.000000,1853000.000000,,,11992000.000000,-51556000.000000,201996000.000000,-50127000.000000,151869000.000000,,151869000.000000,286000.000000,152155000.000000,151869000.000000,151986000.000000,-117000.000000,151869000.000000,152155000.000000,152266000.000000,-111000.000000,152155000.000000
12M 2022,2384591000.000000,-2395545000.000000,-10954000.000000,-105266000.000000,-61863000.000000,-43403000.000000,-105266000.000000,-116220000.000000,-60255000.000000,,-80029000.000000,10006000.000000,,,9768000.000000,-60255000.000000,-176475000.000000,27076000.000000,-149399000.000000,,-149399000.000000,39981000.000000,-109418000.000000,-149399000.000000,-149538000.000000,139000.000000,-149399000.000000,-109418000.000000,-109557000.000000,139000.000000,-109418000.000000
12M 2023,2159932000.000000,-2078102000.000000,81830000.000000,-109705000.000000,-68760000.000000,-40945000.000000,-109705000.000000,-27875000.000000,-26689000.000000,75508000.000000,-131847000.000000,-4576000.000000,,7702000.000000,26524000.000000,-26689000.000000,-54564000.000000,23017000.000000,-31547000.000000,,-31547000.000000,-2496000.000000,-34043000.000000,-31547000.000000,-33576000.000000,2029000.000000,-31547000.000000,-34043000.000000,-36009000.000000,1966000.000000,-34043000.000000
12M 2024,1785364000.000000,-1737045000.000000,48319000.000000,-105051000.000000,-45315000.000000,-59736000.000000,-105051000.000000,-56732000.000000,-34996000.000000,94974000.000000,-158477000.000000,4397000.000000,,10975000.000000,13135000.000000,-34996000.000000,-91728000.000000,34429000.000000,-57299000.000000,,-57299000.000000,-5807000.000000,-63106000.000000,-57299000.000000,-69163000.000000,11864000.000000,-57299000.000000,-63106000.000000,-75171000.000000,12065000.000000,-63106000.000000
