Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Direksi Dan Karyawan",Penerimaan Bunga,Pembayaran Atas Tagihan Pajak,Penerimaan Dari Restitusi Pajak,Pembayaran Pajak Penghasilan,Pembayaran Pajak Lainnya,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Di Perusahaan Asosiasi,Investasi Pada Saham,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penempatan Pada Rekening Bank Yang Dibatasi Penggunaannya,Penarikan Dari Rekening Bank Yang Dibatasi Penggunaannya,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Tax Security Deposit,Pembayaran Tagihan Atas Restitusi Pajak,Pembayaran Uang Muka Pembelian Hak Atas Tanah,Pembayaran Utang Pembelian Aset Tetap,Arus Kas Bersih Pada Saat Akuisisi,Penerimaan Bunga,Penerimaan Dividen Tunai,Penerimaan Dividen Dari Entitas Asosiasi,Perolehan Investasi Sementara,Pengembalian Investasi Sementara,Hasil Penjualan Investasi Sementara,Pembayaran Beban Bunga Yang Dikapitalisasi Ke Aset Tetap,Penempatan Pada Deposito Berjangka,(Penempatan) Penarikan Pada Deposito Berjangka,Penerimaan Atas Aset Keuangan Lainnya Yang Telah Jatuh Tempo,Akusisi Entitas Anak,Akusisi Entitas Asosiasi,Penempatan Pada Aset Keuangan Lainnya,Penerimaan Dari Penjualan Aset Tidak Lancar,Penerimaan Dari Penjualan Aset Keuangan Lancar Lainnya,Penarikan Aset Keuangan Lancar Lainnya,Pembayaran Untuk Kepemilikan Tambahan Pada Entitas Asosiasi,Pembayaran Untuk Kepemilikan Tambahan Pada Entitas Anak,Pemberian Pinjaman Kepada Pihak Berelasi,Pembayaran Beban Tangguhan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Penawaran Umum Terbatas,Pembayaran Emisi Penawaran Umum Terbatas,Penerimaan (Pembayaran) Obligasi Yang Dijamin Dan Bersifat Senior,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Utang Bank Jangka Panjang Dan Utang Jangka Panjang Lainnya,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa Pembiayaan,Penempatan Pada Rekening Yang Dibatasi Penggunaannya,Pembayaran Dividen :,Perusahaan,Entitas Anak,Total Pembayaran Dividen :,Pembayaran Biaya Perolehan Pinjaman,Pembelian Saham Diperoleh Kembali,Penerimaan Utang Obligasi,Pembayaran Liabilitas Sewa,Pembayaran Utang Obligasi,Pembayaran Liabilitas Keuangan,Penerimaan Atas Penambahan Investasi Pada Saham Entitas Anak Oleh Kepentingan Nonpengendali,Penerimaan Pinjaman Berjangka - Setelah Dikurangi Biaya Perolehan Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,543326000000.000000,4741398000000.000000,-4051436000000.000000,,,1866000000.000000,-33107000000.000000,-56849000000.000000,-58546000000.000000,543326000000.000000,7834000000.000000,,,4825000000.000000,-4554000000.000000,,,,,,,,,7563000000.000000,,,,,,,,,,,,,,,,,,,,7834000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,551160000000.000000,74121000000.000000,6051000000.000000,631332000000.000000
12M 2008,-85899000000.000000,5877487000000.000000,-5788251000000.000000,,,66650000000.000000,-134008000000.000000,-67585000000.000000,-40192000000.000000,-85899000000.000000,6074000000.000000,,,936000000.000000,-9265000000.000000,,,,,,,,,14403000000.000000,,,,,,,,,,,,,,,,,,,,6074000000.000000,-145680000000.000000,,,,,,,,,,,,,,-145680000000.000000,,-145680000000.000000,,,,,,,,,-145680000000.000000,-225505000000.000000,613203000000.000000,71921000000.000000,459619000000.000000
12M 2009,601240000000.000000,5077730000000.000000,-4137558000000.000000,,,,-145074000000.000000,-132588000000.000000,-61270000000.000000,601240000000.000000,-90557000000.000000,,,5966000000.000000,-20174000000.000000,,,,,,,,,13744000000.000000,,,-134831000000.000000,,44738000000.000000,,,,,,,,,,,,,,,-90557000000.000000,-161076000000.000000,,,,,,-51816000000.000000,,,,,,,,-109260000000.000000,,-109260000000.000000,,,,,,,,,-161076000000.000000,349607000000.000000,448710000000.000000,-145964000000.000000,652353000000.000000
12M 2010,579350000000.000000,5679005000000.000000,-4977900000000.000000,,,105631000000.000000,-113658000000.000000,-74868000000.000000,-38860000000.000000,579350000000.000000,-51949000000.000000,,,213000000.000000,-13661000000.000000,,,-113466000000.000000,,,,,,9099000000.000000,,,-186780000000.000000,,280462000000.000000,,,,,,,,,,,,,,-27816000000.000000,-51949000000.000000,-528291000000.000000,,,,,,-444525000000.000000,,,,,,,,-83766000000.000000,,-83766000000.000000,,,,,,,,,-528291000000.000000,-890000000.000000,658866000000.000000,-21198000000.000000,636778000000.000000
12M 2011,121214000.000000,564616000.000000,-474560000.000000,,,45830000.000000,-14672000.000000,,,121214000.000000,-35207000.000000,,,,-5078000.000000,-1870000.000000,,,,,,,,203000.000000,,,-28462000.000000,,,,,,,,,,,,,,,,,-35207000.000000,34539000.000000,,,,-17536000.000000,,,,,,-25000000.000000,,,,,,,,,,,,,,77075000.000000,34539000.000000,120546000.000000,54703000.000000,,175249000.000000
12M 2012,145982000.000000,2263690000.000000,-2115074000.000000,,,35070000.000000,-37704000.000000,,,145982000.000000,-126996000.000000,,,555000.000000,-130239000.000000,-9377000.000000,9908000.000000,-1254000.000000,,,,,2220000.000000,1030000.000000,161000.000000,,,,,,,,,,,,,,,,,,,-126996000.000000,7259000.000000,,,-220380000.000000,-39317000.000000,,,,-25000000.000000,5000000.000000,,-80000.000000,,,,,,,,,,,,,287036000.000000,7259000.000000,26245000.000000,54703000.000000,,80948000.000000
12M 2013,153843000.000000,2479694000.000000,-2337443000.000000,,,39613000.000000,-28021000.000000,,,153843000.000000,-149955000.000000,-5400000.000000,,6625000.000000,-87794000.000000,,1342000.000000,-36194000.000000,,-29795000.000000,,,,1261000.000000,,,,,,,,,,,,,,,,,,,,-149955000.000000,98292000.000000,127634000.000000,,,-19716000.000000,,,21776000.000000,-5000000.000000,,-20010000.000000,-63000.000000,,,-1453000.000000,,-1453000.000000,-4876000.000000,,,,,,,,98292000.000000,102180000.000000,123393000.000000,,225573000.000000
12M 2014,116197000.000000,2532884000.000000,-2442796000.000000,,,61404000.000000,-35295000.000000,,,116197000.000000,-123838000.000000,-8100000.000000,,31000.000000,-64714000.000000,-12364000.000000,,-10051000.000000,,-27444000.000000,,,,2694000.000000,,,,,,-3890000.000000,,,,,,,,,,,,,,-123838000.000000,89294000.000000,,,,-25927000.000000,-9667000.000000,,72003000.000000,-93779000.000000,200928000.000000,-46410000.000000,-67000.000000,,,-2600000.000000,-1656000.000000,-4256000.000000,-3531000.000000,,,,,,,,89294000.000000,81653000.000000,241873000.000000,,323526000.000000
12M 2015,104714000.000000,1435887000.000000,-1348696000.000000,,,44854000.000000,-27331000.000000,,,104714000.000000,-213198000.000000,-40500000.000000,,34000.000000,-180301000.000000,-372000.000000,,-3837000.000000,,,,,,810000.000000,,,,,,-14821000.000000,,,,,,,25789000.000000,,,,,,,-213198000.000000,22228000.000000,,,,-25157000.000000,-4330000.000000,,238800000.000000,-188000000.000000,160864000.000000,-152357000.000000,-54000.000000,,,-4500000.000000,-444000.000000,-4944000.000000,-2594000.000000,,,,,,,,22228000.000000,-86256000.000000,207939000.000000,,121683000.000000
12M 2016,475893000.000000,1843295000.000000,-1352401000.000000,,,54192000.000000,-69193000.000000,,,475893000.000000,-208692000.000000,,,116000.000000,-205149000.000000,,2366000.000000,-3101000.000000,,,,,,1906000.000000,,,,,,-4830000.000000,,,,,,,,,,,,,,-208692000.000000,-204983000.000000,,,,-27873000.000000,-6879000.000000,,220135000.000000,-270935000.000000,199800000.000000,-309600000.000000,,,,-43434000.000000,-244000.000000,-43678000.000000,-3463000.000000,,37510000.000000,,,,,,-204983000.000000,62218000.000000,96835000.000000,,159053000.000000
