Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Liabilitas Derivatif,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,613203000000.000000,,685553000000.000000,,685553000000.000000,685553000000.000000,3091000000.000000,,,3091000000.000000,,197093000000.000000,39380000000.000000,1538320000000.000000,,,1069856000000.000000,,,,2306000000.000000,1072162000000.000000,2610482000000.000000,,,404915000000.000000,,,241616000000.000000,71104000000.000000,312720000000.000000,11299000000.000000,,,11299000000.000000,40821000000.000000,40075000000.000000,,,,,,,,404915000000.000000,634146000000.000000,99965000000.000000,518045000000.000000,,,,518045000000.000000,12425000000.000000,3711000000.000000,634146000000.000000,1039061000000.000000,,728401000000.000000,263531000000.000000,,,,,579489000000.000000,1571421000000.000000,2610482000000.000000,728401000.000000
12M 2008,,,448710000000.000000,,345411000000.000000,64551000000.000000,280860000000.000000,345411000000.000000,1382000000.000000,,,1382000000.000000,,411017000000.000000,146737000000.000000,1353257000000.000000,,,1019039000000.000000,,,,2370000000.000000,1021409000000.000000,2374666000000.000000,,,298842000000.000000,,,98453000000.000000,88712000000.000000,187165000000.000000,13381000000.000000,,,13381000000.000000,8211000000.000000,29860000000.000000,,60225000000.000000,,,,60225000000.000000,,298842000000.000000,663838000000.000000,92199000000.000000,542025000000.000000,,,,542025000000.000000,25240000000.000000,4374000000.000000,663838000000.000000,962680000000.000000,,728401000000.000000,263531000000.000000,10000000000.000000,10000000000.000000,10000000000.000000,,410054000000.000000,1411986000000.000000,2374666000000.000000,728401000.000000
12M 2009,,,658866000000.000000,,377411000000.000000,47686000000.000000,329725000000.000000,377411000000.000000,763000000.000000,,,763000000.000000,,490721000000.000000,263220000000.000000,1790981000000.000000,,,954740000000.000000,,,,2194000000.000000,956934000000.000000,2747915000000.000000,,,555153000000.000000,,,208667000000.000000,102633000000.000000,311300000000.000000,7410000000.000000,,,7410000000.000000,36654000000.000000,55029000000.000000,,144760000000.000000,,,,144760000000.000000,,555153000000.000000,406899000000.000000,66790000000.000000,320540000000.000000,,,,320540000000.000000,17355000000.000000,2214000000.000000,406899000000.000000,962052000000.000000,,728401000000.000000,263531000000.000000,10000000000.000000,10000000000.000000,10000000000.000000,,783931000000.000000,1785863000000.000000,2747915000000.000000,728401000.000000
12M 2010,,,549652000000.000000,,299014000000.000000,,299014000000.000000,299014000000.000000,1011000000.000000,,,1011000000.000000,,883331000000.000000,98743000000.000000,1831751000000.000000,,,1138234000000.000000,,,,33101000000.000000,1171335000000.000000,3003086000000.000000,,,882548000000.000000,,,508442000000.000000,300358000000.000000,808800000000.000000,10135000000.000000,,,10135000000.000000,31354000000.000000,32259000000.000000,,,,,,,,882548000000.000000,70407000000.000000,61854000000.000000,,,,,,8553000000.000000,,70407000000.000000,952955000000.000000,,728401000000.000000,263531000000.000000,20000000000.000000,20000000000.000000,20000000000.000000,,1038199000000.000000,2050131000000.000000,3003086000000.000000,728401000.000000
12M 2011,,,54703000.000000,,132133000.000000,2326000.000000,129807000.000000,132133000.000000,1821000.000000,,,1821000.000000,,281079000.000000,182071000.000000,651807000.000000,,5706000.000000,928200000.000000,,,,19209000.000000,953115000.000000,1604922000.000000,,,370362000.000000,25000000.000000,,8026000.000000,314479000.000000,322505000.000000,3293000.000000,,,3293000.000000,1788000.000000,14210000.000000,,,,,95000.000000,95000.000000,3471000.000000,370362000.000000,436891000.000000,153094000.000000,,62338000.000000,202725000.000000,2222000.000000,267285000.000000,,16512000.000000,436891000.000000,807253000.000000,,341030000.000000,,3339000.000000,3339000.000000,3339000.000000,,453300000.000000,797669000.000000,1604922000.000000,3066196416.000000
12M 2012,,,123393000.000000,,154489000.000000,25603000.000000,128886000.000000,154489000.000000,3117000.000000,,,3117000.000000,,275744000.000000,138106000.000000,694849000.000000,,,971833000.000000,,,,20433000.000000,992266000.000000,1687115000.000000,,,484305000.000000,5000000.000000,,115644000.000000,329996000.000000,445640000.000000,3113000.000000,,,3113000.000000,983000.000000,6852000.000000,,20010000.000000,,,62000.000000,20072000.000000,2645000.000000,484305000.000000,481980000.000000,129541000.000000,,331351000.000000,,122000.000000,331473000.000000,1091000.000000,19875000.000000,481980000.000000,966285000.000000,,341030000.000000,,3939000.000000,3939000.000000,3939000.000000,10611000.000000,365250000.000000,720830000.000000,1687115000.000000,3066196416.000000
12M 2013,,,241873000.000000,,181208000.000000,6791000.000000,174417000.000000,181208000.000000,6901000.000000,,,6901000.000000,,291898000.000000,89803000.000000,811683000.000000,,5402000.000000,987560000.000000,,,,102793000.000000,1095755000.000000,1907438000.000000,,,617699000.000000,21776000.000000,,179387000.000000,344573000.000000,523960000.000000,14136000.000000,,,14136000.000000,1125000.000000,6440000.000000,,46410000.000000,,,67000.000000,46477000.000000,3785000.000000,617699000.000000,434416000.000000,126590000.000000,,289040000.000000,,54000.000000,289094000.000000,242000.000000,18490000.000000,434416000.000000,1052115000.000000,,359989000.000000,108675000.000000,3939000.000000,3939000.000000,3939000.000000,9167000.000000,373553000.000000,855323000.000000,1907438000.000000,3286962558.000000
12M 2014,,,207939000.000000,,100009000.000000,13472000.000000,86537000.000000,100009000.000000,8319000.000000,,,8319000.000000,,218387000.000000,131780000.000000,666434000.000000,,12677000.000000,1143755000.000000,,,515000.000000,100129000.000000,1257076000.000000,1923510000.000000,,,477912000.000000,,,133861000.000000,254698000.000000,388559000.000000,10159000.000000,,,10159000.000000,1749000.000000,5513000.000000,,68477000.000000,,,54000.000000,68531000.000000,3401000.000000,477912000.000000,576350000.000000,133253000.000000,,421957000.000000,,,421957000.000000,491000.000000,20649000.000000,576350000.000000,1054262000.000000,,359989000.000000,108675000.000000,4739000.000000,4739000.000000,4739000.000000,7674000.000000,388171000.000000,869248000.000000,1923510000.000000,3286962558.000000
12M 2015,,,96835000.000000,,46496000.000000,,46496000.000000,46496000.000000,3783000.000000,,,3783000.000000,,178400000.000000,91120000.000000,416634000.000000,,38017000.000000,1308048000.000000,,,5813000.000000,93874000.000000,1445752000.000000,1862386000.000000,,,377753000.000000,50800000.000000,,87869000.000000,139955000.000000,227824000.000000,15931000.000000,,,15931000.000000,1839000.000000,6089000.000000,,70470000.000000,,,,70470000.000000,4800000.000000,377753000.000000,597787000.000000,146098000.000000,,426459000.000000,,,426459000.000000,677000.000000,24553000.000000,597787000.000000,975540000.000000,,359989000.000000,108675000.000000,5639000.000000,5639000.000000,5639000.000000,6742000.000000,405801000.000000,886846000.000000,1862386000.000000,3286962558.000000
12M 2016,,,298763000.000000,,137348000.000000,1663000.000000,135685000.000000,137348000.000000,3141000.000000,,,3141000.000000,,199508000.000000,53766000.000000,692526000.000000,,32156000.000000,1316744000.000000,,,3504000.000000,84339000.000000,1436743000.000000,2129269000.000000,,,453922000.000000,,,25293000.000000,318812000.000000,344105000.000000,157000.000000,,,157000.000000,34036000.000000,3880000.000000,,63113000.000000,,,,63113000.000000,8631000.000000,453922000.000000,533679000.000000,141467000.000000,,325276000.000000,36594000.000000,,361870000.000000,40000.000000,30302000.000000,533679000.000000,987601000.000000,,359989000.000000,108675000.000000,7039000.000000,7039000.000000,7039000.000000,6670000.000000,659295000.000000,1141668000.000000,2129269000.000000,3286962558.000000
