Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok,Kontraktor, Karywan Dan Aktivitas Operasional Lainnya",Penerimaan Bunga,Pembayaran Pajak Penghasilan Badan Dan Deviden,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penerimaan Neto Dari Penjualan Kuasa Penambangan,Penambahan Aset Minyak Dan Gas Bumi,Penambahan Partisipasi Pada Operasi Bersama Setelah Dikurangi Kas Yang Diperoleh,Penurunan (Kenaikan) Piutang Pihak Berelasi,Penambahan Aset Eksplorasi Dan Evaluasi,Penurunan Investasi Jangka Pendek,Penerimaan Pengembalian Pengeluaran Belanja Modal,Penurunan (Kenaikan) Asset Tidak Lancar Lainnya,Perolehan Aset Tetap,Invetasi Pada Ventura Bersama,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Uang Muka Proyek,Penurunan (Kenaikan) Piutang Lain-Lain,Penambahan Investasi Di Entitas Anak,Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Penerimaan Pinjaman Jangka Panjang,Hasil Penerbitan Modal Saham,Biaya Penerbitan Saham,Penambahan Aset Minyak Dan Gas Bumi,Penurunan (Kenaikan) Piutang Pihak Berelasi,Penurunan (Kenaikan) Utang Pihak Berelasi,Penerimaan Dari Penerbitan Saham Baru,Penerimaan Pinjaman Jangka Pendek,Pembayaran Utang Jangka Pendek,Penerimaan Pembiayaan Musyarakah,Pembayaran Pembiayaan Musyarakah,Hasil Pelaksanaan Waran,Pembayaran Biaya Emisi Saham,Penerimaan Utang Wesel,Pembayaran Hutang Berelasi,Penurunan (Peningkatan) Kas Dalam Pembatasan Jangka Waktu,Penurunan Piutang Afiliasi,Kenaikan Kas Di Bank Dalam Pembatasan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,36470014000.000000,1993048691000.000000,-805038033000.000000,,-336593056000.000000,-814947588000.000000,36470014000.000000,-1822721125000.000000,134192537000.000000,,-1324528944000.000000,,,,-676916904000.000000,,44723454000.000000,-351268000.000000,,160000000.000000,,,,,-1822721125000.000000,-31753720000.000000,94606472000.000000,,,,,,-20081911000.000000,,,,,,,,,,,-106278281000.000000,,,-31753720000.000000,-1818004831000.000000,15068710000.000000,455088071000.000000,-1347848050000.000000
12M 2009,-321290367000.000000,1512426833000.000000,-945321079000.000000,,-7441360000.000000,-880954761000.000000,-321290367000.000000,-521964905000.000000,8565154000.000000,,-608874397000.000000,,,,96369579000.000000,,-17898871000.000000,-126370000.000000,,,,,,,-521964905000.000000,2780577662000.000000,-2266959306000.000000,,,4843909952000.000000,,,-1630640000.000000,,,,,,,,,,,205257656000.000000,,,2780577662000.000000,1937322390000.000000,144447061000.000000,230617986000.000000,2312387437000.000000
12M 2010,-578645028000.000000,1141045716000.000000,-979056823000.000000,,-15944614000.000000,-724689307000.000000,-578645028000.000000,-1576516534000.000000,35506905000.000000,,-1932769840000.000000,,,,470000000000.000000,,-49997609000.000000,-4160177000.000000,,,-95095813000.000000,,,,-1576516534000.000000,236119549000.000000,186663170000.000000,,,,,,-7440663000.000000,,,,,,,,,,,56897042000.000000,,,236119549000.000000,-1919042013000.000000,39457772000.000000,49102054000.000000,-1830482187000.000000
12M 2011,749916595000.000000,1659403623000.000000,-490984506000.000000,,-37364257000.000000,-381138265000.000000,749916595000.000000,-3722585519000.000000,9414381000.000000,,-1760089449000.000000,,,,,,-44278914000.000000,-3209079000.000000,,,,,,-1924422458000.000000,-3722585519000.000000,-26681188000.000000,,,10271243000.000000,,,,,,,,,,,,,,,-36952431000.000000,,,-26681188000.000000,-2999350112000.000000,-172971485000.000000,180559241000.000000,-2991762356000.000000
12M 2012,160938778.000000,630610962.000000,-400125527.000000,931381.000000,-39701194.000000,-30776844.000000,160938778.000000,-231496090.000000,,,-197985236.000000,,-4149404.000000,-2330348.000000,,,-27017532.000000,-13570.000000,,,,,,,-231496090.000000,351329218.000000,,,346484605.000000,,,,,,,1047640.000000,,,,33.000000,,,-1000000.000000,4796940.000000,,,351329218.000000,280771906.000000,,15848640.000000,296620546.000000
12M 2013,396459727.000000,820280827.000000,-302161937.000000,600640.000000,-26756848.000000,-95502955.000000,396459727.000000,-60218469.000000,,291090000.000000,-250407010.000000,,-6883854.000000,-2065772.000000,,,-50180000.000000,-15173.000000,,,,,-18070555.000000,-23686105.000000,-60218469.000000,-911032.000000,-2933477.000000,,,,,,,,,,-7994301.000000,,,,,-2099525.000000,,12116271.000000,,,-911032.000000,335330226.000000,-3306091.000000,35859639.000000,367883774.000000
12M 2014,385220626.000000,842929069.000000,-338861487.000000,576617.000000,-53924973.000000,-65498600.000000,385220626.000000,-206485199.000000,,,-200486970.000000,,-4307701.000000,-1685576.000000,,,,-4952.000000,,,,,,,-206485199.000000,-34691501.000000,-11480769.000000,,,,,,,,,200000.000000,-9500000.000000,,,,,,,-13910732.000000,,,-34691501.000000,144043926.000000,752676.000000,153332376.000000,298128978.000000
12M 2015,210439616.000000,642514474.000000,-353799647.000000,426141.000000,-18008848.000000,-60692504.000000,210439616.000000,-114494169.000000,,,-80378896.000000,,-1768462.000000,-32342441.000000,,,,-4370.000000,,,,,,,-114494169.000000,39194722.000000,-3977419.000000,,60000000.000000,,,,,,,,-53555674.000000,,,,,,,36727815.000000,,,39194722.000000,135140169.000000,-1390551.000000,86747873.000000,220497491.000000
12M 2016,199315201.000000,530105807.000000,-256334032.000000,1362588.000000,-39331233.000000,-36487929.000000,199315201.000000,-92081267.000000,,,-91122250.000000,,-955689.000000,-3328.000000,,,,,,,,,,,-92081267.000000,-77381179.000000,-66666667.000000,,,,,,,,,,-10589479.000000,,,,,,-2502999.000000,2377966.000000,,,-77381179.000000,29852755.000000,363012.000000,131159814.000000,161375581.000000
12M 2017,-5806166.000000,319106083.000000,-178443660.000000,1658713.000000,-134612746.000000,-13514556.000000,-5806166.000000,-13295786.000000,,,-15216269.000000,,2359230.000000,-438747.000000,,,,,,,,,,,-13295786.000000,-34637692.000000,-1268886.000000,,4108183.000000,,,,,,,22200000.000000,-59115934.000000,,,,,,,-561055.000000,,,-34637692.000000,-53739644.000000,988521.000000,160605381.000000,107854258.000000
