Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1859071111000.000000,-1073370865000.000000,785700246000.000000,-203144787000.000000,582555459000.000000,-563967621000.000000,,41174023000.000000,-626128889000.000000,,20987245000.000000,-563967621000.000000,18587838000.000000,55463796000.000000,42220475000.000000,13243321000.000000,55463796000.000000,74051634000.000000,1932674000.000000,,75984308000.000000,,,,75984308000.000000,75984308000.000000,74051634000.000000,1932674000.000000,75984308000.000000,,,,
12M 2009,1444368739000.000000,-1260834863000.000000,183533876000.000000,-156432040000.000000,27101836000.000000,-1444601282000.000000,,-48887453000.000000,-1267284395000.000000,,-128429434000.000000,-1444601282000.000000,-1417499446000.000000,-314955138000.000000,-47824151000.000000,-267130987000.000000,-314955138000.000000,-1732454584000.000000,3004820000.000000,,-1729449764000.000000,,,,-1729449764000.000000,-1729449764000.000000,-1732454584000.000000,3004820000.000000,-1729449764000.000000,,,,
12M 2010,1249710407000.000000,-904463680000.000000,345246727000.000000,-154097581000.000000,191149146000.000000,-227319419000.000000,35506905000.000000,-36497145000.000000,-296604156000.000000,,70274977000.000000,-227319419000.000000,-36170273000.000000,-27254143000.000000,-52537118000.000000,25282975000.000000,-27254143000.000000,-63424416000.000000,1105633000.000000,,-62318783000.000000,,,,-62318783000.000000,-62318783000.000000,-63424416000.000000,1105633000.000000,-62318783000.000000,,,,
12M 2011,2122862753000.000000,-1225330773000.000000,897531980000.000000,-118884726000.000000,778647254000.000000,-454103593000.000000,9414381000.000000,-2398018000.000000,-375908257000.000000,,-85211699000.000000,-454103593000.000000,324543661000.000000,-150619166000.000000,-83434987000.000000,-67184179000.000000,-150619166000.000000,173924495000.000000,,,173924495000.000000,78791412000.000000,78791412000.000000,78791412000.000000,252715907000.000000,173924495000.000000,68562714000.000000,105361781000.000000,173924495000.000000,252715907000.000000,147354126000.000000,105361781000.000000,252715907000.000000
12M 2012,654584544.000000,-445588205.000000,208996339.000000,-12800948.000000,196195391.000000,-94693611.000000,967558.000000,5251518.000000,-91629633.000000,,-9283054.000000,-94693611.000000,101501780.000000,-73932026.000000,-59873098.000000,-14058928.000000,-73932026.000000,27569754.000000,,,27569754.000000,,,,27569754.000000,27569754.000000,15285670.000000,12284084.000000,27569754.000000,27569754.000000,15285670.000000,12284084.000000,27569754.000000
12M 2013,807225833.000000,-510266598.000000,296959235.000000,-25710645.000000,271248590.000000,49629988.000000,11581778.000000,-1313660.000000,-97003072.000000,,136364942.000000,49629988.000000,320878578.000000,-147479967.000000,,,-147479967.000000,173398611.000000,,,173398611.000000,,,,173398611.000000,173398611.000000,170272695.000000,3125916.000000,173398611.000000,173398611.000000,170272695.000000,3125916.000000,173398611.000000
12M 2014,811483362.000000,-578368611.000000,233114751.000000,-15375652.000000,217739099.000000,-129674199.000000,11594610.000000,115064.000000,-79285932.000000,,-62097941.000000,-129674199.000000,88064900.000000,-70502602.000000,,,-70502602.000000,17562298.000000,,,17562298.000000,,,,17562298.000000,17562298.000000,37036096.000000,-19473798.000000,17562298.000000,17562298.000000,37036096.000000,-19473798.000000,17562298.000000
12M 2015,624183079.000000,-598434138.000000,25748941.000000,-14594830.000000,11154111.000000,-327353355.000000,7810147.000000,-260261.000000,-57957241.000000,,-276946000.000000,-327353355.000000,-316199244.000000,28617308.000000,,,28617308.000000,-287581936.000000,,,-287581936.000000,1362618.000000,1362618.000000,1362618.000000,-286219318.000000,-287581936.000000,-218555375.000000,-69026561.000000,-287581936.000000,-286219318.000000,-217192757.000000,-69026561.000000,-286219318.000000
12M 2016,524569898.000000,-433891496.000000,90678402.000000,-22167588.000000,68510814.000000,-476441748.000000,8365178.000000,947621.000000,-62195508.000000,,-423559039.000000,-476441748.000000,-407930934.000000,-33783894.000000,,,-33783894.000000,-441714828.000000,,,-441714828.000000,964857.000000,964857.000000,964857.000000,-440749971.000000,-441714828.000000,-346228915.000000,-95485913.000000,-441714828.000000,-440749971.000000,-345264058.000000,-95485913.000000,-440749971.000000
12M 2017,316971601.000000,-186555734.000000,130415867.000000,-9906412.000000,120509455.000000,-28540509.000000,7737115.000000,-4950.000000,-54063543.000000,,17790869.000000,-28540509.000000,91968946.000000,-77187847.000000,,,-77187847.000000,14781099.000000,,,14781099.000000,191728.000000,191728.000000,191728.000000,14972827.000000,14781099.000000,24453864.000000,-9672765.000000,14781099.000000,14972827.000000,24645592.000000,-9672765.000000,14972827.000000
