Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Pengendalian Bersama,Aset Tetap,Aset Eksplorasi Dan Evaluasi,Aset Minyak Dan Gas Bumi,Pihak Berelasi,Pihak Ketiga,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Wesel Bayar,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Dari Pihak Berelasi,Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,230617986000.000000,,1400072403000.000000,180414099000.000000,,,180414099000.000000,509895591000.000000,,,509895591000.000000,480703568000.000000,57880045000.000000,2859583692000.000000,,1485213693000.000000,671967080000.000000,,1872571000.000000,,6583378763000.000000,,,1024606730000.000000,9767038837000.000000,12626622529000.000000,,,1439263663000.000000,,31415550000.000000,433216737000.000000,,,433216737000.000000,,174133161000.000000,573948344000.000000,226549871000.000000,,,,1439263663000.000000,7440657005000.000000,200401624000.000000,619532341000.000000,6363120275000.000000,,,257602765000.000000,7440657005000.000000,8879920668000.000000,,1440081337000.000000,3354749229000.000000,-133171015000.000000,35460962000.000000,-950418652000.000000,3746701861000.000000,12626622529000.000000,14400813372.000000
12M 2009,,,49102054000.000000,,1114843945000.000000,112356005000.000000,,,112356005000.000000,303839946000.000000,,,303839946000.000000,396485513000.000000,33291810000.000000,2009919273000.000000,,1204934961000.000000,231146632000.000000,,896785000.000000,,6103986483000.000000,,,701507409000.000000,8242472270000.000000,10252391543000.000000,,,4258804108000.000000,,33631170000.000000,638195723000.000000,,,638195723000.000000,,270714642000.000000,719981158000.000000,246194230000.000000,2350087185000.000000,,,4258804108000.000000,4219162733000.000000,186473270000.000000,417350478000.000000,3350680344000.000000,,,264658641000.000000,4219162733000.000000,8477966841000.000000,,1440081337000.000000,3354749229000.000000,-1862620779000.000000,33056142000.000000,-1190841227000.000000,1774424702000.000000,10252391543000.000000,14400813372.000000
12M 2010,,,183232803000.000000,,616786374000.000000,214984017000.000000,,,214984017000.000000,421436956000.000000,,,421436956000.000000,356465381000.000000,131835715000.000000,1924741246000.000000,,1072555517000.000000,332250127000.000000,,4497943000.000000,,7669107878000.000000,,,758882859000.000000,9837294324000.000000,11762035570000.000000,,,3141048154000.000000,,16872268000.000000,300731339000.000000,,,300731339000.000000,,271528714000.000000,469104191000.000000,284611642000.000000,1798200000000.000000,,,3141048154000.000000,2733954636000.000000,70611581000.000000,482420243000.000000,1866505462000.000000,,,314417350000.000000,2733954636000.000000,5875002790000.000000,,4058411041000.000000,5343607555000.000000,-2162849291000.000000,31950509000.000000,-1384087034000.000000,5887032780000.000000,11762035570000.000000,40584110412.000000
12M 2011,,,143715471000.000000,,622068606000.000000,695704771000.000000,,,695704771000.000000,754463034000.000000,,,754463034000.000000,419823202000.000000,95422715000.000000,2731197799000.000000,,1152402554000.000000,295068200000.000000,,6972356000.000000,,12299972950000.000000,,,869220047000.000000,14623636107000.000000,17354833906000.000000,,,4310652843000.000000,9500000000.000000,36634066000.000000,360195975000.000000,,,360195975000.000000,,394649361000.000000,1204680511000.000000,491392930000.000000,1813600000000.000000,,,4310652843000.000000,6904432077000.000000,71829593000.000000,1245188767000.000000,5034139209000.000000,,43316021000.000000,509958487000.000000,6904432077000.000000,11215084920000.000000,,4058411199000.000000,5343607696000.000000,-2094286577000.000000,137312290000.000000,-1305295622000.000000,6139748986000.000000,17354833906000.000000,40584111987.000000
12M 2012,,,35859639.000000,,68600420.000000,100040508.000000,,,100040508.000000,115522862.000000,,,115522862.000000,49076837.000000,12602036.000000,381702302.000000,,131939524.000000,29603203.000000,,598813.000000,3278209.000000,1399775412.000000,1779461.000000,49692816.000000,73981105.000000,1690648543.000000,2072350845.000000,,,568992538.000000,1482420.000000,2099525.000000,41242348.000000,,,41242348.000000,7213888.000000,57808250.000000,130135864.000000,82415661.000000,246594582.000000,,,568992538.000000,812592744.000000,,148093092.000000,596009825.000000,,8768208.000000,59721619.000000,812592744.000000,1381585282.000000,,432076269.000000,287428494.000000,-190010905.000000,27181628.000000,134090077.000000,690765563.000000,2072350845.000000,40584112673.000000
12M 2013,,,153332376.000000,,,86985514.000000,,,86985514.000000,135709477.000000,,,135709477.000000,49515105.000000,18941759.000000,444484231.000000,,151616004.000000,25810266.000000,,356992.000000,191003981.000000,1339152844.000000,1464119.000000,68960153.000000,95799044.000000,1874163403.000000,2318647634.000000,,,645904304.000000,166111807.000000,,,1446437.000000,31518931.000000,32965368.000000,7228849.000000,52391671.000000,136247238.000000,175143603.000000,75815768.000000,,,645904304.000000,784793795.000000,,194140412.000000,489489462.000000,,36417378.000000,64746543.000000,784793795.000000,1430698099.000000,,473816659.000000,287394518.000000,-19738210.000000,26035168.000000,120441400.000000,887949535.000000,2318647634.000000,44642530693.000000
12M 2014,,,86747873.000000,,,55539807.000000,,,55539807.000000,219455565.000000,,,219455565.000000,54006112.000000,6590915.000000,422340272.000000,,154980344.000000,27112427.000000,,164092.000000,192689557.000000,1282634337.000000,1453263.000000,11053492.000000,109994563.000000,1780082075.000000,2202422347.000000,,,715433328.000000,148292915.000000,,,561863.000000,54758665.000000,55320528.000000,7226294.000000,53382243.000000,161697352.000000,186838311.000000,102675685.000000,,,715433328.000000,581477186.000000,,184020222.000000,269950976.000000,,36417378.000000,91088610.000000,581477186.000000,1296910514.000000,,473816659.000000,287394518.000000,17297886.000000,6561370.000000,120441400.000000,905511833.000000,2202422347.000000,44642530693.000000
12M 2015,,,131159814.000000,,,37674353.000000,,,37674353.000000,221581122.000000,,,221581122.000000,50037897.000000,10734857.000000,451188043.000000,,156748806.000000,27915311.000000,,16834.000000,191667218.000000,609936988.000000,1058392.000000,3681464.000000,74714585.000000,1065739598.000000,1516927641.000000,,,772651846.000000,141595027.000000,,,291753.000000,56476338.000000,56768091.000000,7234239.000000,48463029.000000,171622238.000000,228706967.000000,117149004.000000,,1113251.000000,772651846.000000,375899014.000000,,93531441.000000,155913760.000000,,36417378.000000,90036435.000000,375899014.000000,1148550860.000000,,507382472.000000,287394518.000000,-481597947.000000,-62576959.000000,117774697.000000,368376781.000000,1516927641.000000,49106783762.000000
12M 2016,,,161375581.000000,,,32138444.000000,,,32138444.000000,212205078.000000,,,212205078.000000,35904003.000000,3103023.000000,444726129.000000,,157704494.000000,46620702.000000,,58158.000000,6010546.000000,337980243.000000,1116199.000000,4657675.000000,63102673.000000,617250690.000000,1061976819.000000,,,719611988.000000,57843256.000000,,,289439.000000,63860042.000000,64149481.000000,10608096.000000,62177546.000000,181502772.000000,228764599.000000,109642363.000000,,4923875.000000,719611988.000000,414036206.000000,,82525741.000000,205885075.000000,,36417378.000000,89208012.000000,414036206.000000,1133648194.000000,,507382472.000000,288096333.000000,-827826862.000000,-158062872.000000,118739554.000000,-71671375.000000,1061976819.000000,49106783762.000000
12M 2017,,,107854258.000000,,,30003962.000000,,,30003962.000000,46816903.000000,,,46816903.000000,34925753.000000,22611987.000000,242212863.000000,,157264203.000000,35697148.000000,,1713.000000,6449293.000000,280535520.000000,,4656800.000000,29784216.000000,514388893.000000,756601756.000000,,,514703890.000000,89531217.000000,,,,60432579.000000,60432579.000000,4730251.000000,63646684.000000,117140817.000000,64266838.000000,112961110.000000,,1994394.000000,514703890.000000,297977800.000000,7128651.000000,48677717.000000,166231035.000000,,,75940397.000000,297977800.000000,812681690.000000,,507382472.000000,288714947.000000,-803372998.000000,-167735637.000000,118931282.000000,-56079934.000000,756601756.000000,6138347972.000000
