Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan (Pembayaran) Aktivitas Operasi Lainnya,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Penerimaan (Pembayaran) Operasional Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian,Penerimaan Dari Penjualan Investasi Saham,Investasi Pada Enitas Asosiasi,Penambahan Aset Takberwujud,Penerimaan Dari Penjualan Aset Tetap,Penambahan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Uang Muka Penjualan Saham,Pembayaran Sewa Pembiayaan,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Penambahan Setoran Modal,Pembagian Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-676393309.000000,1766121846.000000,377754.000000,-2171762695.000000,-738240364.000000,,-266844339.000000,733954489.000000,-676393309.000000,-299696666.000000,,,,,,-299696666.000000,-299696666.000000,976933475.000000,,,976933475.000000,,,976933475.000000,843500.000000,26153642.000000,26997142.000000
12M 2019,13270118201.000000,36671896986.000000,-63601665.000000,-20783204628.000000,-1674647502.000000,-110901000.000000,-137409248.000000,-632014742.000000,13270118201.000000,-9381983517.000000,-4914452913.000000,,,-38100000.000000,,-4429430604.000000,-9381983517.000000,-3312007906.000000,,-142534076.000000,-3169473830.000000,,,-3312007906.000000,576126778.000000,26997143.000000,603123921.000000
12M 2020,25607233041.000000,72326560250.000000,15090023.000000,-43001728755.000000,-2717280518.000000,-181280000.000000,-230895013.000000,-603232946.000000,25607233041.000000,-29169874886.000000,-23350137498.000000,,,,,-5819737388.000000,-29169874886.000000,4140842685.000000,4500000000.000000,-271884587.000000,-87272728.000000,,,4140842685.000000,578200840.000000,603123921.000000,1181324761.000000
12M 2021,6491508731.000000,74710591590.000000,255045033.000000,-50473503603.000000,-4381950106.000000,-3614812984.000000,-33710130.000000,-9970151069.000000,6491508731.000000,-48020260043.000000,-23927094438.000000,,,,,-24093165605.000000,-48020260043.000000,81503324942.000000,,-286745941.000000,562639333.000000,88228198300.000000,-7000766750.000000,81503324942.000000,39974573630.000000,1181324761.000000,41155898391.000000
12M 2022,8088371090.000000,109438985079.000000,937143732.000000,-89037839175.000000,-8841825719.000000,-5345540203.000000,-42092595.000000,979539971.000000,8088371090.000000,-30666669614.000000,47875549587.000000,,,,,-78542219201.000000,-30666669614.000000,-11866620566.000000,,-493478816.000000,-360000000.000000,,-11013141750.000000,-11866620566.000000,-34444919090.000000,41155898391.000000,6710979301.000000
12M 2023,14192533195.000000,144747502722.000000,239017012.000000,-121267943371.000000,-8924214633.000000,-2357770280.000000,-53036666.000000,1808978411.000000,14192533195.000000,-9018782278.000000,-278253740.000000,,,,86999915.000000,-8827528453.000000,-9018782278.000000,-4969578358.000000,,-346578358.000000,,,-4623000000.000000,-4969578358.000000,204172559.000000,6710979301.000000,6915151860.000000
12M 2024,22070844453.000000,173373471658.000000,-28933619.000000,-136695140726.000000,-12303797155.000000,-3270789010.000000,-54129996.000000,1050163301.000000,22070844453.000000,-8032126802.000000,-57691405.000000,165136521.000000,,,,-8139571918.000000,-8032126802.000000,-8378043569.000000,,-244847569.000000,-42946000.000000,,-8090250000.000000,-8378043569.000000,5660674082.000000,6915151860.000000,12575825942.000000
