Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,2423203668.000000,-1827019418.000000,596184250.000000,-1556988490.000000,-1556988490.000000,-1556988490.000000,-960804240.000000,-243884340.000000,377754.000000,-269894320.000000,25632226.000000,-243884340.000000,-1204688580.000000,-307689460.000000,-307689460.000000,,-307689460.000000,-1512378040.000000,,-1512378040.000000,-27860521.000000,-27860521.000000,-27860521.000000,-1540238561.000000,-1512378040.000000,-1512378040.000000,,-1512378040.000000,-1540238561.000000,-1540238561.000000,,-1540238561.000000
12M 2019,45980431689.000000,-23364499257.000000,22615932432.000000,-4938023784.000000,-4938023784.000000,-4938023784.000000,17677908648.000000,-157677776.000000,2375271.000000,-159994943.000000,-58104.000000,-157677776.000000,17520230872.000000,6899212.000000,6899212.000000,,6899212.000000,17527130084.000000,,17527130084.000000,-20808945.000000,-20808945.000000,-20808945.000000,17506321139.000000,17527130084.000000,17527130084.000000,,17527130084.000000,17506321139.000000,17506321139.000000,,17506321139.000000
12M 2020,68570265352.000000,-37099442813.000000,31470822539.000000,-7340069996.000000,-7340069996.000000,-7340069996.000000,24130752543.000000,-24639383.000000,15090023.000000,-246557831.000000,206828425.000000,-24639383.000000,24106113160.000000,-5309466745.000000,-5309466745.000000,,-5309466745.000000,18796646415.000000,,18796646415.000000,-46906047.000000,-46906047.000000,-46906047.000000,18749740368.000000,18796646415.000000,18796646415.000000,,18796646415.000000,18749740368.000000,18749740368.000000,,18749740368.000000
12M 2021,74192403040.000000,-42557319935.000000,31635083105.000000,-9424273647.000000,-9424273647.000000,-9424273647.000000,22210809458.000000,120128840.000000,296469691.000000,-51256754.000000,-125084097.000000,120128840.000000,22330938298.000000,-4864838450.000000,-4864838450.000000,,-4864838450.000000,17466099848.000000,,17466099848.000000,2910960.000000,2910960.000000,2910960.000000,17469010808.000000,17466099848.000000,17466099848.000000,,17466099848.000000,17469010808.000000,17469010808.000000,,17469010808.000000
12M 2022,121509213864.000000,-84237050797.000000,37272163067.000000,-23036659193.000000,-23036659193.000000,-23036659193.000000,14235503874.000000,-511701436.000000,622438091.000000,-72512142.000000,-1061627385.000000,-511701436.000000,13723802438.000000,-2985133196.000000,-2985133196.000000,,-2985133196.000000,10738669242.000000,,10738669242.000000,46729800.000000,46729800.000000,46729800.000000,10785399042.000000,10738669242.000000,10738669242.000000,,10738669242.000000,10785399042.000000,10785399042.000000,,10785399042.000000
12M 2023,153776646772.000000,-111802883314.000000,41973763458.000000,-22671917700.000000,-22671917700.000000,-22671917700.000000,19301845758.000000,-233015035.000000,154489311.000000,-72690335.000000,-314814011.000000,-233015035.000000,19068830723.000000,-4110345942.000000,-4110345942.000000,,-4110345942.000000,14958484781.000000,,14958484781.000000,47645520.000000,47645520.000000,47645520.000000,15006130301.000000,14958484781.000000,14958484781.000000,,14958484781.000000,15006130301.000000,15006130301.000000,,15006130301.000000
12M 2024,178263028706.000000,-125682745968.000000,52580282738.000000,-32395492414.000000,-32395492414.000000,-32395492414.000000,20184790324.000000,214971267.000000,298034882.000000,-54129996.000000,-28933619.000000,214971267.000000,20399761591.000000,-4415129550.000000,-4455308880.000000,40179330.000000,-4415129550.000000,15984632041.000000,,15984632041.000000,22107540.000000,22107540.000000,22107540.000000,16006739581.000000,15984632041.000000,15984632041.000000,,15984632041.000000,16006739581.000000,16006739581.000000,,16006739581.000000
