Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,288128866854.000000,-208077213140.000000,80051653714.000000,-45174673877.000000,-20205224256.000000,-25589368252.000000,619918631.000000,-45174673877.000000,34876979837.000000,16749751790.000000,1067512568.000000,,,,-2384950752.000000,18067189974.000000,16749751790.000000,,51626731627.000000,-9472567077.000000,,,-9472567077.000000,,42154164550.000000,,42154164550.000000,82050474239.000000,,82050474239.000000,124204638789.000000,42154164550.000000,41988591730.000000,165572820.000000,,42154164550.000000,124204638789.000000,122458213269.000000,1746425520.000000,124204638789.000000
12M 2014,283443541586.000000,-191907361292.000000,91536180294.000000,-55160059664.000000,-19746119660.000000,-35531809279.000000,117869275.000000,-55160059664.000000,36376120630.000000,-533661163.000000,2513075853.000000,,,,-3046737016.000000,,-533661163.000000,,35842459467.000000,-10467163858.000000,,,-10467163858.000000,,25375295609.000000,,25375295609.000000,8333932660.000000,,8333932660.000000,33709228269.000000,25375295609.000000,24586730105.000000,788565504.000000,,25375295609.000000,33709228270.000000,32774465371.000000,934762899.000000,33709228270.000000
12M 2015,315229890328.000000,-209946482466.000000,105283407862.000000,-65096241698.000000,-22963240285.000000,-42133001413.000000,,-65096241698.000000,40187166164.000000,575164325.000000,2082265637.000000,-13767992.000000,-207186217.000000,-307706859.000000,-2103010083.000000,1124569839.000000,575164325.000000,,40762330489.000000,-11284522975.000000,-12058911492.000000,774388517.000000,-11284522975.000000,,29477807514.000000,-118395180.000000,29359412334.000000,6146038784.000000,6146038784.000000,6146038784.000000,35505451118.000000,29359412334.000000,28342217719.000000,1017194615.000000,,29359412334.000000,35505451118.000000,33780851106.000000,1724600012.000000,35505451118.000000
12M 2016,327426146630.000000,-230796313016.000000,96629833614.000000,-72012971064.000000,-24140475420.000000,-47872495644.000000,,-72012971064.000000,24616862550.000000,3556050742.000000,1087219677.000000,232315219.000000,1833838121.000000,-27702477.000000,-1623026877.000000,2053407079.000000,3556050742.000000,,28172913292.000000,-7553603434.000000,-9213137536.000000,1659534102.000000,-7553603434.000000,,20619309858.000000,,20619309858.000000,3136859690.000000,3136859690.000000,3136859690.000000,23756169548.000000,20619309858.000000,19308054402.000000,1311255456.000000,,20619309858.000000,23756169548.000000,22485417352.000000,1270752196.000000,23756169548.000000
12M 2017,373955852243.000000,-248752335546.000000,125203516697.000000,-88656796106.000000,-31402995575.000000,-57253800531.000000,,-88656796106.000000,36546720591.000000,1772151807.000000,810903404.000000,,1558038261.000000,,-2076848901.000000,1480059043.000000,1772151807.000000,,38318872398.000000,-8670611306.000000,-8474124698.000000,-196486608.000000,-8670611306.000000,,29648261092.000000,,29648261092.000000,34393079201.000000,34393079201.000000,34393079201.000000,64041340293.000000,29648261092.000000,27661137626.000000,1987123466.000000,,29648261092.000000,64041340293.000000,62672063763.000000,1369276530.000000,64041340293.000000
12M 2018,370390736433.000000,-256947701878.000000,113443034555.000000,-92291693956.000000,-33706922995.000000,-58584770961.000000,,-92291693956.000000,21151340599.000000,938738357.000000,848532024.000000,,1425821340.000000,,-3331144467.000000,1995529460.000000,938738357.000000,,22090078956.000000,-8535926795.000000,-6553396202.000000,-1982530593.000000,-8535926795.000000,,13554152161.000000,,13554152161.000000,3051272071.000000,3051272071.000000,3051272071.000000,16605424232.000000,13554152161.000000,12808953954.000000,745198207.000000,,13554152161.000000,16605424232.000000,15705203234.000000,900220998.000000,16605424232.000000
12M 2019,411783279013.000000,-292192033789.000000,119591245224.000000,-103265970061.000000,-42443035637.000000,-60822934424.000000,,-103265970061.000000,16325275163.000000,-2428924470.000000,280485191.000000,,1841205907.000000,,-4618458062.000000,67842494.000000,-2428924470.000000,,13896350693.000000,-6675284777.000000,-3736614889.000000,-2938669888.000000,-6675284777.000000,,7221065916.000000,,7221065916.000000,-634845431.000000,-634845431.000000,-634845431.000000,6586220485.000000,7221065916.000000,7082407573.000000,138658343.000000,,7221065916.000000,6586220485.000000,6286859028.000000,299361457.000000,6586220485.000000
12M 2020,330675687019.000000,-233761111651.000000,96914575368.000000,-86818323819.000000,-30572099655.000000,-56246224164.000000,,-86818323819.000000,10096251549.000000,-3531274356.000000,446034351.000000,,167273351.000000,1693693970.000000,-6860466956.000000,1022190928.000000,-3531274356.000000,,6564977193.000000,-6315900538.000000,-2173045095.000000,-4142855443.000000,-6315900538.000000,,249076655.000000,,249076655.000000,-274823444.000000,-274823444.000000,-274823444.000000,-25746789.000000,249076655.000000,1067023910.000000,-817947255.000000,,249076655.000000,-25746789.000000,662535473.000000,-688282262.000000,-25746789.000000
12M 2021,287145581206.000000,-273255025402.000000,13890555804.000000,-86637644584.000000,-29418286442.000000,-57219358142.000000,,-86637644584.000000,-72747088780.000000,-26477994082.000000,208750475.000000,,-1640289064.000000,-736282237.000000,-6558555742.000000,-17751617514.000000,-26477994082.000000,,-99225082862.000000,1014139569.000000,-1454657008.000000,2468796577.000000,1014139569.000000,,-98210943293.000000,,-98210943293.000000,66163777082.000000,66163777082.000000,66163777082.000000,-32047166211.000000,-98210943293.000000,-98864780300.000000,653837007.000000,,-98210943293.000000,-32047166211.000000,-34217471329.000000,2170305118.000000,-32047166211.000000
12M 2022,437621524745.000000,-293394813891.000000,144226710854.000000,-132184727168.000000,-69027542080.000000,-63157185088.000000,,-132184727168.000000,12041983686.000000,-13585253221.000000,124075033.000000,,-7427682490.000000,948927910.000000,-6554450918.000000,-676122756.000000,-13585253221.000000,,-1543269535.000000,-5986334044.000000,-3946285045.000000,-2040048999.000000,-5986334044.000000,,-7529603579.000000,,-7529603579.000000,7176003407.000000,7176003407.000000,7176003407.000000,-353600172.000000,-7529603579.000000,-9092906425.000000,1563302846.000000,,-7529603579.000000,-353600172.000000,-2189740291.000000,1836140119.000000,-353600172.000000
