Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,258.83,0.00,258.83,33 B,1 B,34 B,(8 B),69 B
12M 2014,1.26,287.18,1.27,285.49,13 B,0 B,13 B,(63 B),138 B
12M 2015,1.10,308.30,1.10,306.78,13 B,0 B,13 B,(51 B),146 B
12M 2016,0.99,318.70,1.00,317.35,11 B,1 B,12 B,(50 B),133 B
12M 2017,0.90,371.61,0.90,370.43,13 B,17 B,30 B,(44 B),156 B
12M 2018,0.75,377.11,0.76,376.10,18 B,13 B,31 B,(8 B),139 B
12M 2019,0.80,378.06,0.80,377.22,34 B,15 B,49 B,5 B,145 B
12M 2020,0.64,374.70,0.64,374.03,34 B,8 B,42 B,2 B,141 B
12M 2021,0.75,337.38,0.75,336.88,35 B,2 B,37 B,3 B,39 B
12M 2022,0.72,326.61,0.72,326.28,71 B,0 B,71 B,36 B,52 B
12M 2023,0.59,279.78,0.59,279.62,54 B,1 B,54 B,24 B,60 B
12M 2024,0.64,289.75,0.64,289.18,37 B,0 B,37 B,(5 B),80 B
