Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,21 B,(7 B),13 B,29.30
12M 2014,25 B,(47 B),(22 B),22.82
12M 2015,24 B,(15 B),9 B,9.03
12M 2016,40 B,(31 B),8 B,8.34
12M 2017,33 B,(26 B),7 B,6.94
12M 2018,(10 B),(17 B),(27 B),-26.62
12M 2019,2 B,(5 B),(3 B),-2.75
12M 2020,10 B,(1 B),9 B,8.93
12M 2021,7 B,(5 B),2 B,-4.58
12M 2022,(30 B),(4 B),(34 B),-34.16
12M 2023,21 B,(3 B),18 B,18.44
12M 2024,42 B,(4 B),38 B,38.78
