Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Bank Jangka Pendek,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Adjustment,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,41701625367.000000,50308071780.000000,50308071780.000000,,50308071780.000000,1334061815.000000,1334061815.000000,,1334061815.000000,41187577378.000000,5612518705.000000,140143855045.000000,,,3274007895.000000,116197595740.000000,3300000000.000000,,,,122771603635.000000,262915458680.000000,,,70807288787.000000,31431700000.000000,,29606181266.000000,,29606181266.000000,3502811063.000000,3423781574.000000,,11244743.000000,,11244743.000000,1718040298.000000,,,,1718040298.000000,1113529843.000000,70807288787.000000,6991371106.000000,,,,,592306797.000000,,,592306797.000000,6399064309.000000,6991371106.000000,77798659893.000000,,,70000000000.000000,1770000000.000000,28939820162.000000,,28939820162.000000,28939820162.000000,3937357086.000000,80469621539.000000,185116798787.000000,262915458680.000000,700000000.000000
12M 2014,,,76323026144.000000,64899705308.000000,64899705308.000000,,64899705308.000000,2372700589.000000,2372700589.000000,,2372700589.000000,50573942071.000000,10462822025.000000,204632196137.000000,,,3267505902.000000,152203350676.000000,3300000000.000000,1688787002.000000,,,160459643580.000000,365091839717.000000,,,66478314241.000000,12500000000.000000,,42562018763.000000,,42562018763.000000,6218625491.000000,3587090153.000000,,,,,504595369.000000,,,,504595369.000000,1105984465.000000,66478314241.000000,6967704652.000000,,,,,114822094.000000,,,114822094.000000,6852882558.000000,6967704652.000000,73446018893.000000,,,100000000000.000000,63186776428.000000,51714285532.000000,14000000000.000000,37714285532.000000,51714285532.000000,4462872590.000000,72281886274.000000,291645820824.000000,365091839717.000000,1000000000.000000
12M 2015,,,63509569740.000000,50155339778.000000,47657551328.000000,2497788450.000000,50155339778.000000,1492162438.000000,1492162438.000000,,1492162438.000000,80002479829.000000,9739321012.000000,204898872797.000000,,,4194074608.000000,159053244425.000000,3300000000.000000,1518489152.000000,,9842813783.000000,177908621968.000000,382807494765.000000,,,58865969544.000000,12400000000.000000,,37335066550.000000,3734480288.000000,41069546838.000000,2458149605.000000,2269406812.000000,,11000000.000000,,11000000.000000,,117239603.000000,49046600.000000,,166286203.000000,491580086.000000,58865969544.000000,8868213307.000000,,,,,,56768100.000000,,56768100.000000,8811445207.000000,8868213307.000000,67734182851.000000,,,100000000000.000000,62856443811.000000,78618466526.000000,14000000000.000000,64618466526.000000,78618466526.000000,6773812333.000000,66824589244.000000,315073311914.000000,382807494765.000000,1000000000.000000
12M 2016,,,61342994796.000000,46012037510.000000,44269993518.000000,1742043992.000000,46012037510.000000,1490509655.000000,819330856.000000,671178799.000000,1490509655.000000,78020967439.000000,8142928365.000000,195009437765.000000,,,6124981797.000000,181812363868.000000,3300000000.000000,1348191302.000000,,11741651904.000000,204327188871.000000,399336626636.000000,,,61704877496.000000,10750000000.000000,,35147096918.000000,10286455831.000000,45433552749.000000,1235267038.000000,1771091872.000000,,24914157.000000,,24914157.000000,,258434479.000000,74977540.000000,,333412019.000000,2156639661.000000,61704877496.000000,11201910184.000000,,,,,460415919.000000,70474816.000000,,530890735.000000,10671019449.000000,11201910184.000000,72906787680.000000,,,100000000000.000000,62856443811.000000,93095146579.000000,16000000000.000000,77095146579.000000,93095146579.000000,7733240529.000000,62745008037.000000,326429838956.000000,399336626636.000000,1000000000.000000
12M 2017,,,73754361818.000000,37802302981.000000,37802302981.000000,,37802302981.000000,397987084.000000,397987084.000000,,397987084.000000,91980297698.000000,18300612913.000000,222235562494.000000,,,7623329582.000000,234751563051.000000,3971700000.000000,1177893452.000000,,6817793026.000000,254342279111.000000,476577841605.000000,,,66014779104.000000,9583842582.000000,,35428709772.000000,6858744430.000000,42287454202.000000,5875458499.000000,2938699139.000000,,,,,,3085622248.000000,600712628.000000,,3686334876.000000,1642989806.000000,66014779104.000000,28289302555.000000,,,168551314.000000,,15774929336.000000,957026274.000000,,16731955610.000000,11388795631.000000,28289302555.000000,94304081659.000000,,,100000000000.000000,62856443811.000000,115540614387.000000,17000000000.000000,98540614387.000000,115540614387.000000,10661140524.000000,93215561224.000000,382273759946.000000,476577841605.000000,1000000000.000000
12M 2018,,,38769273576.000000,42346020259.000000,42307921259.000000,38099000.000000,42346020259.000000,254431921.000000,254431921.000000,,254431921.000000,130111104047.000000,8097015537.000000,219577845340.000000,,,5399620298.000000,256898006885.000000,,1007595602.000000,,8498967011.000000,271804189796.000000,491382035136.000000,,,81075913501.000000,12684614641.000000,,48264853499.000000,9928322898.000000,58193176397.000000,1674037906.000000,1524261974.000000,,1030200000.000000,,1030200000.000000,,3797871326.000000,1065675646.000000,,4863546972.000000,1106075611.000000,81075913501.000000,21627543807.000000,,,248502221.000000,,12016309196.000000,945191842.000000,,12961501038.000000,8417540548.000000,21627543807.000000,102703457308.000000,,,100000000000.000000,62856443811.000000,123137018636.000000,18000000000.000000,105137018636.000000,123137018636.000000,11567811522.000000,91117303859.000000,388678577828.000000,491382035136.000000,1000000000.000000
12M 2019,,,44701754622.000000,47893556341.000000,47891019641.000000,2536700.000000,47893556341.000000,197668722.000000,197668722.000000,,197668722.000000,145645838812.000000,12285915777.000000,250724734274.000000,,,3447228811.000000,249614390323.000000,,837297752.000000,,16870133716.000000,270769050602.000000,521493784876.000000,,,105476752401.000000,27200000000.000000,,53508228200.000000,8788919594.000000,62297147794.000000,3057933738.000000,1935067694.000000,,817247076.000000,,817247076.000000,,6077727548.000000,665994987.000000,,6743722535.000000,3425633564.000000,105476752401.000000,26345627806.000000,,,208443198.000000,,15070467928.000000,279196856.000000,,15349664784.000000,10787519824.000000,26345627806.000000,131822380207.000000,,,100000000000.000000,62856443811.000000,126123877608.000000,19000000000.000000,107123877608.000000,126123877608.000000,11615130847.000000,89075952403.000000,389671404669.000000,521493784876.000000,1000000000.000000
12M 2020,,,40192366722.000000,36853246138.000000,36853246138.000000,,36853246138.000000,170832352.000000,170832352.000000,,170832352.000000,147584659947.000000,11090488003.000000,235891593162.000000,,,1026370277.000000,239840874085.000000,,666999902.000000,,20594775548.000000,262129019812.000000,498020612974.000000,,,94587795350.000000,26278577261.000000,,51169776625.000000,4735337379.000000,55905114004.000000,2188528713.000000,1199178648.000000,,41895000.000000,330300000.000000,372195000.000000,,7118737075.000000,245183018.000000,356448569.000000,7720368662.000000,923833062.000000,94587795350.000000,18075450551.000000,,,1166049212.000000,,8319771301.000000,34001861.000000,314175902.000000,8667949064.000000,8241452275.000000,18075450551.000000,112663245901.000000,,,100000000000.000000,62856443811.000000,124783838440.000000,20000000000.000000,104783838440.000000,124783838440.000000,10658560143.000000,87058524679.000000,385357367073.000000,498020612974.000000,1000000000.000000
12M 2021,,,33761478798.000000,28582713227.000000,28438316255.000000,144396972.000000,28582713227.000000,123532307.000000,73350300.000000,50182007.000000,123532307.000000,90519922113.000000,7643708190.000000,160631354635.000000,,,546416221.000000,316843878778.000000,,496702052.000000,,14178858025.000000,332065855076.000000,492697209711.000000,,,121622353656.000000,28300000000.000000,,69153120997.000000,6264672548.000000,75417793545.000000,4386034169.000000,1783428329.000000,,22694535.000000,664494000.000000,687188535.000000,,6233240499.000000,34001861.000000,314175902.000000,6581418262.000000,4466490816.000000,121622353656.000000,21560392970.000000,,,13830996721.000000,,2085526082.000000,,,2085526082.000000,5643870167.000000,21560392970.000000,143182746626.000000,,,100000000000.000000,62887549323.000000,26668004464.000000,21000000000.000000,5668004464.000000,26668004464.000000,12134084749.000000,147824824549.000000,349514463085.000000,492697209711.000000,1000000000.000000
12M 2022,,,34723030678.000000,21283396486.000000,21051252886.000000,232143600.000000,21283396486.000000,240436694.000000,203770026.000000,36666668.000000,240436694.000000,112275185167.000000,16346271578.000000,184868320603.000000,,,786782244.000000,299987942271.000000,,326404202.000000,,6086990738.000000,307188119455.000000,492056440058.000000,,,132445996835.000000,68807827810.000000,,49471228250.000000,1150817464.000000,50622045714.000000,6061166104.000000,2586445798.000000,,31860520.000000,701896273.000000,733756793.000000,,2085526082.000000,88369362.000000,141600940.000000,2315496384.000000,1319258232.000000,132445996835.000000,19552656728.000000,,,14124099313.000000,,,165195971.000000,,165195971.000000,5263361444.000000,19552656728.000000,151998653563.000000,,,100000000000.000000,62887549323.000000,24046891037.000000,21000000000.000000,3046891037.000000,24046891037.000000,13452224868.000000,139671121267.000000,340057786495.000000,492056440058.000000,1000000000.000000
