Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pihak Berelasi,Utang Bank Jangka Pendek,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Utang Bank,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,,,,,,,,937438570.000000,,937438570.000000,937438570.000000,,,937438570.000000,,,764897891.000000,,,764897891.000000,1702336461.000000,,,81748786.000000,,,,,,,,58000000.000000,,,23748786.000000,,,,,81748786.000000,703183673.000000,703183673.000000,,,,,,,703183673.000000,784932459.000000,,,,917404002.000000,,917404002.000000,917404002.000000,,,917404002.000000,1702336461.000000,1000000.000000
12M 2020,,,2338581626.000000,,,,,873278018.000000,36300000.000000,836978018.000000,873278018.000000,555136000.000000,,3766995644.000000,,22200536.000000,3490711083.000000,,,3512911619.000000,7279907263.000000,,,469449489.000000,,,,,,,,,,,453449489.000000,,,,16000000.000000,469449489.000000,781254749.000000,680343220.000000,,,,,,100911529.000000,781254749.000000,1250704238.000000,,,,3534625306.000000,,3534625306.000000,3534625306.000000,2494577719.000000,,6029203025.000000,7279907263.000000,1000000.000000
12M 2021,,,3596164000.000000,1175136000.000000,1175136000.000000,,1175136000.000000,802730000.000000,,802730000.000000,802730000.000000,762192000.000000,1970756000.000000,8306978000.000000,,66656000.000000,33357177000.000000,,25632000.000000,33449465000.000000,41756443000.000000,,,2251151000.000000,,263363000.000000,263363000.000000,,,,,106607000.000000,156680000.000000,,1668444000.000000,,56057000.000000,56057000.000000,,2251151000.000000,1216103000.000000,625828000.000000,,,,287292000.000000,287292000.000000,302983000.000000,1216103000.000000,3467254000.000000,,30000000000.000000,,4774910000.000000,,4774910000.000000,4774910000.000000,3508747000.000000,5532000.000000,38289189000.000000,41756443000.000000,3000000000.000000
12M 2022,,,13645561527.000000,5074458830.000000,5074458830.000000,,5074458830.000000,3394798855.000000,239785547.000000,3155013308.000000,3394798855.000000,949742931.000000,51873965452.000000,74938527595.000000,,102862575.000000,49819379298.000000,,52908455166.000000,102830697039.000000,177769224634.000000,,,11837159773.000000,,699130111.000000,699130111.000000,,,,,94582475.000000,,9299271880.000000,1498098443.000000,,246076864.000000,246076864.000000,,11837159773.000000,1002201187.000000,,,,,741846227.000000,741846227.000000,260354960.000000,1002201187.000000,12839360960.000000,,42851023520.000000,111577520480.000000,6449721578.000000,,6449721578.000000,6449721578.000000,4018153231.000000,33444865.000000,164929863674.000000,177769224634.000000,4285102352.000000
12M 2023,,,3721749111.000000,20330668783.000000,15259332904.000000,5071335879.000000,20330668783.000000,9845636490.000000,562715043.000000,9282921447.000000,9845636490.000000,844629308.000000,64503104348.000000,99245788040.000000,,297955528.000000,57727270774.000000,53290000.000000,45497680483.000000,103576196785.000000,202821984825.000000,,,31992254081.000000,,864077809.000000,864077809.000000,,121282388.000000,64383510.000000,185665898.000000,281408752.000000,,9591700000.000000,4164417624.000000,,628833322.000000,628833322.000000,16276150676.000000,31992254081.000000,2220080192.000000,,,,,1458519105.000000,1458519105.000000,761561087.000000,2220080192.000000,34212334273.000000,,42852119210.000000,112447625043.000000,7804606943.000000,348076916.000000,7456530027.000000,7804606943.000000,5573510588.000000,-68211232.000000,168609650552.000000,202821984825.000000,4285211921.000000
12M 2024,,,4839593790.000000,31275461690.000000,25038659923.000000,6236801767.000000,31275461690.000000,10010650044.000000,1546820980.000000,8463829064.000000,10010650044.000000,532824236.000000,61328848060.000000,107987377820.000000,,496249465.000000,55078197644.000000,23525666.000000,45632377104.000000,101230349879.000000,209217727699.000000,,,35925851362.000000,,925987550.000000,925987550.000000,,2248859441.000000,57593030.000000,2306452471.000000,872287133.000000,,15223951201.000000,6990437004.000000,,883249986.000000,883249986.000000,8723486017.000000,35925851362.000000,4195163215.000000,,2625000000.000000,,,804378091.000000,804378091.000000,765785124.000000,4195163215.000000,40121014577.000000,,42852339280.000000,112450155846.000000,8386036074.000000,348076916.000000,8037959158.000000,8386036074.000000,5230441133.000000,177740789.000000,169096713122.000000,209217727699.000000,4285233928.000000
