Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Lainnya,Penerimaan Penghasilan Keuangan,Pembayaran Pajak Penghasilan Badan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Dari Piutang Pihak Berelasi,Pelepasan Aset Tetap,Pembayaran Untuk Piutang Pihak Beralasi,Penambahan Uang Muka Pembelian Aset,Akuisisi Entitas Anak,Akuisisi Kepentingan Nonpengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Setoran Modal Entitas Anak Dari Nonpengedali,Penerimaan Modal Disetor Dari Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi Saham,Penerimaan Dari Pelaksanaan Waran,Penerimaan Dari Utang Pihak Berelasi,Pembayaran Untuk Utang Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Utang Bank,Pembayaran Hutang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,1022460570.000000,4706329182.000000,-2052816739.000000,-346966856.000000,-1284085017.000000,,,,1022460570.000000,-1725644243.000000,-788205673.000000,,126036892.000000,,-1063475462.000000,,,,-1725644243.000000,703183673.000000,,,,,,995470565.000000,-292286892.000000,,,,703183673.000000,,,
12M 2020,5134851833.000000,16055916306.000000,-6245694061.000000,-2840870616.000000,-1834499796.000000,,,,5134851833.000000,-2773429754.000000,-2873890306.000000,,1429848023.000000,,-1329387471.000000,,,,-2773429754.000000,-22840453.000000,,,,,,1029486964.000000,-1052327417.000000,,,,-22840453.000000,2338581626.000000,,2338581626.000000
12M 2021,1647427039.000000,25582515963.000000,-14168887434.000000,-3784292371.000000,-5948909835.000000,,-32576925.000000,-422359.000000,1647427039.000000,-1177858779.000000,-1182106492.000000,,783867518.000000,,-749619805.000000,,,-30000000.000000,-1177858779.000000,788014190.000000,200000000.000000,520000000.000000,,,,156680000.000000,-54514928.000000,-34150882.000000,,,788014190.000000,1257582450.000000,2338581626.000000,3596164076.000000
12M 2022,2491884256.000000,40597238624.000000,-22410162506.000000,-9457808357.000000,-5130891549.000000,217580222.000000,-407750721.000000,-916321457.000000,2491884256.000000,-125135908173.000000,-18851045007.000000,,,,-1492074790.000000,-104752788376.000000,,-40000000.000000,-125135908173.000000,133248822561.000000,128512794000.000000,480000000.000000,,-4084250000.000000,,,-782508292.000000,-176485027.000000,12299271880.000000,-3000000000.000000,133248822561.000000,10604798644.000000,3596164076.000000,14200962720.000000
12M 2023,-5022587646.000000,84460195659.000000,-68744206771.000000,-10191461738.000000,-8066583894.000000,40122559.000000,-513899926.000000,-2006753535.000000,-5022587646.000000,-5172211931.000000,-1830805580.000000,-53290000.000000,,,-1988116351.000000,-50000000.000000,-1250000000.000000,,-5172211931.000000,-284414031.000000,,,,,13696125.000000,747369388.000000,-727587000.000000,-610320664.000000,6542428120.000000,-6250000000.000000,-284414031.000000,-10479213608.000000,14200962719.000000,3721749111.000000
12M 2024,-10086782194.000000,103753480313.000000,-99057344032.000000,-10294192183.000000,-3366396735.000000,421344812.000000,874622002.000000,-2418296371.000000,-10086782194.000000,1217081096.000000,-1217754860.000000,,,208716667.000000,2649073130.000000,,-470658457.000000,47704616.000000,1217081096.000000,9987545777.000000,,,,,2750873.000000,2248859441.000000,-121591388.000000,-399724350.000000,17848951201.000000,-9591700000.000000,9987545777.000000,1117844679.000000,3721749111.000000,4839593790.000000
