Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,827606689000.000000,-600545540000.000000,227061149000.000000,-58002175000.000000,-50544178000.000000,-7457997000.000000,-58002175000.000000,169058974000.000000,739872000.000000,845880000.000000,-106008000.000000,739872000.000000,169798846000.000000,-52734741000.000000,117064105000.000000,,117064105000.000000,117064105000.000000,117064105000.000000,,117064105000.000000,117064105000.000000,117064105000.000000,,117064105000.000000
12M 2017,746653357000.000000,-499246733000.000000,247406624000.000000,-80198664000.000000,-79715980000.000000,-482684000.000000,-80198664000.000000,167207960000.000000,1052823000.000000,1135891000.000000,-83068000.000000,1052823000.000000,168260783000.000000,-47843736000.000000,120417047000.000000,,120417047000.000000,120417047000.000000,120417047000.000000,,120417047000.000000,120417047000.000000,120417047000.000000,,120417047000.000000
12M 2018,727051393000.000000,-499772158000.000000,227279235000.000000,-124857406000.000000,-101128063000.000000,-23729343000.000000,-124857406000.000000,102421829000.000000,18410967000.000000,18619865000.000000,-208898000.000000,18410967000.000000,120832796000.000000,-48025570000.000000,72807226000.000000,,72807226000.000000,72807226000.000000,72807226000.000000,,72807226000.000000,72807226000.000000,72807226000.000000,,72807226000.000000
12M 2019,681676569000.000000,-476969901000.000000,204706668000.000000,-96235845000.000000,-97147518000.000000,911673000.000000,-96235845000.000000,108470823000.000000,23755873000.000000,23910790000.000000,-154917000.000000,23755873000.000000,132226696000.000000,-42179422000.000000,90047274000.000000,,90047274000.000000,90047274000.000000,90047274000.000000,,90047274000.000000,90047274000.000000,90047274000.000000,,90047274000.000000
12M 2020,696560527000.000000,-470486833000.000000,226073694000.000000,-136904148000.000000,-98984690000.000000,-37919458000.000000,-136904148000.000000,89169546000.000000,22519193000.000000,27137170000.000000,-4617977000.000000,22519193000.000000,111688739000.000000,-31454564000.000000,80234175000.000000,,80234175000.000000,80234175000.000000,80234175000.000000,,80234175000.000000,80234175000.000000,80234175000.000000,,80234175000.000000
12M 2021,820160995000.000000,-572345480000.000000,247815515000.000000,-88818332000.000000,-90378941000.000000,1560609000.000000,-88818332000.000000,158997183000.000000,11968351000.000000,14976646000.000000,-3008295000.000000,11968351000.000000,170965534000.000000,-34382814000.000000,136582720000.000000,,136582720000.000000,136582720000.000000,136582720000.000000,,136582720000.000000,136582720000.000000,136582720000.000000,,136582720000.000000
12M 2022,980168475000.000000,-677621689000.000000,302546786000.000000,-128532363000.000000,-117607997000.000000,-10924366000.000000,-128532363000.000000,174014423000.000000,12024536000.000000,14141732000.000000,-2117196000.000000,12024536000.000000,186038959000.000000,-35384110000.000000,150654849000.000000,,150654849000.000000,150654849000.000000,150654849000.000000,,150654849000.000000,150654849000.000000,150654849000.000000,,150654849000.000000
12M 2023,1138537475000.000000,-798761967000.000000,339775508000.000000,-156016637000.000000,-165468611000.000000,9451974000.000000,-156016637000.000000,183758871000.000000,12185085000.000000,14958550000.000000,-2773465000.000000,12185085000.000000,195943956000.000000,-38281968000.000000,157661988000.000000,,157661988000.000000,157661988000.000000,157661988000.000000,,157661988000.000000,157661988000.000000,157661988000.000000,,157661988000.000000
12M 2024,1345030257000.000000,-926892911000.000000,418137346000.000000,-210733415000.000000,-203273321000.000000,-7460094000.000000,-210733415000.000000,207403931000.000000,6784361000.000000,17932644000.000000,-11148283000.000000,6784361000.000000,214188292000.000000,-47345409000.000000,166842883000.000000,,166842883000.000000,166842883000.000000,166842883000.000000,,166842883000.000000,166842883000.000000,166842883000.000000,,166842883000.000000
