Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,56206569000.000000,337935874000.000000,16190564000.000000,321745310000.000000,337935874000.000000,96840036000.000000,4179000.000000,96835857000.000000,96840036000.000000,,,36249605000.000000,527232084000.000000,,8822430000.000000,24900105000.000000,37415576000.000000,71138111000.000000,598370195000.000000,,,261635773000.000000,,9125075000.000000,113930479000.000000,123055554000.000000,,8071533000.000000,29473317000.000000,37544850000.000000,88761897000.000000,10058654000.000000,2214818000.000000,261635773000.000000,,,,261635773000.000000,,58000000000.000000,,278734422000.000000,20077924000.000000,258656498000.000000,278734422000.000000,,336734422000.000000,598370195000.000000,5284811100.000000
12M 2017,,,488588631000.000000,325113093000.000000,19491598000.000000,305621495000.000000,325113093000.000000,2724854000.000000,2724854000.000000,,2724854000.000000,,,111419113000.000000,927845691000.000000,,6944629000.000000,366543285000.000000,55014165000.000000,428502079000.000000,1356347770000.000000,,,352326409000.000000,,4422991000.000000,2379069000.000000,6802060000.000000,,907414000.000000,,907414000.000000,91506134000.000000,10328102000.000000,242782699000.000000,352326409000.000000,,,,352326409000.000000,,528481110000.000000,317981175000.000000,157559076000.000000,27142029000.000000,130417047000.000000,157559076000.000000,,1004021361000.000000,1356347770000.000000,5284811100.000000
12M 2018,,,334882693000.000000,233917508000.000000,19298701000.000000,214618807000.000000,233917508000.000000,32500052000.000000,,32500052000.000000,32500052000.000000,2524221000.000000,,137739542000.000000,741564016000.000000,,7529353000.000000,372953588000.000000,37146832000.000000,417629773000.000000,1159193789000.000000,,,118037677000.000000,,3650754000.000000,26903678000.000000,30554432000.000000,,144130000.000000,,144130000.000000,79255773000.000000,7849603000.000000,233739000.000000,118037677000.000000,,,,118037677000.000000,,528481110000.000000,317981175000.000000,194693827000.000000,29550370000.000000,165143457000.000000,194693827000.000000,,1041156112000.000000,1159193789000.000000,5284811100.000000
12M 2019,,,466164401000.000000,116600029000.000000,22221529000.000000,94378500000.000000,116600029000.000000,25284677000.000000,6719378000.000000,18565299000.000000,25284677000.000000,14371850000.000000,,139733046000.000000,762154003000.000000,,7484586000.000000,485569453000.000000,24096548000.000000,517150587000.000000,1279304590000.000000,,,199892353000.000000,,7982772000.000000,30374053000.000000,38356825000.000000,,314415000.000000,,314415000.000000,138607341000.000000,9913211000.000000,12700561000.000000,199892353000.000000,,,,199892353000.000000,,846462285000.000000,,232949952000.000000,31006515000.000000,201943437000.000000,232949952000.000000,,1079412237000.000000,1279304590000.000000,5284811100.000000
12M 2020,,,576203979000.000000,133068615000.000000,15794035000.000000,117274580000.000000,133068615000.000000,37900624000.000000,7249275000.000000,30651349000.000000,37900624000.000000,9200256000.000000,,67715112000.000000,824088586000.000000,,11897224000.000000,511214319000.000000,61089855000.000000,584201398000.000000,1408289984000.000000,,,293766118000.000000,,6454992000.000000,40630310000.000000,47085302000.000000,,7883513000.000000,,7883513000.000000,193340338000.000000,11450993000.000000,34005972000.000000,293766118000.000000,22876815000.000000,22876815000.000000,22876815000.000000,316642933000.000000,,528481110000.000000,317981175000.000000,246802604000.000000,53441437000.000000,193361167000.000000,246802604000.000000,-1617838000.000000,1091647051000.000000,1408289984000.000000,5284811100.000000
12M 2021,,,655637033000.000000,65852766000.000000,21028316000.000000,44824450000.000000,65852766000.000000,73490481000.000000,616555000.000000,72873926000.000000,73490481000.000000,14139434000.000000,,45390949000.000000,854510663000.000000,,13808001000.000000,510624884000.000000,48931459000.000000,573364344000.000000,1427875007000.000000,,,267260724000.000000,,15615804000.000000,60883281000.000000,76499085000.000000,,867336000.000000,,867336000.000000,142740411000.000000,13290149000.000000,33863743000.000000,267260724000.000000,4201366000.000000,4201366000.000000,4201366000.000000,271462090000.000000,,528481110000.000000,317981175000.000000,311568470000.000000,69457305000.000000,242111165000.000000,311568470000.000000,-1617838000.000000,1156412917000.000000,1427875007000.000000,5284811100.000000
12M 2022,,,571726884000.000000,122512366000.000000,23781091000.000000,98731275000.000000,122512366000.000000,51330952000.000000,6710000.000000,51324242000.000000,51330952000.000000,24066113000.000000,,149595289000.000000,919231604000.000000,,12663725000.000000,538124122000.000000,18188615000.000000,568976462000.000000,1488208066000.000000,,,291390718000.000000,,24389082000.000000,29714862000.000000,54103944000.000000,,69574568000.000000,,69574568000.000000,142190584000.000000,9177645000.000000,16343977000.000000,291390718000.000000,297942000.000000,297942000.000000,297942000.000000,291688660000.000000,,528481110000.000000,317981175000.000000,351674959000.000000,96758091000.000000,254916868000.000000,351674959000.000000,-1617838000.000000,1196519406000.000000,1488208066000.000000,5284811100.000000
12M 2023,,,409000607000.000000,42118970000.000000,37675720000.000000,4443250000.000000,42118970000.000000,5640100000.000000,,5640100000.000000,5640100000.000000,25072666000.000000,,407802051000.000000,889634394000.000000,,12986577000.000000,581005721000.000000,38507956000.000000,632500254000.000000,1522134648000.000000,,,274584828000.000000,,4095090000.000000,18464080000.000000,22559170000.000000,,,,,174839605000.000000,9224532000.000000,67961521000.000000,274584828000.000000,7030080000.000000,7030080000.000000,7030080000.000000,281614908000.000000,,528481110000.000000,317981175000.000000,395675293000.000000,96758091000.000000,298917202000.000000,395675293000.000000,-1617838000.000000,1240519740000.000000,1522134648000.000000,5284811100.000000
12M 2024,,,473084134000.000000,192456393000.000000,44891610000.000000,147564783000.000000,192456393000.000000,,,,,21596039000.000000,,251701044000.000000,938837610000.000000,,18986597000.000000,562431197000.000000,129725611000.000000,711143405000.000000,1649981015000.000000,,,354135181000.000000,,15263232000.000000,14112757000.000000,29375989000.000000,,,,,185986435000.000000,21318132000.000000,117454625000.000000,354135181000.000000,6735657000.000000,6735657000.000000,6735657000.000000,360870838000.000000,,528481110000.000000,317981175000.000000,444265730000.000000,158421458000.000000,285844272000.000000,444265730000.000000,-1617838000.000000,1289110177000.000000,1649981015000.000000,5284811100.000000
