Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Dari Restitusi Pajak,Penerimaan Pendapatan Keuangan,Pembayaran Beban Keuangan,Penempatan Kas Yang Dibatasi Penggunaannya,Penerimaan Dari (Pembayaran Untuk) Kegiatan Operasional Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Lainnya Dari Aktivitas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana,Pelaksanaan Pembelian Kembali Saham,Pembayaran Dividen,Pembayaran Kepada Pihak Berelasi,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,34817196000.000000,823387487000.000000,-368670123000.000000,-205981047000.000000,-131794518000.000000,,845880000.000000,-106008000.000000,,-82864475000.000000,,34817196000.000000,,,,,-66609433000.000000,,,-66609433000.000000,,,-66609433000.000000,-31792237000.000000,87998806000.000000,,56206569000.000000
12M 2017,-7149763000.000000,741133743000.000000,-513701640000.000000,-164207474000.000000,-76754189000.000000,,1135891000.000000,-83068000.000000,,5326974000.000000,,-7149763000.000000,,,,,439531825000.000000,439531825000.000000,,,,,439531825000.000000,432382062000.000000,56206569000.000000,,488588631000.000000
12M 2018,157283623000.000000,842401680000.000000,-426118352000.000000,-182150852000.000000,-38338724000.000000,,18619865000.000000,-208898000.000000,,-56921096000.000000,,157283623000.000000,-35012931000.000000,-35012931000.000000,,-35012931000.000000,-275976630000.000000,,,-275976630000.000000,,,-275976630000.000000,-153705938000.000000,488588631000.000000,,334882693000.000000
12M 2019,247606987000.000000,787434520000.000000,-360911104000.000000,-185318252000.000000,-29954230000.000000,,23911370000.000000,-154917000.000000,,12599600000.000000,,247606987000.000000,-76724650000.000000,-76724650000.000000,,-76724650000.000000,-39600629000.000000,,,-39600629000.000000,,,-39600629000.000000,131281708000.000000,334882693000.000000,,466164401000.000000
12M 2020,225575377000.000000,681496226000.000000,-321094037000.000000,-124321845000.000000,-21267293000.000000,,27137169000.000000,-59442000.000000,,-16315401000.000000,,225575377000.000000,-1783766000.000000,-1783766000.000000,,-1783766000.000000,-113752033000.000000,,-1617838000.000000,-74501977000.000000,,-37632218000.000000,-113752033000.000000,110039578000.000000,466164401000.000000,,576203979000.000000
12M 2021,303448102000.000000,861063737000.000000,-396110993000.000000,-139148807000.000000,3257691000.000000,,14976646000.000000,-24560000.000000,,-40565612000.000000,,303448102000.000000,-106540901000.000000,-106540901000.000000,,-106540901000.000000,-117474147000.000000,,,-71816854000.000000,,-45657293000.000000,-117474147000.000000,79433054000.000000,576203979000.000000,,655637033000.000000
12M 2022,124888050000.000000,876576702000.000000,-662594158000.000000,-142831026000.000000,17208810000.000000,,14141731000.000000,-522615000.000000,,22908606000.000000,,124888050000.000000,-3425613000.000000,-3425613000.000000,,-3425613000.000000,-205372586000.000000,,,-110548360000.000000,-44380234000.000000,-50443992000.000000,-205372586000.000000,-83910149000.000000,655637033000.000000,,571726884000.000000
12M 2023,-16058379000.000000,987801421000.000000,-940642427000.000000,-151985596000.000000,17994078000.000000,,14958550000.000000,-56440000.000000,,55872035000.000000,,-16058379000.000000,-14522186000.000000,-14522186000.000000,,-14522186000.000000,-132145712000.000000,,,-93609923000.000000,,-38535789000.000000,-132145712000.000000,-162726277000.000000,571726884000.000000,,409000607000.000000
12M 2024,309405074000.000000,1344743520000.000000,-941722511000.000000,-118472625000.000000,,,17932644000.000000,-15131000.000000,-42738000.000000,6981915000.000000,,309405074000.000000,-26147743000.000000,-26147743000.000000,,-26147743000.000000,-218989574000.000000,,,-98200715000.000000,,-120788859000.000000,-218989574000.000000,64267757000.000000,408816377000.000000,,473084134000.000000
