Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,84 B,(68 B),84 B,13961.04
12M 2019,57 B,(17 B),40 B,11.68
12M 2020,137 B,(45 B),92 B,27.07
12M 2021,93 B,(68 B),26 B,7.51
12M 2022,66 B,(149 B),(83 B),-24.24
12M 2023,249 B,,158 B,46.19
12M 2024,(17 B),(106 B),(123 B),-5.04
