Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,2178697950787.000000,-1792280115030.000000,386417835757.000000,-239161726655.000000,-254389654391.000000,5658341314.000000,9569586422.000000,-239161726655.000000,147256109102.000000,-84077203368.000000,9441932.000000,-84086645300.000000,-84077203368.000000,63178905734.000000,-18435967431.000000,44742938303.000000,86692653768.000000,131435592071.000000,44742938303.000000,44742938303.000000,,44742938303.000000,131435592071.000000,131435592071.000000,,131435592071.000000
12M 2019,1938646682941.000000,-1581003908237.000000,357642774704.000000,-221688713418.000000,-231943394189.000000,-3383779612.000000,13638460383.000000,-221688713418.000000,135954061286.000000,-83247048922.000000,329755954.000000,-83576804876.000000,-83247048922.000000,52707012364.000000,-32366892907.000000,20340119457.000000,6380838437.000000,26720957894.000000,20340119457.000000,20340119457.000000,,20340119457.000000,26720957894.000000,26720957894.000000,,26720957894.000000
12M 2020,1697782916089.000000,-1392941317143.000000,304841598946.000000,-175955688625.000000,-196134342402.000000,4429841762.000000,15748812015.000000,-175955688625.000000,128885910321.000000,-66169412369.000000,9982897.000000,-66179395266.000000,-66169412369.000000,62716497952.000000,-22265167713.000000,40451330239.000000,-2508943240.000000,37942386999.000000,40451330239.000000,40451330239.000000,,40451330239.000000,37942386999.000000,37942386999.000000,,37942386999.000000
12M 2021,2119868420179.000000,-1763085133142.000000,356783287037.000000,-158361247230.000000,-175877995747.000000,-72632694.000000,17589381211.000000,-158361247230.000000,198422039807.000000,-58586001446.000000,6498026.000000,-58592499472.000000,-58586001446.000000,139836038361.000000,-33302594984.000000,106533443377.000000,2034577553.000000,108568020930.000000,106533443377.000000,106533443377.000000,,106533443377.000000,108568020930.000000,108568020930.000000,,108568020930.000000
12M 2022,2223928484187.000000,-1872083970669.000000,351844513518.000000,-190565090364.000000,-221574799869.000000,7594655081.000000,23415054424.000000,-190565090364.000000,161279423154.000000,-59139358492.000000,4054324.000000,-59143412816.000000,-59139358492.000000,102140064662.000000,-25053403069.000000,77086661593.000000,88947212401.000000,166033873994.000000,77086661593.000000,77086661593.000000,,77086661593.000000,166033873994.000000,166033873994.000000,,166033873994.000000
12M 2023,1739300469186.000000,-1463660910601.000000,275639558585.000000,-202771103244.000000,-215130802426.000000,47026392.000000,12312672790.000000,-202771103244.000000,72868455341.000000,-52500238677.000000,4166810.000000,-52504405487.000000,-52500238677.000000,20368216664.000000,-8521433668.000000,11846782996.000000,-2184463563.000000,9662319433.000000,11846782996.000000,11846782996.000000,,11846782996.000000,9662319434.000000,9662319434.000000,,9662319434.000000
12M 2024,1776163283820.000000,-1453125167247.000000,323038116573.000000,-242761226662.000000,-250512057084.000000,4487430755.000000,3263399667.000000,-242761226662.000000,80276889911.000000,-49553717707.000000,4438081.000000,-49558155788.000000,-49553717707.000000,30723172204.000000,-8332001123.000000,22391171081.000000,1996566119.000000,24387737200.000000,22391171081.000000,22391171081.000000,,22391171081.000000,24387737200.000000,24387737200.000000,,24387737200.000000
