Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Beban Usaha Dan Lainnya,Pembayaran Pajak Penghasilan Badan,Pembayaran Biaya Keuangan,Penerimaan Taksiran Tagihan Restitusi Pajak,Penerimaan Pendapatan Keuangan,Penerimaan Dari Kegiatan Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Penerimaan (Pembayaran) Setoran Jaminan,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Utang Perolehan Aset Tetap,Pembayaran Utang Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Perangkat Lunak Dalam Penyelesaian,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Hasil Penawaran Umum Perdana Saham-Neto,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Uang Muka Pemesanan Saham,Penerimaan Dari Pelaksanaan Waran Seri I,Pembayaran Utang Bank Jangka Pendek-Neto,Pembayaran Wesel Bayar Jangka Menengah,Pembayaran Dari Pinjaman Pihak Berelasi,Penerimaan Dari Pinjaman Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen Kas,Pembayaran Biaya Transaksi,Setoran Modal Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,84029811770.000000,2090404947467.000000,-1534673330864.000000,-210107089417.000000,-179809548509.000000,-19844036243.000000,-81867010161.000000,7869077787.000000,9441932.000000,12047359778.000000,84029811770.000000,-118961321878.000000,293700000.000000,,,-57575059022.000000,,,-51280409066.000000,-10399553790.000000,,-118961321878.000000,40852919091.000000,,70180785073.000000,,44192403831.000000,-77160625591.000000,,,,,,,-4488264450.000000,-3991379772.000000,,,12120000000.000000,40852919091.000000,5921408983.000000,6042506259.000000,,11963915242.000000
12M 2019,57121240824.000000,1975645380006.000000,-1408176107133.000000,-245489712568.000000,-208597995281.000000,-33903826532.000000,-83808522297.000000,42457135693.000000,329755954.000000,18665132982.000000,57121240824.000000,-38640405630.000000,1909236362.000000,,274590393.000000,-8440879414.000000,,,-20258527950.000000,-8976893021.000000,-3147932000.000000,-38640405630.000000,-9647474611.000000,121081892176.000000,39922652437.000000,,,-87187216735.000000,,,,-74989923488.000000,,,-5529651566.000000,-2945227435.000000,,,,-9647474611.000000,8833360583.000000,11963915242.000000,,20797275825.000000
12M 2020,136792778806.000000,1753530951178.000000,-1172392937368.000000,-242467513909.000000,-142275123080.000000,-7211829728.000000,-65532785447.000000,,9982898.000000,13132034262.000000,136792778806.000000,-60301563856.000000,1202893246.000000,-15978933333.000000,,-44754059869.000000,,,,,-771463900.000000,-60301563856.000000,-72834578086.000000,,718355914870.000000,-760811829247.000000,31536834000.000000,-36017088795.000000,,2000.000000,,,,,-6130403077.000000,-1212875012.000000,-17000000025.000000,-1555132800.000000,,-72834578086.000000,3656636864.000000,-35102131517.000000,-303158465.000000,-31748653118.000000
12M 2021,93092979283.000000,2036110379803.000000,-1530680939604.000000,-247268743816.000000,-116262899579.000000,-15488968971.000000,-57011061700.000000,5591120000.000000,6498026.000000,18097595124.000000,93092979283.000000,-73978087119.000000,1621540826.000000,-7651172153.000000,,-67549025156.000000,,,,,-399430636.000000,-73978087119.000000,-27748334835.000000,,817435166448.000000,-783679621589.000000,19439825500.000000,-47800507852.000000,,552496400.000000,,,,,-4715427400.000000,-545890182.000000,-27200001160.000000,-1234375000.000000,,-27748334835.000000,-8633442671.000000,-31748653118.000000,1121781884.000000,-39260313905.000000
12M 2022,66330867616.000000,2269284982547.000000,-1688956214312.000000,-263998177646.000000,-196450623524.000000,-45849422222.000000,-61610767574.000000,24817263259.000000,4054324.000000,29089772764.000000,66330867616.000000,-150648523603.000000,3159990720.000000,-4410927566.000000,,-149188070859.000000,,,,,-209515898.000000,-150648523603.000000,42599120628.000000,,929849801646.000000,-888169134119.000000,96664830000.000000,-54364850634.000000,,6681617600.000000,,,,,-4667878092.000000,-896992293.000000,-41017023480.000000,-1481250000.000000,,42599120628.000000,-41718535359.000000,-39260313905.000000,7118009660.000000,-73860839604.000000
12M 2023,249214727916.000000,1858027571144.000000,-1094252456107.000000,-293513398875.000000,-177432168716.000000,-14185218239.000000,-58818929848.000000,20311111413.000000,4166810.000000,9074050334.000000,249214727916.000000,-90559615290.000000,1192029284.000000,,,-91323581975.000000,,,,,-428062599.000000,-90559615290.000000,-119790768909.000000,,706730803891.000000,-778278922774.000000,29808115000.000000,-56974756692.000000,,,,,,30000000000.000000,-4216080777.000000,-1249154077.000000,-41017023480.000000,-4593750000.000000,,-119790768909.000000,38864343717.000000,-73860839604.000000,1444501588.000000,-33551994299.000000
12M 2024,-17234476246.000000,1755971895005.000000,-1279631362898.000000,-245891083500.000000,-198630519032.000000,-7737264691.000000,-52976459048.000000,6372796466.000000,4438081.000000,5283083371.000000,-17234476246.000000,-105837603515.000000,,,,-105696406164.000000,,,,,-141197351.000000,-105837603515.000000,135761849021.000000,,969336179640.000000,-863689566447.000000,131462159000.000000,-55320389096.000000,,,,,-30000000000.000000,-2230994926.000000,,-3209368570.000000,-6836170580.000000,-3750000000.000000,,135761849021.000000,12689769260.000000,-33551994300.000000,740914070.000000,-20121310970.000000
