Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Pinjaman Dari Pemerintah Republik Indonesia,Utang Bunga Dan Denda,Utang Obligasi,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Pinjaman Dari Pemerintah Republik Indonesia,Utang Obligasi,Utang Bunga Dan Denda,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Dana Syirkah Temporer,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3746684082000.000000,89500000000.000000,1490270960000.000000,1144595533000.000000,345675427000.000000,1490270960000.000000,28669473000.000000,,,28669473000.000000,1637853000000.000000,90444190000.000000,7083421705000.000000,,9647475000.000000,75637805000.000000,59566321000.000000,13763698000.000000,3308878167000.000000,,52048553000.000000,3519542019000.000000,10602963724000.000000,,,2090588965000.000000,,,697994847000.000000,107156762000.000000,805151609000.000000,33539157000.000000,,,33539157000.000000,640954894000.000000,461088236000.000000,,461088236000.000000,,3494200000.000000,29239095000.000000,41185414000.000000,,19787823000.000000,93706532000.000000,56148537000.000000,2090588965000.000000,338659692000.000000,18399614000.000000,,8317800000.000000,36276476000.000000,,28957807000.000000,83268484000.000000,156820567000.000000,14753898000.000000,,148685613000.000000,338659692000.000000,2429248657000.000000,,593152000000.000000,1247355440000.000000,6422588314000.000000,253338000000.000000,6169250314000.000000,6422588314000.000000,104129194000.000000,-193509881000.000000,8173715067000.000000,10602963724000.000000,5931520000.000000
12M 2009,,,3410263396000.000000,1048552795000.000000,1425303437000.000000,1100304419000.000000,324999018000.000000,1425303437000.000000,14512537000.000000,,,14512537000.000000,1407577516000.000000,900831534000.000000,8207041215000.000000,,11965806000.000000,111919916000.000000,66670814000.000000,17643758000.000000,4014143323000.000000,,521923329000.000000,4744266946000.000000,12951308161000.000000,,,2294842315000.000000,,,630349907000.000000,145858656000.000000,776208563000.000000,32761250000.000000,,,32761250000.000000,788686871000.000000,538533423000.000000,,538533423000.000000,,9084000000.000000,23079873000.000000,37063031000.000000,,22256116000.000000,91483020000.000000,67169188000.000000,2294842315000.000000,338371744000.000000,7063455000.000000,,22877246000.000000,13196603000.000000,,10350599000.000000,60955375000.000000,107379823000.000000,26031169000.000000,,197897297000.000000,338371744000.000000,2633214059000.000000,,593152000000.000000,1458257900000.000000,8143284128000.000000,253338000000.000000,7889946128000.000000,8143284128000.000000,120415074000.000000,2985000000.000000,10318094102000.000000,12951308161000.000000,5931520000.000000
12M 2010,,,3664278065000.000000,113457500000.000000,1716582194000.000000,1362699365000.000000,353882829000.000000,1716582194000.000000,47702036000.000000,41789212000.000000,5912824000.000000,47702036000.000000,1624219125000.000000,177365836000.000000,7343604756000.000000,,,95684353000.000000,71893257000.000000,21752700000.000000,7662560326000.000000,,367503554000.000000,8219394190000.000000,15562998946000.000000,,,2517518619000.000000,,,691944608000.000000,200077260000.000000,892021868000.000000,,387005456000.000000,95237787000.000000,482243243000.000000,801896787000.000000,222697220000.000000,,222697220000.000000,,28095179000.000000,10737187000.000000,24473453000.000000,,23329054000.000000,86634873000.000000,32024628000.000000,2517518619000.000000,905727439000.000000,6679515000.000000,,544405512000.000000,1561762000.000000,,1419377000.000000,52239245000.000000,599625896000.000000,82440129000.000000,,216981899000.000000,905727439000.000000,3423246058000.000000,,593152000000.000000,1458257900000.000000,9954536248000.000000,253338000000.000000,9701198248000.000000,9954536248000.000000,133314275000.000000,492465000.000000,12139752888000.000000,15562998946000.000000,5931520000.000000
12M 2011,,,3375645424000.000000,253083974000.000000,1828477938000.000000,1456557511000.000000,371920427000.000000,1828477938000.000000,35698965000.000000,29289465000.000000,6409500000.000000,35698965000.000000,2006660281000.000000,146578269000.000000,7646144851000.000000,,,106488455000.000000,80193127000.000000,25582074000.000000,11640692117000.000000,,162502143000.000000,12015457916000.000000,19661602767000.000000,,,2889137195000.000000,,,782830034000.000000,399732437000.000000,1182562471000.000000,,460784658000.000000,182349136000.000000,643133794000.000000,655983834000.000000,290107526000.000000,,290107526000.000000,,37743871000.000000,1790930000.000000,19381110000.000000,,18873667000.000000,77789578000.000000,39559992000.000000,2889137195000.000000,2157368593000.000000,1470571000.000000,,1737579882000.000000,,,,75897554000.000000,1813477436000.000000,73043662000.000000,,269376924000.000000,2157368593000.000000,5046505788000.000000,,593152000000.000000,1458257900000.000000,12407396233000.000000,253338000000.000000,12154058233000.000000,12407396233000.000000,150466348000.000000,5824498000.000000,14615096979000.000000,19661602767000.000000,5931520000.000000
12M 2012,,,3022124696000.000000,236362922000.000000,2466060075000.000000,2001493708000.000000,464566367000.000000,2466060075000.000000,56468853000.000000,44081787000.000000,12387066000.000000,56468853000.000000,2284905292000.000000,165375267000.000000,8231297105000.000000,,,140742720000.000000,102827948000.000000,40674520000.000000,16794115433000.000000,1003033110000.000000,266392950000.000000,18347786681000.000000,26579083786000.000000,,,4825204637000.000000,350353537000.000000,,1602800764000.000000,570452908000.000000,2173253672000.000000,,435230730000.000000,82602209000.000000,517832939000.000000,398252792000.000000,504405242000.000000,,504405242000.000000,,241656997000.000000,,,,35992312000.000000,277649309000.000000,603457146000.000000,4825204637000.000000,3589024501000.000000,1356931000.000000,,3107488345000.000000,,,,114941141000.000000,3222429486000.000000,13231432000.000000,,352006652000.000000,3589024501000.000000,8414229138000.000000,,593152000000.000000,1458257900000.000000,15291927191000.000000,253338000000.000000,15038589191000.000000,15291927191000.000000,817541434000.000000,3976123000.000000,18164854648000.000000,26579083786000.000000,5931520000.000000
12M 2013,,,4070492871000.000000,104835223000.000000,2825108640000.000000,2238452900000.000000,586655740000.000000,2825108640000.000000,90953264000.000000,73674404000.000000,17278860000.000000,90953264000.000000,2645892517000.000000,234827855000.000000,9972110370000.000000,,,84380078000.000000,127509500000.000000,48654931000.000000,18862518157000.000000,1158474986000.000000,539236070000.000000,20820773722000.000000,30792884092000.000000,,,5297630537000.000000,320926026000.000000,,1672272211000.000000,829461699000.000000,2501733910000.000000,,295622862000.000000,24761055000.000000,320383917000.000000,438205233000.000000,398536742000.000000,,398536742000.000000,,469973512000.000000,,,,49300788000.000000,519274300000.000000,798570409000.000000,5297630537000.000000,3691277680000.000000,7219730000.000000,,3129289131000.000000,,,,113093127000.000000,3242382258000.000000,12453908000.000000,,429221784000.000000,3691277680000.000000,8988908217000.000000,,593152000000.000000,1458257900000.000000,18480910979000.000000,253338000000.000000,18227572979000.000000,18480910979000.000000,921432547000.000000,350222449000.000000,21803975875000.000000,30792884092000.000000,5931520000.000000
12M 2014,,,4925949551000.000000,91872422000.000000,3301247304000.000000,2553653508000.000000,747593796000.000000,3301247304000.000000,131309251000.000000,103802566000.000000,27506685000.000000,131309251000.000000,2811704405000.000000,386461742000.000000,11648544675000.000000,,,39543861000.000000,146980208000.000000,183317846000.000000,20221066650000.000000,1103697255000.000000,971515532000.000000,22666121352000.000000,34314666027000.000000,,,5273269122000.000000,81808678000.000000,,2160613721000.000000,870893891000.000000,3031507612000.000000,,182704936000.000000,32295840000.000000,215000776000.000000,445434118000.000000,271687005000.000000,,271687005000.000000,,463572257000.000000,,,,52497495000.000000,516069752000.000000,711761181000.000000,5273269122000.000000,4038944969000.000000,58201897000.000000,,3183156388000.000000,,,,131988819000.000000,3315145207000.000000,11955057000.000000,,653642808000.000000,4038944969000.000000,9312214091000.000000,,593152000000.000000,1458257900000.000000,21630157442000.000000,253338000000.000000,21376819442000.000000,21630157442000.000000,960414183000.000000,360470411000.000000,25002451936000.000000,34314666027000.000000,5931520000.000000
12M 2015,,,3964018180000.000000,2263173000.000000,3543839969000.000000,2716270338000.000000,827569631000.000000,3543839969000.000000,84800532000.000000,56818134000.000000,27982398000.000000,84800532000.000000,2408974072000.000000,534807984000.000000,10538703910000.000000,,,90267923000.000000,223952239000.000000,175123263000.000000,25167682710000.000000,1134306236000.000000,823082651000.000000,27614415022000.000000,38153118932000.000000,,,6599189622000.000000,138603568000.000000,,2709634659000.000000,1073611340000.000000,3783245999000.000000,,151290680000.000000,43009298000.000000,194299978000.000000,633616432000.000000,275833026000.000000,,275833026000.000000,,630043935000.000000,,,,77037601000.000000,707081536000.000000,866509083000.000000,6599189622000.000000,4113130909000.000000,107902730000.000000,,2996680899000.000000,,,,158934642000.000000,3155615541000.000000,10473501000.000000,,839139137000.000000,4113130909000.000000,10712320531000.000000,,593152000000.000000,1458257900000.000000,23814976624000.000000,253338000000.000000,23561638624000.000000,23814976624000.000000,1021256611000.000000,553155266000.000000,27440798401000.000000,38153118932000.000000,5931520000.000000
12M 2016,,,2834444371000.000000,13262624000.000000,3837918210000.000000,3199717689000.000000,638200521000.000000,3837918210000.000000,180365502000.000000,154747650000.000000,25617852000.000000,180365502000.000000,2671144517000.000000,836023603000.000000,10373158827000.000000,,,752492323000.000000,93984643000.000000,160694045000.000000,30846750207000.000000,179217050000.000000,1820598887000.000000,33853737155000.000000,44226895982000.000000,,,8151673428000.000000,819024714000.000000,,3249070457000.000000,828686605000.000000,4077757062000.000000,,266382815000.000000,38868025000.000000,305250840000.000000,677378424000.000000,363827010000.000000,,363827010000.000000,,866543711000.000000,,,,124958736000.000000,991502447000.000000,916932931000.000000,8151673428000.000000,5500831097000.000000,38650880000.000000,,3988450846000.000000,,,,461397183000.000000,4449848029000.000000,6541513000.000000,,1005790675000.000000,5500831097000.000000,13652504525000.000000,,593152000000.000000,1458257900000.000000,26527984670000.000000,253338000000.000000,26274646670000.000000,26527984670000.000000,1539195697000.000000,455801190000.000000,30574391457000.000000,44226895982000.000000,5931520000.000000
12M 2017,,,3637760116000.000000,8453004000.000000,4885666314000.000000,4031171228000.000000,854495086000.000000,4885666314000.000000,109348417000.000000,73004526000.000000,36343891000.000000,109348417000.000000,3686332189000.000000,1474258493000.000000,13801818533000.000000,,,664718161000.000000,83664640000.000000,146461993000.000000,32523309598000.000000,14254911000.000000,1729275130000.000000,35161684433000.000000,48963502966000.000000,,,8803577054000.000000,1193063247000.000000,,4070189302000.000000,856887653000.000000,4927076955000.000000,,236241839000.000000,86225118000.000000,322466957000.000000,630053673000.000000,245687716000.000000,,245687716000.000000,,602177467000.000000,,,,125271821000.000000,727449288000.000000,757779218000.000000,8803577054000.000000,9720873610000.000000,71538186000.000000,,4715120564000.000000,,2993704359000.000000,,389956191000.000000,8098781114000.000000,46806640000.000000,,1503747670000.000000,9720873610000.000000,18524450664000.000000,,593152000000.000000,1458257900000.000000,26733360941000.000000,253338000000.000000,26480022941000.000000,26733360941000.000000,1524057477000.000000,130223984000.000000,30439052302000.000000,48963502966000.000000,5931520000.000000
