Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,12209846050000.000000,-6855225226000.000000,5354620824000.000000,-1967434974000.000000,,,,-1967434974000.000000,3387185850000.000000,202342724000.000000,223998802000.000000,5856035000.000000,-9234802000.000000,-26192484000.000000,11046148000.000000,-3130975000.000000,202342724000.000000,3589528574000.000000,-1045568598000.000000,2543959976000.000000,-20415504000.000000,2523544472000.000000,,,2523544472000.000000,2543959976000.000000,-20415504000.000000,2523544472000.000000,,,,
12M 2009,14387849799000.000000,-7613708634000.000000,6774141165000.000000,-2431577943000.000000,,,,-2431577943000.000000,4342563222000.000000,312625063000.000000,326035263000.000000,1412191000.000000,-25850656000.000000,-20358231000.000000,10911158000.000000,20475338000.000000,312625063000.000000,4655188285000.000000,-1302433159000.000000,3352755126000.000000,-26267169000.000000,3326487957000.000000,,,3326487957000.000000,3352755126000.000000,-26267169000.000000,3326487957000.000000,,,,
12M 2010,14344188706000.000000,-7534079138000.000000,6810109568000.000000,-2321085053000.000000,,,,-2321085053000.000000,4489024515000.000000,233598866000.000000,229539481000.000000,2262000000.000000,-2367112000.000000,-26101520000.000000,9241108000.000000,21024909000.000000,233598866000.000000,4722623381000.000000,-1063509283000.000000,3659114098000.000000,-25894206000.000000,3633219892000.000000,,,3633219892000.000000,3659114098000.000000,-25894206000.000000,3633219892000.000000,,,,
12M 2011,16378793758000.000000,-8891867996000.000000,7486925762000.000000,-2594794451000.000000,-1380422945000.000000,-1268852987000.000000,54481481000.000000,-2594794451000.000000,4892131311000.000000,197821027000.000000,210349992000.000000,,,-27600922000.000000,15071957000.000000,,197821027000.000000,5089952338000.000000,-1134679826000.000000,3955272512000.000000,,3955272512000.000000,5332033000.000000,3960604545000.000000,3955272512000.000000,3925441771000.000000,29830741000.000000,3955272512000.000000,3960604545000.000000,3930773804000.000000,29830741000.000000,3960604545000.000000
12M 2012,19598247884000.000000,-10300666718000.000000,9297581166000.000000,-3116057658000.000000,-1750436172000.000000,-1438130719000.000000,72509233000.000000,-3116057658000.000000,6181523508000.000000,105930501000.000000,182768691000.000000,,,-104793091000.000000,27954901000.000000,,105930501000.000000,6287454009000.000000,-1360814162000.000000,4926639847000.000000,,4926639847000.000000,-1848375000.000000,4924791472000.000000,4926639847000.000000,4847251843000.000000,79388004000.000000,4926639847000.000000,4924791472000.000000,4845403468000.000000,79388004000.000000,4924791472000.000000
12M 2013,24501240780000.000000,-13557146834000.000000,10944093946000.000000,-3881101099000.000000,-2283452142000.000000,-1688256993000.000000,90608036000.000000,-3881101099000.000000,7062992847000.000000,-142593113000.000000,163033492000.000000,,,-340168567000.000000,34541962000.000000,,-142593113000.000000,6920399734000.000000,-1566101213000.000000,5354298521000.000000,,5354298521000.000000,497724144000.000000,5852022665000.000000,5354298521000.000000,5370247117000.000000,-15948596000.000000,5354298521000.000000,5852022665000.000000,5716493441000.000000,135529224000.000000,5852022665000.000000
12M 2014,26987035135000.000000,-15388431050000.000000,11598604085000.000000,-4442936048000.000000,-2692902707000.000000,-1951961379000.000000,201928038000.000000,-4442936048000.000000,7155668037000.000000,-64902070000.000000,286070140000.000000,,,-382919122000.000000,31946912000.000000,,-64902070000.000000,7090765967000.000000,-1517188688000.000000,5573577279000.000000,,5573577279000.000000,13768512000.000000,5587345791000.000000,5573577279000.000000,5565857595000.000000,7719684000.000000,5573577279000.000000,5587345791000.000000,5576105557000.000000,11240234000.000000,5587345791000.000000
12M 2015,26948004471000.000000,-16302008098000.000000,10645996373000.000000,-4700464643000.000000,-2658736792000.000000,-2087885344000.000000,46157493000.000000,-4700464643000.000000,5945531730000.000000,-94608233000.000000,241075757000.000000,,,-370004717000.000000,34320727000.000000,,-94608233000.000000,5850923497000.000000,-1325482459000.000000,4525441038000.000000,,4525441038000.000000,136723298000.000000,4662164336000.000000,4525441038000.000000,4521490578000.000000,3950460000.000000,4525441038000.000000,4662164336000.000000,4599417054000.000000,62747282000.000000,4662164336000.000000
12M 2016,26134306138000.000000,-16278433690000.000000,9855872448000.000000,-4628759147000.000000,-2719372979000.000000,-2163084920000.000000,253698752000.000000,-4628759147000.000000,5227113301000.000000,-142491758000.000000,183772800000.000000,,,-363493284000.000000,37228726000.000000,,-142491758000.000000,5084621543000.000000,-549584720000.000000,4535036823000.000000,,4535036823000.000000,-166692959000.000000,4368343864000.000000,4535036823000.000000,4521596208000.000000,13440615000.000000,4535036823000.000000,4368343864000.000000,4395313845000.000000,-26969981000.000000,4368343864000.000000
12M 2017,27813664176000.000000,-19854065409000.000000,7959598767000.000000,-4615639682000.000000,-2411722674000.000000,-2421984391000.000000,218067383000.000000,-4615639682000.000000,3343959085000.000000,-597412722000.000000,168672686000.000000,,,-756448075000.000000,-9637333000.000000,,-597412722000.000000,2746546363000.000000,-703520449000.000000,2043025914000.000000,,2043025914000.000000,-335431786000.000000,1707594128000.000000,2043025914000.000000,2014014753000.000000,29011161000.000000,2043025914000.000000,1707594128000.000000,1688437547000.000000,19156581000.000000,1707594128000.000000
12M 2018,30687625970000.000000,-21357095645000.000000,9330530325000.000000,-4449891206000.000000,-2237002603000.000000,-2320262405000.000000,107373802000.000000,-4449891206000.000000,4880639119000.000000,-775679796000.000000,181972833000.000000,,,-959259087000.000000,1606458000.000000,,-775679796000.000000,4104959323000.000000,-1019255087000.000000,3085704236000.000000,,3085704236000.000000,431669497000.000000,3517373733000.000000,3085704236000.000000,3079115411000.000000,6588825000.000000,3085704236000.000000,3517373733000.000000,3475788182000.000000,41585551000.000000,3517373733000.000000
12M 2019,40368107000000.000000,-27654124000000.000000,12713983000000.000000,-6528940000000.000000,-3084107000000.000000,-3536797000000.000000,91964000000.000000,-6528940000000.000000,6185043000000.000000,-2989268000000.000000,217823000000.000000,,,-3205298000000.000000,-1793000000.000000,,-2989268000000.000000,3195775000000.000000,-824542000000.000000,2371233000000.000000,,2371233000000.000000,-103082000000.000000,2268151000000.000000,2371233000000.000000,2392151000000.000000,-20918000000.000000,2371233000000.000000,2268151000000.000000,2316376000000.000000,-48225000000.000000,2268151000000.000000
12M 2020,35171668000000.000000,-23347636000000.000000,11824032000000.000000,-6175789000000.000000,-3009752000000.000000,-3161626000000.000000,-4411000000.000000,-6175789000000.000000,5648243000000.000000,-2159593000000.000000,214077000000.000000,,,-2320781000000.000000,-52889000000.000000,,-2159593000000.000000,3488650000000.000000,-814307000000.000000,2674343000000.000000,,2674343000000.000000,-357107000000.000000,2317236000000.000000,2674343000000.000000,2792321000000.000000,-117978000000.000000,2674343000000.000000,2317236000000.000000,2423372000000.000000,-106136000000.000000,2317236000000.000000
12M 2021,36702301000000.000000,-24975639000000.000000,11726662000000.000000,-6518854000000.000000,-3296981000000.000000,-3193532000000.000000,-28341000000.000000,-6518854000000.000000,5207808000000.000000,-1670104000000.000000,170728000000.000000,,,-1808086000000.000000,-32746000000.000000,,-1670104000000.000000,3537704000000.000000,-1420468000000.000000,2117236000000.000000,,2117236000000.000000,41267000000.000000,2158503000000.000000,2117236000000.000000,2046692000000.000000,70544000000.000000,2117236000000.000000,2158503000000.000000,2070898000000.000000,87605000000.000000,2158503000000.000000
12M 2022,36378597000000.000000,-25700993000000.000000,10677604000000.000000,-6052130000000.000000,-2954272000000.000000,-3154186000000.000000,56328000000.000000,-6052130000000.000000,4625474000000.000000,-1326639000000.000000,98583000000.000000,,,-1427618000000.000000,2396000000.000000,,-1326639000000.000000,3298835000000.000000,-799752000000.000000,2499083000000.000000,,2499083000000.000000,419518000000.000000,2918601000000.000000,2499083000000.000000,2364836000000.000000,134247000000.000000,2499083000000.000000,2918601000000.000000,2748709000000.000000,169892000000.000000,2918601000000.000000
12M 2023,38651360000000.000000,-28474383000000.000000,10176977000000.000000,-5673384000000.000000,-2518923000000.000000,-3345683000000.000000,191222000000.000000,-5673384000000.000000,4503593000000.000000,-1199833000000.000000,207344000000.000000,,,-1390231000000.000000,-16946000000.000000,,-1199833000000.000000,3303760000000.000000,-1008159000000.000000,2295601000000.000000,,2295601000000.000000,-29546000000.000000,2266055000000.000000,2295601000000.000000,2170497000000.000000,125104000000.000000,2295601000000.000000,2266055000000.000000,2168662000000.000000,97393000000.000000,2266055000000.000000
12M 2024,36186127000000.000000,-28255001000000.000000,7931126000000.000000,-5723986000000.000000,-2136073000000.000000,-3460093000000.000000,-127820000000.000000,-5723986000000.000000,2207140000000.000000,-955941000000.000000,259819000000.000000,,,-1203927000000.000000,-11833000000.000000,,-955941000000.000000,1251199000000.000000,-479525000000.000000,771674000000.000000,,771674000000.000000,359689000000.000000,1131363000000.000000,771674000000.000000,719763000000.000000,51911000000.000000,771674000000.000000,1131363000000.000000,1082072000000.000000,49291000000.000000,1131363000000.000000
