Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penghasilan Bunga Yang Diterima,(Penempatan)/Pencairan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Pembayaran Pajak Penghasilan,Penerimaan Dari Klaim Pajak Penghasilan,Pembayaran Bunga Dan Beban Keuangan,Penerimaan (Pembayaran) Lainnya - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Kas Dan Setara Kas Yang Dibatasi Penggunaanya,Aset Tetap :,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Aset Tetap :,Penempatan Kas Yang Dibatasi Penggunaannya,Penambahan Properti Investasi,Akuisisi Entitas Anak,Akuisisi Entitas Asosiasi,Penerimaan Dari Saham Entitas Anak Yang Dikeluarkan Kepada Kepentingan Non Pengendali,Penerimaan Dari Saham Entitas Anak,Penambahan Investasi Pada Entitas Asosiasi,Uang Muka Investasi Di Entitas Anak,Uang Muka Pembangunan Pabrik Baru,Uang Muka Investasi,Penambahan Beban Tangguhan - Neto,Penambahan Aset Tidak Berwujud,Pencairan/(Penempatan) Investasi Jangka Pendek - Neto,Dividen Yang Diterima,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Transaksi Supplier Financing,Pembayaran Dari Transaksi Supplier Financing,Pinjaman :,Pembayaran Kembali Pinjaman Jangka Panjang,Pembayaran Kembali Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Penerimaan Dana Syirkah Temporer,Pembayaran Dana Syirkah Temporer,Pembayaran Kembali Pinjaman Dari Pemerintah Republik Indonesia,Penerimaan Obligasi,Penerimaan Dari Saham Entitas Anak Yang Dikeluarkan Kepada Kepentingan Nonpengendali,Total Pinjaman :,Pembayaran Liabilitas Sewa Pembiayaan,Biaya Penerbitan Saham Entitas Anak,Pemberian Pinjaman Kepada Entitas Ventura Bersama,Pembayaran Dividen :,Pemilik Entitas Induk,Kepentingan Non Pengendali,Total Pembayaran Dividen :,Pembayaran Utang Obligasi,Penerimaan Saham Yang Diterbitkan,Biaya Emisi Saham Yang Diterbitkan,Pembelian Kembali Saham Yang Diterbitkan,Hasil Penjualan Saham Yang Diperoleh Kembali,Penempatan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan Dari/(Pembayaran Kepada) Pihak Yang Mempunyai Hubungan Istimewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Akuisisi Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,2628307576000.000000,11850519868000.000000,-7133150678000.000000,-1391895068000.000000,223998802000.000000,864659000.000000,-872915199000.000000,,-49114808000.000000,,2628307576000.000000,-527806832000.000000,,,-561763758000.000000,5783635000.000000,-555980123000.000000,,,,,,,,,,,-1065798000.000000,,27500000000.000000,1739089000.000000,,-527806832000.000000,-1176097019000.000000,,,,-53112591000.000000,,2450000000.000000,,,,-30843134000.000000,,,-81505725000.000000,-18002564000.000000,,,-887711283000.000000,,,-887711283000.000000,,,,-190515245000.000000,,,1637798000.000000,-1176097019000.000000,924403725000.000000,2822280357000.000000,,,3746684082000.000000
12M 2009,4246497651000.000000,14496883247000.000000,-7601976850000.000000,-1621652700000.000000,326035263000.000000,-34437728000.000000,-1275265759000.000000,,-43087822000.000000,,4246497651000.000000,-3347290902000.000000,-780139659000.000000,,-1125371497000.000000,1587000000.000000,-1123784497000.000000,,,,,,,,,-480320161000.000000,,-8956480000.000000,,-956067795000.000000,1977690000.000000,,-3347290902000.000000,-1235627435000.000000,,,,-8690000000.000000,,28839246000.000000,,,,-29239096000.000000,,,-9089850000.000000,-19844815000.000000,,,-1605792143000.000000,,,-1605792143000.000000,,,,-8157046000.000000,409574750000.000000,,-2318331000.000000,-1235627435000.000000,-336420686000.000000,3746684082000.000000,,,3410263396000.000000
12M 2010,3359368278000.000000,14034143258000.000000,-7959193730000.000000,-1459268695000.000000,229539481000.000000,-90449960000.000000,-1347779756000.000000,,-47622320000.000000,,3359368278000.000000,-1771239508000.000000,790000000000.000000,,-3205014265000.000000,2262000000.000000,-3202752265000.000000,,,,,,,,,-298063884000.000000,,-2748999000.000000,,937567795000.000000,4757845000.000000,,-1771239508000.000000,-1334114101000.000000,,,,-69799217000.000000,,610338662000.000000,,,,-23977527000.000000,,,516561918000.000000,-27151657000.000000,,,-1829577344000.000000,,,-1829577344000.000000,,,,,,,6052982000.000000,-1334114101000.000000,254014669000.000000,3410263396000.000000,,,3664278065000.000000
12M 2011,4415753322000.000000,16282175535000.000000,-9528110884000.000000,-1573927704000.000000,210349992000.000000,71526845000.000000,-1060459123000.000000,,-34112642000.000000,48311303000.000000,4415753322000.000000,-4295179378000.000000,,,-4069138277000.000000,33670319000.000000,-4035467958000.000000,,,,,,,,,-121020429000.000000,,-4673150000.000000,-547257000.000000,-137000000000.000000,3529416000.000000,,-4295179378000.000000,-409206585000.000000,,,,-29494799000.000000,,1146593229000.000000,,,,-8946257000.000000,,,1108152173000.000000,-32098302000.000000,,,,-1472581786000.000000,-12678670000.000000,-1485260456000.000000,,,,,,,,-409206585000.000000,-288632641000.000000,3664278065000.000000,,,3375645424000.000000
12M 2012,5591864816000.000000,18951328951000.000000,-10332470592000.000000,-1830393745000.000000,182768691000.000000,-5616493000.000000,-1250293208000.000000,,-175074581000.000000,51615793000.000000,5591864816000.000000,-4774273945000.000000,,,-3362686906000.000000,30271818000.000000,-3332415088000.000000,,,-1419273850000.000000,,,,,,-45216534000.000000,,,,15435302000.000000,7196225000.000000,,-4774273945000.000000,-1171111599000.000000,,,,-89080652000.000000,,920091231000.000000,,,,-1790930000.000000,,,829219649000.000000,-24288402000.000000,,,,-1962720885000.000000,-13321961000.000000,-1976042846000.000000,,,,,,,,-1171111599000.000000,-353520728000.000000,3375645424000.000000,,,3022124696000.000000
12M 2013,6047147495000.000000,24123242829000.000000,-14170478186000.000000,-2152092057000.000000,163033492000.000000,21378180000.000000,-1611031641000.000000,,-340168567000.000000,13263445000.000000,6047147495000.000000,-2675188649000.000000,,,-2548758346000.000000,4595550000.000000,-2544162796000.000000,,,-101596576000.000000,,,,,-18750000000.000000,-129123976000.000000,,-10432868000.000000,-6834879000.000000,124462998000.000000,11249448000.000000,,-2675188649000.000000,-2323590671000.000000,,,,-1096799383000.000000,,1027546366000.000000,,,,,,,-69253017000.000000,-42972596000.000000,,,,-2181263329000.000000,-30101729000.000000,-2211365058000.000000,,,,,,,,-2323590671000.000000,1048368175000.000000,3022124696000.000000,,,4070492871000.000000
12M 2014,6721170878000.000000,26514971229000.000000,-15834749649000.000000,-2379058070000.000000,286070140000.000000,23902345000.000000,-1661679902000.000000,,-382919122000.000000,154633907000.000000,6721170878000.000000,-2881221811000.000000,,,-2581061518000.000000,22758761000.000000,-2558302757000.000000,,,,,37673050000.000000,,,,-358870689000.000000,,-28212733000.000000,-984886000.000000,15000000000.000000,12476204000.000000,,-2881221811000.000000,-2984492387000.000000,,,,-2083890331000.000000,,1583700849000.000000,,,,,,,-500189482000.000000,-57760125000.000000,,,,-2416611132000.000000,-9931648000.000000,-2426542780000.000000,,,,,,,,-2984492387000.000000,855456680000.000000,4070492871000.000000,,,4925949551000.000000
12M 2015,7288586537000.000000,26682379871000.000000,-15246599163000.000000,-2441072759000.000000,241075757000.000000,-11772901000.000000,-1343605458000.000000,,-684458377000.000000,92639567000.000000,7288586537000.000000,-5592270643000.000000,,,-5168034789000.000000,299272000.000000,-5167735517000.000000,,,,-55000000000.000000,10000000000.000000,,,,-450141500000.000000,,-30773814000.000000,-1070207000.000000,90101698000.000000,12348697000.000000,,-5592270643000.000000,-2658247265000.000000,,,,-1175180918000.000000,,818341091000.000000,,,,,,,-356839827000.000000,-65111499000.000000,,,,-2226339939000.000000,-9956000000.000000,-2236295939000.000000,,,,,,,,-2658247265000.000000,-961931371000.000000,4925949551000.000000,,,3964018180000.000000
12M 2016,5180010976000.000000,26209690579000.000000,-17035981917000.000000,-2614362538000.000000,183772800000.000000,11485152000.000000,-1544512150000.000000,,-178424986000.000000,148344036000.000000,5180010976000.000000,-5529206600000.000000,,,-5065208221000.000000,12241805000.000000,-5052966416000.000000,,,-422832696000.000000,,20601100000.000000,,,,-89848189000.000000,,-14688648000.000000,-171812000.000000,14945463000.000000,15754598000.000000,,-5529206600000.000000,-780378185000.000000,,,,-1118500385000.000000,-686904444000.000000,1198002363000.000000,1812861839000.000000,,,,,,1205459373000.000000,-167333069000.000000,,,,-1808588162000.000000,-9916327000.000000,-1818504489000.000000,,,,,,,,-780378185000.000000,-1129573809000.000000,3964018180000.000000,,,2834444371000.000000
12M 2017,2745186809000.000000,26758019243000.000000,-19888389463000.000000,-2924968388000.000000,168672686000.000000,-14748589000.000000,-1147544131000.000000,,-510791869000.000000,304937320000.000000,2745186809000.000000,-3490036160000.000000,,,-3490943691000.000000,11240046000.000000,-3479703645000.000000,,,,,,,,,-978012000.000000,,-11976088000.000000,-928415000.000000,3550000000.000000,,,-3490036160000.000000,1548165096000.000000,,,,-2977025484000.000000,-4032650239000.000000,4406688772000.000000,3068142677000.000000,,,,3000000000000.000000,,3465155726000.000000,-92719869000.000000,,,,-1808638483000.000000,-15632278000.000000,-1824270761000.000000,,,,,,,,1548165096000.000000,803315745000.000000,2834444371000.000000,,,3637760116000.000000
