Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pendapatan Bunga,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Keuangan,Pembayaran Kepada Pemerintah,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Tanaman Perkebunan Belum Menghasilkan,Pembibitan,Penambahan Piutang Plasma,Penjualan Aset Tetap,Uang Muka Pembelian Aset,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Setoran Modal,Pembayaran Biaya Emisi Saham,Penambahan Modal (Ipo),Agio Saham,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan (Pembayaran) Utang Bank,Pembayaran Dividen,Pembayaran Utang Pembiayaan,Penambahan Modal Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,171154028182.000000,1784640957904.000000,134752919.000000,-1414805849402.000000,-84965860553.000000,-86137605811.000000,-27712366875.000000,171154028182.000000,-103653073068.000000,-55670914997.000000,-34563614058.000000,-13747406175.000000,-446478196.000000,775340358.000000,,-103653073068.000000,-25339941481.000000,,,,,169296944000.000000,-124311363045.000000,,-54778000000.000000,-16347522436.000000,800000000.000000,-25339941481.000000,42161013633.000000,70087571441.000000,112248585074.000000
12M 2020,139412238032.000000,1485100047768.000000,593584675.000000,-1169700397693.000000,-84294925142.000000,-78075019338.000000,-14211052238.000000,139412238032.000000,-67204260449.000000,-22803817840.000000,-41177641426.000000,-6090731463.000000,663884458.000000,4874390058.000000,-2670344236.000000,-67204260449.000000,-125927444831.000000,39062500000.000000,-2242381583.000000,,,,,-104976499957.000000,-40000000000.000000,-17771063291.000000,,-125927444831.000000,-53719467248.000000,112248585074.000000,58529117826.000000
12M 2021,222610351770.000000,2096064025139.000000,535763587.000000,-1719018512281.000000,-86159745719.000000,-58608732906.000000,-10202446050.000000,222610351770.000000,-99105686194.000000,-53732568983.000000,-36370658696.000000,-3725122026.000000,11603619906.000000,3354731113.000000,-20235687508.000000,-99105686194.000000,-121551680994.000000,,,,,,,-36750119521.000000,-79687500000.000000,-5114061473.000000,,-121551680994.000000,1952984582.000000,58529117826.000000,60482102408.000000
12M 2022,200449718392.000000,2056930496689.000000,545902085.000000,-1644056066461.000000,-87297539120.000000,-52009676332.000000,-73663398469.000000,200449718392.000000,-64782631665.000000,-26298879910.000000,-49293702594.000000,-4899226275.000000,15804919446.000000,2367764090.000000,-2463506422.000000,-64782631665.000000,-123953373929.000000,,,,,,,-28026111655.000000,-93750000000.000000,-2177262274.000000,,-123953373929.000000,11713712798.000000,60482102407.000000,72195815205.000000
12M 2023,363824641782.000000,2018231138118.000000,232240203.000000,-1468138457004.000000,-81192164400.000000,-41054536247.000000,-64253578888.000000,363824641782.000000,-152914546382.000000,-61176601443.000000,-56851253544.000000,-10246771341.000000,1395290869.000000,1038093997.000000,-27073304920.000000,-152914546382.000000,-254396653750.000000,,,,,,-149004059856.000000,,-101562500000.000000,-3830093894.000000,,-254396653750.000000,-43486558350.000000,72195815205.000000,28709256855.000000
12M 2024,156997667217.000000,2069193688341.000000,160784131.000000,-1729075842369.000000,-83394859710.000000,-40027658438.000000,-59858444738.000000,156997667217.000000,-140431530197.000000,-67260731374.000000,-69937149440.000000,-14389318641.000000,14741576765.000000,1823716592.000000,-5409624099.000000,-140431530197.000000,-22894045399.000000,,,,,100000000000.000000,-45881843086.000000,,-72025000000.000000,-4987202313.000000,,-22894045399.000000,-6327908379.000000,28709256855.000000,22381348476.000000
