Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,40309472225.000000,-27231770216.000000,13077702009.000000,-6414652881.000000,-474159379.000000,-5940493502.000000,-6414652881.000000,6663049128.000000,-3271944019.000000,-2951832851.000000,-534151663.000000,214040495.000000,-3271944019.000000,3391105109.000000,,,,,3391105109.000000,3391105109.000000,80942616.000000,80942616.000000,80942616.000000,3472047725.000000,3391105109.000000,3391105109.000000,,3391105109.000000,3472047725.000000,3472047725.000000,,3472047725.000000
12M 2021,55019322393.000000,-38804065085.000000,16215257308.000000,-6453509490.000000,-1248444669.000000,-5205064821.000000,-6453509490.000000,9761747818.000000,-4238026931.000000,-1644014240.000000,-2241632207.000000,-352380484.000000,-4238026931.000000,5523720887.000000,,,,,5523720887.000000,5523720887.000000,34353814.000000,34353814.000000,34353814.000000,5558074701.000000,5523720887.000000,5523720887.000000,,5523720887.000000,5558074701.000000,5558074701.000000,,5558074701.000000
12M 2022,42519109151.000000,-28691913493.000000,13827195658.000000,-8368647003.000000,-1580129696.000000,-6788517307.000000,-8368647003.000000,5458548655.000000,-2439676625.000000,-2125254817.000000,-636172249.000000,321750441.000000,-2439676625.000000,3018872030.000000,-866509865.000000,-866509865.000000,,-866509865.000000,2152362165.000000,2152362165.000000,-13949651.000000,-13949651.000000,-13949651.000000,2138412514.000000,2152362165.000000,2152362165.000000,,2152362165.000000,2138412514.000000,2138412514.000000,,2138412514.000000
12M 2023,23653459265.000000,-14604926534.000000,9048532731.000000,-6120470582.000000,-961665303.000000,-5158805279.000000,-6120470582.000000,2928062149.000000,-2339818325.000000,-1798964958.000000,-535724868.000000,-5128499.000000,-2339818325.000000,588243824.000000,-425420095.000000,-425420095.000000,,-425420095.000000,162823729.000000,162823729.000000,-40794780.000000,-40794780.000000,-40794780.000000,122028949.000000,162823729.000000,162823729.000000,,162823729.000000,122028949.000000,122028949.000000,,122028949.000000
12M 2024,14195032272.000000,-8753382196.000000,5441650076.000000,-5021084755.000000,-515848462.000000,-4505236293.000000,-5021084755.000000,420565321.000000,-2161863894.000000,-2280731446.000000,-280810666.000000,399678218.000000,-2161863894.000000,-1741298573.000000,-368030708.000000,-368030708.000000,,-368030708.000000,-2109329281.000000,-2109329281.000000,173942906.000000,173942906.000000,173942906.000000,-1935386375.000000,-2109329281.000000,-2109329281.000000,,-2109329281.000000,-1935386375.000000,-1935386375.000000,,-1935386375.000000
