Period,Aset,Aset Lancar,Kas Dan Setara Kas,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Utang Bank Jangka Panjang,Total Pinjaman Jangka Panjang Lainnya,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,3150742995.000000,59317195352.000000,27342158660.000000,89810097007.000000,,972624091.000000,788998106.000000,8146753537.000000,419566958.000000,10327942692.000000,100138039699.000000,,,26601792476.000000,4200927801.000000,5000000000.000000,,837763155.000000,837763155.000000,554729953.000000,,12750000000.000000,12750000000.000000,3258371567.000000,26601792476.000000,309521617.000000,,,,,165739716.000000,165739716.000000,143781901.000000,309521617.000000,26911314093.000000,,50000000000.000000,12227500000.000000,10907875449.000000,100000000.000000,10807875449.000000,10907875449.000000,91350157.000000,73226725606.000000,100138039699.000000,1250000000.000000
12M 2021,,,3503600168.000000,43052994190.000000,33531488877.000000,80088083235.000000,,3602233092.000000,751558106.000000,7623156209.000000,312871458.000000,12289818865.000000,92377902100.000000,,,12338439679.000000,2218696205.000000,8500000000.000000,,179847906.000000,179847906.000000,384612173.000000,,,,1055283395.000000,12338439679.000000,1747094751.000000,,,,,1630368501.000000,1630368501.000000,116726250.000000,1747094751.000000,14085534430.000000,,50000000000.000000,12227500000.000000,15939163699.000000,200000000.000000,15739163699.000000,15939163699.000000,125703971.000000,78292367670.000000,92377902100.000000,1250000000.000000
12M 2022,,,14573819592.000000,61935507513.000000,25326316441.000000,101835643546.000000,,3602233092.000000,911757633.000000,8559062077.000000,519717625.000000,13592770427.000000,115428413973.000000,,,20465092480.000000,1355523038.000000,14090000000.000000,,93937102.000000,93937102.000000,610794884.000000,,,,4314837456.000000,20465092480.000000,15345041309.000000,,14983100000.000000,14983100000.000000,,195345291.000000,195345291.000000,166596018.000000,15345041309.000000,35810133789.000000,,50000000000.000000,12227500000.000000,17279025864.000000,300000000.000000,16979025864.000000,17279025864.000000,111754320.000000,79618280184.000000,115428413973.000000,1250000000.000000
12M 2023,,,10962350659.000000,66326375332.000000,23530586605.000000,100819312596.000000,,3602233092.000000,864957633.000000,8144943599.000000,341216041.000000,12953350365.000000,113772662961.000000,,,19277048506.000000,703738123.000000,14650000000.000000,,63726745.000000,63726745.000000,420263791.000000,,,,3439319847.000000,19277048506.000000,14905305322.000000,,14441900000.000000,14441900000.000000,,195345291.000000,195345291.000000,268060031.000000,14905305322.000000,34182353828.000000,,50000000000.000000,12227500000.000000,17291849593.000000,400000000.000000,16891849593.000000,17291849593.000000,70959540.000000,79590309133.000000,113772662961.000000,1250000000.000000
12M 2024,,,8035323770.000000,69608341015.000000,20587999328.000000,98231664113.000000,,,818157633.000000,7706794865.000000,187852291.000000,8712804789.000000,106944468902.000000,,,15860355677.000000,934155688.000000,12650000000.000000,,121622221.000000,121622221.000000,5086541.000000,,,,2149491227.000000,15860355677.000000,13429190467.000000,,13288800000.000000,13288800000.000000,,,,140390467.000000,13429190467.000000,29289546144.000000,,50000000000.000000,12227500000.000000,15182520312.000000,500000000.000000,14682520312.000000,15182520312.000000,244902446.000000,77654922758.000000,106944468902.000000,1250000000.000000
