Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Untuk Pengembangan Tanah, Konstruksi Dan Pemasok",Pembayaran Beban Operasi,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Pembayaran (Penerimaan) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Perolehan Aset Lain-Lain,Penjualan Aset Tetap,Kenaikan (Penurunan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Tunai,Penerimaan Dana Hasil Ipo,Biaya Emisi,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Kepada Pihak Berelasi,Penerimaan Pinjaman Pihak Berelasi,Setoran Modal,Pembayaran Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-19546372512.000000,37304201856.000000,-46423031170.000000,-5841026881.000000,-2951832651.000000,-579771945.000000,-1054911721.000000,-19546372512.000000,-226652600.000000,-226652600.000000,,,,,-226652600.000000,19723015535.000000,,25000000000.000000,-2772500000.000000,27890000000.000000,-26233000000.000000,-5514435409.000000,1352950944.000000,,,19723015535.000000,-50009577.000000,3200752571.000000,3150742994.000000
12M 2021,8509645225.000000,51063806411.000000,-31551166927.000000,-5674934301.000000,-1644014240.000000,-2411749987.000000,-1272295731.000000,8509645225.000000,121015800.000000,-140984200.000000,,,262000000.000000,,121015800.000000,-8277803852.000000,-492432637.000000,,,3500000000.000000,-12750000000.000000,-13338435516.000000,14803064301.000000,,,-8277803852.000000,352857173.000000,3150742995.000000,3503600168.000000
12M 2022,-5648188169.000000,40890289832.000000,-35695884597.000000,-7559309738.000000,-2125254817.000000,-1084868503.000000,-73160346.000000,-5648188169.000000,-1607169193.000000,-1566169193.000000,,-350000000.000000,309000000.000000,,-1607169193.000000,18325576786.000000,-812500000.000000,,,50135600000.000000,-29562500000.000000,-6022544136.000000,4587520922.000000,,,18325576786.000000,11070219424.000000,3503600168.000000,14573819592.000000
12M 2023,-3434166433.000000,25634326759.000000,-20659520537.000000,-5421078786.000000,-1798964958.000000,-1153590056.000000,-35338855.000000,-3434166433.000000,-46102500.000000,-46102500.000000,,,,,-46102500.000000,-131200000.000000,-150000000.000000,,,5113700000.000000,-5094900000.000000,,,,,-131200000.000000,-3611468933.000000,14573819592.000000,10962350659.000000
12M 2024,243111165.000000,17105645298.000000,-13063044435.000000,-1546521227.000000,-2280731446.000000,-1063758874.000000,1091521849.000000,243111165.000000,-17038054.000000,-21538054.000000,,,4500000.000000,,-17038054.000000,-3153100000.000000,,,,,-3153100000.000000,,,,,-3153100000.000000,-2927026889.000000,10962350659.000000,8035323770.000000
