Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,11808226.79,0.00,11808226.79,3 B,,3 B,(63 B),312 B
12M 2016,3.50,368.39,3.50,368.39,30 B,,30 B,(103 B),447 B
12M 2017,4.24,413.16,4.24,413.16,25 B,,25 B,(179 B),532 B
12M 2018,1.95,362.20,1.95,362.20,,,,(105 B),358 B
12M 2019,1.95,358.46,1.95,358.46,0 B,1 B,1 B,(49 B),346 B
12M 2020,1.67,357.22,1.67,357.22,5 B,0 B,6 B,(53 B),334 B
12M 2021,1.88,387.40,1.88,387.40,43 B,0 B,43 B,(115 B),432 B
12M 2022,1.41,215.07,1.41,215.07,0 B,,0 B,(178 B),453 B
12M 2023,1.54,199.01,1.54,199.01,2 B,2 B,4 B,(167 B),395 B
12M 2024,1.43,258.32,1.43,258.32,11 B,1 B,12 B,(69 B),557 B
