Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2015,56 B,(5 B),51 B,1607669.87
12M 2016,132 B,(70 B),62 B,41.22
12M 2017,217 B,(3 B),215 B,143.22
12M 2018,29 B,(86 B),(56 B),-37.59
12M 2019,(3 B),(4 B),(7 B),-4.87
12M 2020,50 B,(9 B),41 B,27.30
12M 2021,42 B,(24 B),18 B,12.28
12M 2022,203 B,(50 B),153 B,50.88
12M 2023,200 B,(47 B),153 B,51.03
12M 2024,(43 B),(28 B),(71 B),-23.65
