Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Asosiasi,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Laba Dari Ventura Bersama,Keuntungan (Rugi) Atas Transaksi Derivatif,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,957523544389.000000,-733549226231.000000,223974318158.000000,-31691111840.000000,-31691111840.000000,-31691111840.000000,192283206318.000000,5289979165.000000,3355405227.000000,-7969594503.000000,10269198499.000000,,,,,,,,,,-365030058.000000,5289979165.000000,197573185483.000000,-20688089732.000000,,,,-20688089732.000000,176885095751.000000,-1231750948.000000,175653344803.000000,176885095751.000000,176885095751.000000,,176885095751.000000,175653344803.000000,175653344803.000000,,175653344803.000000
12M 2016,1269523220084.000000,-1080090236922.000000,189432983162.000000,-35232361007.000000,-35232361007.000000,-35232361007.000000,154200622155.000000,-6871467518.000000,1340082403.000000,-7199857848.000000,-12766603601.000000,,,,,,,,,,11754911528.000000,-6871467518.000000,147329154637.000000,-23753541300.000000,,,,-23753541300.000000,123575613337.000000,-1062300870.000000,122513312467.000000,123575613337.000000,123575613337.000000,,123575613337.000000,122513312467.000000,122513312467.000000,,122513312467.000000
12M 2017,630066809911.000000,-487426357413.000000,142640452498.000000,-37212229889.000000,-37212229889.000000,-37212229889.000000,105428222609.000000,4240103532.000000,6886664537.000000,-1078580988.000000,382213466.000000,254094699.000000,,,,,,,,,-2204288182.000000,4240103532.000000,109668326141.000000,-13088566591.000000,,,,-13088566591.000000,96579759550.000000,-327422907.000000,96252336643.000000,96579759550.000000,96579759550.000000,,96579759550.000000,96252336643.000000,96252336643.000000,,96252336643.000000
12M 2018,358691115030.000000,-285193715976.000000,73497399054.000000,-41096167902.000000,-41096167902.000000,-41096167902.000000,32401231152.000000,18648070892.000000,4554107310.000000,-223387884.000000,11486084729.000000,205367424.000000,,,,,,,,,2625899313.000000,18648070892.000000,51049302044.000000,-6816538437.000000,,,,-6816538437.000000,44232763607.000000,1291075920.000000,45523839527.000000,44232763607.000000,44232763607.000000,,44232763607.000000,45523839527.000000,45523839527.000000,,45523839527.000000
12M 2019,607764419249.000000,-522949776863.000000,84814642386.000000,-50681943015.000000,-50681943015.000000,-50681943015.000000,34132699371.000000,-9888717713.000000,2612942163.000000,-603742412.000000,-4635079918.000000,35347898.000000,,,,,,,,,-7298185444.000000,-9888717713.000000,24243981658.000000,-10956839423.000000,,-299520263.000000,-10657319160.000000,-10956839423.000000,13287142235.000000,325432809.000000,13612575044.000000,13287142235.000000,13287142235.000000,,13287142235.000000,13612575044.000000,13612575044.000000,,13612575044.000000
12M 2020,552602370724.000000,-459189347714.000000,93413023010.000000,-39581424651.000000,-39581424651.000000,-39581424651.000000,53831598359.000000,-735447279.000000,1049618427.000000,-1080625975.000000,294423361.000000,,,,,,,,,,-998863092.000000,-735447279.000000,53096151080.000000,-9944609436.000000,,-299379520.000000,-9645229916.000000,-9944609436.000000,43151541644.000000,4516108757.000000,47667650401.000000,43151541644.000000,43118874545.000000,32667099.000000,43151541644.000000,47667650401.000000,47634983302.000000,32667099.000000,47667650401.000000
12M 2021,279155322925.000000,-158726665655.000000,120428657270.000000,-37536857168.000000,-37536857168.000000,-37536857168.000000,82891800102.000000,9608128222.000000,1430897478.000000,-657106096.000000,386868318.000000,-2361248182.000000,,,,,,,,,10808716704.000000,9608128222.000000,92499928324.000000,-9184099043.000000,,-292740360.000000,-8891358683.000000,-9184099043.000000,83315829281.000000,2167145635.000000,85482974916.000000,83315829281.000000,83600294057.000000,-284464776.000000,83315829281.000000,85482974916.000000,85767439692.000000,-284464776.000000,85482974916.000000
12M 2022,731846535897.000000,-544384342114.000000,187462193783.000000,-39434562436.000000,-39434562436.000000,-39434562436.000000,148027631347.000000,3831221326.000000,3388452839.000000,-1307639270.000000,1915558739.000000,-3684608455.000000,,,,,,,,,3519457473.000000,3831221326.000000,151858852673.000000,-17870766854.000000,,-96417798.000000,-17774349056.000000,-17870766854.000000,133988085819.000000,925718505.000000,134913804324.000000,133988085819.000000,133680700468.000000,307385351.000000,133988085819.000000,134913804324.000000,134606418973.000000,307385351.000000,134913804324.000000
12M 2023,572763446107.000000,-422054016109.000000,150709429998.000000,-39836964858.000000,-39836964858.000000,-39836964858.000000,110872465140.000000,132606637011.000000,3438878253.000000,-1407914843.000000,-1295102853.000000,47476008.000000,,,,,,,,,131823300446.000000,132606637011.000000,243479102151.000000,-50736571464.000000,,-38872841920.000000,-11863729544.000000,-50736571464.000000,192742530687.000000,-996079960.000000,191746450727.000000,192742530687.000000,192828439008.000000,-85908321.000000,192742530687.000000,191746450727.000000,191844529440.000000,-98078713.000000,191746450727.000000
12M 2024,1154289864419.000000,-917027885346.000000,237261979073.000000,-45776386308.000000,-45776386308.000000,-45776386308.000000,191485592765.000000,50446404649.000000,2117158077.000000,-1528417821.000000,2769860916.000000,-3768750.000000,,,,,,,,,47091572227.000000,50446404649.000000,241931997414.000000,-26888783926.000000,,-3738303700.000000,-23150480226.000000,-26888783926.000000,215043213488.000000,2315732146.000000,217358945634.000000,215043213488.000000,214603231811.000000,439981677.000000,215043213488.000000,217358945634.000000,216914247624.000000,444698010.000000,217358945634.000000
