Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,65974251983.000000,,221497888726.000000,,,221497888726.000000,,41102678.000000,,41102678.000000,41102678.000000,148474575782.000000,111792431162.000000,110624897117.000000,25739497652.000000,684144645100.000000,,14911705722.000000,,57707203517.000000,72618909239.000000,756763554339.000000,,,372110915925.000000,3055701762.000000,68353995525.000000,,,68353995525.000000,,102500000000.000000,,102500000000.000000,23969917634.000000,,,7015593644.000000,167215707360.000000,372110915925.000000,6789381255.000000,,,,,,6789381255.000000,6789381255.000000,378900297180.000000,,32000000000.000000,,345863257159.000000,,345863257159.000000,345863257159.000000,,,377863257159.000000,756763554339.000000,32000.000000
12M 2016,,,133209724949.000000,,174531559128.000000,,,174531559128.000000,,371097365408.000000,,371097365408.000000,371097365408.000000,26752681464.000000,,,26445675401.000000,732037006350.000000,,71633605466.000000,30113038809.000000,14027679600.000000,115774323875.000000,847811330225.000000,,,285447096369.000000,29999230000.000000,30753038075.000000,,,30753038075.000000,,,81927109679.000000,81927109679.000000,74471798039.000000,,,1017334996.000000,67278585580.000000,285447096369.000000,9781284841.000000,,,,,,9781284841.000000,9781284841.000000,295228381210.000000,,150000000000.000000,327191379389.000000,75391569626.000000,,75391569626.000000,75391569626.000000,,,552582949015.000000,847811330225.000000,1500000000.000000
12M 2017,,,204454940270.000000,122460373795.000000,78476414763.000000,,,78476414763.000000,,373140502.000000,,373140502.000000,373140502.000000,42338874348.000000,240925432470.000000,33965051092.000000,18989528293.000000,741983755533.000000,,68928365055.000000,29654852794.000000,832548000.000000,99415765849.000000,841399521382.000000,,,210275330013.000000,25028385191.000000,21916312819.000000,,,21916312819.000000,,,45000000.000000,45000000.000000,55390162954.000000,,,565509850.000000,107329959199.000000,210275330013.000000,11384059897.000000,,,,,,11384059897.000000,11384059897.000000,221659389910.000000,,150000000000.000000,327441379389.000000,142298752083.000000,1000000000.000000,141298752083.000000,142298752083.000000,,,619740131472.000000,841399521382.000000,1500000000.000000
12M 2018,,,104940352399.000000,14416684216.000000,121123066014.000000,,,121123066014.000000,,436511182.000000,,436511182.000000,436511182.000000,35950096983.000000,143475999976.000000,26410402342.000000,20705217984.000000,467458331096.000000,,146699767492.000000,31749707108.000000,18830069781.000000,197279544381.000000,664737875477.000000,,,109065259583.000000,,19194761333.000000,,,19194761333.000000,,,60114429.000000,60114429.000000,1445497609.000000,,,2606641654.000000,85758244558.000000,109065259583.000000,12377120429.000000,,,,,,12377120429.000000,12377120429.000000,121442380012.000000,,150000000000.000000,327441379389.000000,65988187225.000000,2000000000.000000,63988187225.000000,65988187225.000000,,-134071149.000000,543295495465.000000,664737875477.000000,1500000000.000000
12M 2019,,,50438936887.000000,21089776359.000000,189538192705.000000,,,189538192705.000000,,767628176.000000,,767628176.000000,767628176.000000,28894143401.000000,54715613636.000000,131546167972.000000,38554912691.000000,515545371827.000000,,145676335815.000000,31667035714.000000,30014920540.000000,207358292069.000000,722903663896.000000,,,169307343263.000000,,23214989907.000000,,,23214989907.000000,,,62084432.000000,62084432.000000,56866057145.000000,396830125.000000,,10089305935.000000,78678075719.000000,169307343263.000000,15748250124.000000,,,888391851.000000,,888391851.000000,14859858273.000000,15748250124.000000,185055593387.000000,,150000000000.000000,327441379389.000000,60610828949.000000,3000000000.000000,57610828949.000000,60610828949.000000,157244361.000000,-361382190.000000,537848070509.000000,722903663896.000000,1500000000.000000
12M 2020,,,59332089430.000000,,188615198076.000000,,,188615198076.000000,,7537348971.000000,,7537348971.000000,7537348971.000000,3056286513.000000,51479197537.000000,154775647518.000000,19249065361.000000,484044833406.000000,,151323510847.000000,31006534816.000000,35855793611.000000,218185839274.000000,702230672680.000000,,,149973011766.000000,4953160723.000000,8693032596.000000,,,8693032596.000000,,,177491462.000000,177491462.000000,88544059388.000000,472959041.000000,,3750269595.000000,43382038961.000000,149973011766.000000,16241940004.000000,,152346220.000000,415432810.000000,2600000000.000000,3167779030.000000,13074160974.000000,16241940004.000000,166214951770.000000,,150000000000.000000,327441379389.000000,58597701850.000000,4000000000.000000,54597701850.000000,58597701850.000000,189911460.000000,-213271789.000000,536015720910.000000,702230672680.000000,1500000000.000000
12M 2021,,,157895577379.000000,,286741369439.000000,,,286741369439.000000,,51339038185.000000,,,51339038185.000000,9456472395.000000,48689449518.000000,44729851296.000000,19412837420.000000,618264595632.000000,,92942553783.000000,30406110188.000000,35374448237.000000,158723112208.000000,776987707840.000000,,,185890931795.000000,42253113456.000000,30394925803.000000,,,30394925803.000000,,,244631034.000000,244631034.000000,31591919114.000000,371828752.000000,,5573112590.000000,75461401046.000000,185890931795.000000,10098080219.000000,,26266637.000000,44296507.000000,200000000.000000,270563144.000000,9827517075.000000,10098080219.000000,195989012014.000000,,150000000000.000000,327441379389.000000,103978500837.000000,5000000000.000000,98978500837.000000,103978500837.000000,-94553316.000000,-326631084.000000,580998695826.000000,776987707840.000000,1500000000.000000
12M 2022,,,178200967729.000000,17588460281.000000,245794342122.000000,,,245794342122.000000,,579924066.000000,,,579924066.000000,91283922580.000000,62042338772.000000,25987205393.000000,33881849368.000000,655359010311.000000,,123147749552.000000,44226165560.000000,35086186637.000000,202460101749.000000,857819112060.000000,,,202684342970.000000,,18307817357.000000,,,18307817357.000000,,,255259046.000000,255259046.000000,97809424252.000000,44105839.000000,,746238584.000000,85521497892.000000,202684342970.000000,9722268940.000000,,169639402.000000,,2600000000.000000,2769639402.000000,6952629538.000000,9722268940.000000,212406611910.000000,,150000000000.000000,327441379389.000000,167888056812.000000,6000000000.000000,161888056812.000000,167888056812.000000,212832035.000000,-129768086.000000,645412500150.000000,857819112060.000000,3000000000.000000
12M 2023,,,171118376320.000000,101785349160.000000,79215907145.000000,,,79215907145.000000,,2529711215.000000,,,2529711215.000000,56241822087.000000,46774965229.000000,91569390918.000000,32415888270.000000,581651410344.000000,,165029602412.000000,44086644389.000000,4854846634.000000,213971093435.000000,795622503779.000000,,,186870697975.000000,,36900774683.000000,,,36900774683.000000,676601302.000000,,,676601302.000000,55472353181.000000,1370032407.000000,279403278.000000,42417568488.000000,49753964636.000000,186870697975.000000,11592854927.000000,,148310112.000000,2145254444.000000,200000000.000000,2493564556.000000,9099290371.000000,11592854927.000000,198463552902.000000,,150000000000.000000,327441379389.000000,120040009604.000000,7000000000.000000,113040009604.000000,120040009604.000000,114753322.000000,-437191438.000000,597158950877.000000,795622503779.000000,3000000000.000000
12M 2024,,,81064760956.000000,88895011304.000000,290183136330.000000,,,290183136330.000000,,1878536536.000000,,,1878536536.000000,19428132500.000000,66528899668.000000,214789781245.000000,127069842878.000000,889838101417.000000,,117210144068.000000,106519076649.000000,3544464161.000000,227273684878.000000,1117111786295.000000,,,333112158509.000000,9742194640.000000,82705064785.000000,,,82705064785.000000,899492835.000000,,,899492835.000000,56149362463.000000,1521766157.000000,110238116.000000,12180059450.000000,169803980063.000000,333112158509.000000,8511731275.000000,,38071996.000000,623488287.000000,,661560283.000000,7850170992.000000,8511731275.000000,341623889784.000000,,150000000000.000000,327441379389.000000,297575235006.000000,8000000000.000000,289575235006.000000,297575235006.000000,529451332.000000,-58169216.000000,775487896511.000000,1117111786295.000000,3000000000.000000
