Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Dari Penghasilan Lainnya,Penerimaan (Pembayaran) Dari Nasabah - Bersih,Pembayaran Untuk Beban Lainnya - Bersih,Penerimaan (Pembayaran) Kepada Nasabah Marjin - Bersih,Penerimaan Dari (Pembayaran Kepada) Lembaga Kliring Dan Penjaminan - Bersih,Pembayaran Beban Usaha,Penerimaan Dari Efek Dibeli Dengan Janji Jual Kembali,Penerimaan Dari Jasa Investment Banking,Penerimaan Dari Pendapatan Tetap,Penerimaan Komisi Perantara Pedagang Efek,Penerimaan Bunga,Penerimaan (Pembayaran) Atas Efek Diperdagangkan,"Penerimaan Jasa Penasehat Keuangan, Penjamin Emisi Dan Arranger",Penjualan Reverse Repo,Penerimaan Dari Instrumen Pendapatan Tetap,Penerimaan Dari Jasa Perantara Pedagang Efek,Penerimaan Bunga Lainnya,Penerimaan Dari Laba Perdagangan Efek - Bersih,Penerimaan Lain-Lain,Piutang Marjin – Pihak Ketiga,Piutang Lembaga Kliring Dan Penjaminan,Piutang Perusahaan Efek,Piutang Nasabah – Pihak Ketiga,Pajak Dibayar Di Muka,Penerimaan Dari Restitusi Pajak,Utang Lembaga Kliring Dan Penjaminan,Utang Nasabah – Pihak Ketiga,Utang Marjin – Pihak Ketiga,Pengeluaran Beban Usaha,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Keuangan Tersedia Dijual,Kenaikan (Penurunan) Dari:,Uang Jaminan,Deposito Yang Dijaminkan,Uang Muka Pembelian Aset Tetap,Total Kenaikan (Penurunan) Dari:,Investasi Jangka Pendek,Investasi Saham,Hasil Penjualan Saham,Aset Keuangan Lancar Lainnya,Investasi Lain- Lain,Kenaikan Aset Tidak Lancar Lain-Lain,Perolehan Aset Tetap,Penerimaan Dari Dividen,Perolehan Aset Hak Guna,Penurunan Aset Tidak Lancar Lain-Lain,Penurunan Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Investasi Jangka Panjang,Penerimaan Atas Pelepasan Entitas Anak,Hasil Pelepasan Saham Oleh Entitas Anak,Tambahan Setoran Modal Oleh Entitas Anak,"Hasil Divestasi Saham Asi, Entitas Anak - Bersih Setelah Kas Dan Setara Kas Asi","Penyertaan Saham Pada Sd, Entitas Anak - Bersih Setelah Kas Dan Setara Kas Sd",Pengalihan Saham Entitas Anak,Penerimaan Dari Penjualan Portofolio Efek,Obligasi,Ekuitas,Total Penerimaan Dari Penjualan Portofolio Efek,Penerimaan Dari Penebusan Promisssory Notes,Penambahan Portofolio Efek - Ekuitas,Total Arus Kas Dari Aktivitas Investasi,Adjustment,Arus Kas Dari Aktivitas Pendanaan,Penurunan Deposito Berjangka Yang Dibatasi Penggunaannya,(Pembayaran) Perolehan Utang Bank Jangka Pendek,Perolehan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Total (Pembayaran) Perolehan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Dividen Tunai,Pembayaran Dividen Tunai Oleh Entitas Anak Kepada Kepentingan Non-Pengendali,Pembayaran Atas Liabilitas Sewa,Penerimaan (Pembayaran) Pembiayaan Nasabah,Penambahan Setoran Modal,Aset Pengampunan Pajak-Entitas Anak,Tambahan Modal Disetor-Pengampunan Pajak,Tambahan Modal Disetor Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Dekonsoliasi Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,11781159174.000000,,,,,,,,,,,9628249990.000000,,,12171832139.000000,6479897880.000000,,344245187.000000,,123135833.000000,1088640342.000000,2985117682.000000,,307628427.000000,18545036486.000000,41446855000.000000,-7750000.000000,19600200054.000000,-9795252.000000,360722410.000000,-30136183500.000000,-32562125640.000000,-22421638822.000000,-13922933909.000000,,-2239975133.000000,11781159174.000000,-666434917.000000,,,,,,,,,,,,,-825134917.000000,,,,,158700000.000000,,,,,,,,,,,,,,-666434917.000000,,46238500.000000,,,,,,,,,,,42035000.000000,,,4203500.000000,46238500.000000,11160962757.000000,,,53211606409.000000,64372569166.000000
12M 2009,23596669354.000000,,,,,,,,,,,22641652.000000,,,17631340379.000000,3053463627.000000,,,,14476666.000000,281819874.000000,4292483083.000000,,638853986.000000,14082200379.000000,-8247893500.000000,7750000.000000,2678673016.000000,,,-1601223000.000000,6020688556.000000,2841168128.000000,-16801105451.000000,,-1318668041.000000,23596669354.000000,-910060164.000000,,,,,,,,,,,,,-1393029489.000000,,,,,62469325.000000,,,,,,,,6432500000.000000,,,6432500000.000000,,-6012000000.000000,-910060164.000000,,,,,,,,,,,,,,,,,,22686609190.000000,,,64372569166.000000,87059178356.000000
12M 2010,-4695612666.000000,,-13958265777.000000,,,,16612356371.000000,-109903129.000000,-61167195727.000000,46463277167.000000,,,,,13485370957.000000,2414511027.000000,-7458031.000000,,-8003011109.000000,,,,,,,,,,,,,,,,,-425294415.000000,-4695612666.000000,-697550122.000000,,,,,,,,,,,,,-884550122.000000,,,,,187000000.000000,,,,,,,,,,,,,,-697550122.000000,,,,,,,,,,,,,,,,,,-5393162788.000000,,,87059178356.000000,81666015568.000000
12M 2011,22620899278.000000,42714615652.000000,-28672035856.000000,,,2410158428.000000,12984622128.000000,,-470008065.000000,-6160643500.000000,,,,,,4603052190.000000,,,,,,,,,,,,,,,,,,,-3850184199.000000,-938677500.000000,22620899278.000000,-64535977631.000000,,,,-8000000000.000000,-5980350753.000000,-13980350753.000000,,,,,,,-10750503509.000000,,,,,,,,,,43039702284.000000,-82844825653.000000,,,,,,,,-64535977631.000000,,5000000000.000000,,8000000000.000000,,,8000000000.000000,-3000000000.000000,,,,,,,,,5000000000.000000,-36915078353.000000,,,81666015568.000000,44750937215.000000
12M 2012,826683763.000000,92738036739.000000,-82969529993.000000,,,319177184.000000,,,,,,,,,,2573190361.000000,,,,,,,,,,,,,,,,,,,-6472011868.000000,-5362178660.000000,826683763.000000,-10805594811.000000,10988778.000000,,-84595496.000000,,-471694132.000000,-556289628.000000,,,,,,,-10260293961.000000,,,,,,,,,,,,,,,,,,,-10805594811.000000,,-27102204181.000000,,20500000000.000000,,,20500000000.000000,-47602204181.000000,,,,,,,,,-27102204181.000000,-37081115229.000000,,,44750937215.000000,7669821986.000000
12M 2013,27811645301.000000,102522267883.000000,,-50555754264.000000,-21368745210.000000,1089858118.000000,,,,,,,,,,2585025330.000000,,,,,,,,,,,,,,,,,,,-2231996910.000000,-4229009646.000000,27811645301.000000,-8424401581.000000,,,-58164028.000000,,-798411949.000000,-856575977.000000,,,,,,,-7567825604.000000,,,,,,,,,,,,,,,,,,,-8424401581.000000,,-6500000000.000000,10000000000.000000,-16500000000.000000,,,-16500000000.000000,,,,,,,,,,-6500000000.000000,12887243720.000000,,,7669821986.000000,20557065706.000000
12M 2014,25779517735.000000,92391967202.000000,,-54973100608.000000,-10935069843.000000,959577605.000000,,,,,,,,,,3709302745.000000,,,,,,,,,,,,,,,,,,,-1169495861.000000,-4203663505.000000,25779517735.000000,-29665441405.000000,,,400670000.000000,,-1016283619.000000,-615613619.000000,-19958900000.000000,,,,,,-9399927786.000000,,,,,309000000.000000,,,,,,,,,,,,,,-29665441405.000000,,10000000000.000000,18000000000.000000,,4000000000.000000,-12000000000.000000,-8000000000.000000,,,,,,,,,,10000000000.000000,6114076330.000000,,,20557065706.000000,26671142036.000000
12M 2015,18401769853.000000,77332760847.000000,,-40905143490.000000,-20170912296.000000,2246457646.000000,,,,,,,,,,2335281965.000000,,,,,,,,,,,,,,,,,,,-46898000.000000,-2389776819.000000,18401769853.000000,-3807324640.000000,,,-495764050.000000,,-1939252240.000000,-2435016290.000000,,,,,,,-1372308350.000000,,,,,,,,,,,,,,,,,,,-3807324640.000000,,16000000000.000000,20000000000.000000,,,-4000000000.000000,-4000000000.000000,,,,,,,,,,16000000000.000000,30594445213.000000,,,16671142036.000000,47265587249.000000
12M 2016,21196320337.000000,84189630471.000000,,-41400616689.000000,-24054991918.000000,2335336368.000000,,,,,,,,,,1889610349.000000,,,,,,,,,,,,,,,,,,,-2102000.000000,-1760546244.000000,21196320337.000000,-26068849511.000000,,,3641367.000000,,-59681000.000000,-56039633.000000,,,,,,,-6012809878.000000,,,,,,-20000000000.000000,,,,,,,,,,,,,-26068849511.000000,,2400000000.000000,,,,,,,,,,,,2000000000.000000,400000000.000000,,2400000000.000000,-2472529174.000000,-1299016.000000,,47265587249.000000,44791759059.000000
12M 2017,27759196515.000000,84108381740.000000,,-35870744795.000000,-24319659741.000000,3273032469.000000,,,,,,,,,,2489626260.000000,,,,,,,,,,,,,,,,,,,-25583736.000000,-1895855682.000000,27759196515.000000,-10000730529.000000,,,,,-1377322070.000000,-1377322070.000000,,,,-4000000000.000000,,,-4623408459.000000,,,,,,,,,,,,,,,,,,,-10000730529.000000,,,,,,,,,,,,,,,,,,17758465986.000000,-1210114.000000,,44791759059.000000,62549014931.000000
12M 2018,24013241213.000000,88075376826.000000,,-34598592735.000000,-31919216646.000000,3378612658.000000,,,,,,,,,,3452206637.000000,,,,,,,,,,,,,,,,,,,-28477297.000000,-4346668230.000000,24013241213.000000,-39159017401.000000,,,,,-1666378612.000000,-1666378612.000000,,-5000000000.000000,,1000000000.000000,-28962000000.000000,-400000.000000,-10508738789.000000,,,,5746000000.000000,232500000.000000,,,,,,,,,,,,,,-39159017401.000000,,,,,,,,,,,,,,,,,,-15145776188.000000,9232203.000000,,62549014931.000000,47412470946.000000
12M 2019,19059282147.000000,85800285812.000000,,-39593229295.000000,-31786251794.000000,4536871382.000000,,,,,,,,,,4388598779.000000,,,,,,,,,,,,,,,,,,,-665184221.000000,-3621808516.000000,19059282147.000000,-1628233185.000000,,,,,-1882686012.000000,-1882686012.000000,,,,3000000000.000000,,,-9203188839.000000,,,-23358334.000000,6435000000.000000,46000000.000000,,,,,,,,,,,,,,-1628233185.000000,,,,,,,,,,,,,,,,,,17431048962.000000,1221880.000000,,47412470946.000000,64844741788.000000
12M 2020,-12558918012.000000,39451068417.000000,,-27568529436.000000,-24124689840.000000,426675743.000000,,,,,,,,,,3919344262.000000,,,,,,,,,,,,,,,,,,,-28793392.000000,-4633993766.000000,-12558918012.000000,26102070386.000000,,,,,-4396415300.000000,-4396415300.000000,,,,,27802000000.000000,,-2261740536.000000,,-252000000.000000,,-5999400000.000000,73000000.000000,,16500000000.000000,-5363373778.000000,,,,,,,,,,,26102070386.000000,,,,,,,,,,,,,,,,,,13543152374.000000,-175687717.000000,-370601730.000000,64844741788.000000,77841604715.000000
12M 2021,1156766570.000000,37202964081.000000,,-39937882675.000000,-6903543759.000000,10371864087.000000,,,,,,,,,,2047161986.000000,,,,,,,,,,,,,,,,,,,-28750423.000000,-1595046727.000000,1156766570.000000,-4343286646.000000,,,,,,,,,,,,,-4343286646.000000,,,,,,,,,,,,,,,,,,,-4343286646.000000,,-252000000.000000,,,,,,,,,-252000000.000000,,,,,,-252000000.000000,-3438520076.000000,-311055202.000000,,77841604715.000000,74092029437.000000
12M 2022,14918731527.000000,56599190815.000000,,-48983914112.000000,-1372538434.000000,4905469901.000000,,,,,,,,,,1768939966.000000,,,,,,,,,,,,,,,,,,,-38356828.000000,2039940219.000000,14918731527.000000,-1492183770.000000,,,,,-210772121.000000,-210772121.000000,,,,,,,-1403991174.000000,,,122579525.000000,,,,,,,,,,,,,,,,-1492183770.000000,,-14905800000.000000,,,,,,,,-14700000000.000000,-205800000.000000,,,,,,-14905800000.000000,-1479252243.000000,1162616794.000000,,74092029437.000000,73775393988.000000
12M 2023,22618042674.000000,78240903984.000000,,-59116218223.000000,-1713060750.000000,3012200878.000000,,,,,,,,,,1175124046.000000,,,,,,,,,,,,,,,,,,,-38795506.000000,1057888245.000000,22618042674.000000,-6605940142.000000,,,,,-1290838151.000000,-1290838151.000000,,,,,,,-5421401991.000000,,,,,106300000.000000,,,,,,,,,,,,,,-6605940142.000000,,-61937417500.000000,,,,,,,-44667417500.000000,-17150000000.000000,-120000000.000000,,,,,,-61937417500.000000,-45925314968.000000,-4098275.000000,,73775393988.000000,27845980745.000000
12M 2024,27194053824.000000,104818186188.000000,,-54920460470.000000,-24932543991.000000,1212672227.000000,,,,,,,,,,1491627181.000000,,,,,,,,,,,,,,,,,,,-39767611.000000,-435659700.000000,27194053824.000000,23529226540.000000,26430000000.000000,,,,-1718047400.000000,-1718047400.000000,,,,,,,-4058739566.000000,2612443506.000000,,,,263570000.000000,,,,,,,,,,,,,,23529226540.000000,,-2195022525.000000,,,,,,,-1340022525.000000,-735000000.000000,-120000000.000000,,,,,,-2195022525.000000,48528257839.000000,12336602.000000,,27845980745.000000,76386575186.000000
