Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Portofolio Efek,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Investasi Jangka Pendek,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,64372569166.000000,399865129.000000,6440000000.000000,16003374000.000000,13189480422.000000,,315943334.000000,,,315943334.000000,,100000.000000,65316012273.000000,166037344324.000000,,,,,12539191788.000000,,1061788000.000000,13600979788.000000,179638324112.000000,,,51031316645.000000,,17701917500.000000,10167334082.000000,,,,,421850237.000000,,,421850237.000000,990372936.000000,1841799149.000000,,,,19908042741.000000,51031316645.000000,883556346.000000,,111577271.000000,,,,,771979075.000000,883556346.000000,51914872991.000000,,89334835000.000000,716892763.000000,34633572783.000000,350000000.000000,34283572783.000000,34633572783.000000,11156734.000000,3026993841.000000,127723451121.000000,179638324112.000000,446674175.000000
12M 2009,,,87059178356.000000,430282272.000000,,24251267500.000000,10510807405.000000,,110643300.000000,,,110643300.000000,,,57332052811.000000,179694231644.000000,,,,,12184435256.000000,5551357.000000,1061788000.000000,13251774613.000000,192946006257.000000,,,57514923478.000000,,16100694500.000000,16188022638.000000,,,,,595264107.000000,,,595264107.000000,653564384.000000,1228166980.000000,,,,22749210869.000000,57514923478.000000,1121681629.000000,,,,,,,1121681629.000000,1121681629.000000,58636605107.000000,,89334835000.000000,716892763.000000,41368100136.000000,360000000.000000,41008100136.000000,41368100136.000000,11711861.000000,2877861389.000000,134309401149.000000,192946006256.000000,446674175.000000
12M 2010,,,81666015568.000000,451961579.000000,,10107211000.000000,27832992653.000000,,22363763.000000,,,22363763.000000,,,56287565184.000000,176368109747.000000,,,,,11078201860.000000,661546212.000000,1387981758.000000,13127729830.000000,189495839577.000000,,,53560952048.000000,,,41881380923.000000,,,,,593263594.000000,,,593263594.000000,332890570.000000,387933682.000000,,,,10365483279.000000,53560952048.000000,2003821998.000000,,,,,,,2003821998.000000,2003821998.000000,55564774046.000000,,89334835000.000000,716892763.000000,42439250945.000000,370000000.000000,42069250945.000000,42439250945.000000,11504911.000000,1428581912.000000,133931065531.000000,189495839577.000000,446674175.000000
12M 2011,,,44750937215.000000,8000000000.000000,,,,3604449714.000000,295178836.000000,,,295178836.000000,818411474.000000,,8076937698.000000,65545914937.000000,,,,,316757212881.000000,,390988778.000000,317148201659.000000,382694116596.000000,,,21039177724.000000,8000000000.000000,,,1667653674.000000,,,1667653674.000000,921868593.000000,,,921868593.000000,2908343525.000000,2452027644.000000,,,,5089284288.000000,21039177724.000000,92438815704.000000,,39063515709.000000,,47602204181.000000,,47602204181.000000,5773095814.000000,92438815704.000000,113477993428.000000,,89334835000.000000,716892763.000000,66762277926.000000,370000000.000000,66392277926.000000,66762277926.000000,112402117479.000000,,269216123168.000000,382694116596.000000,446674175.000000
12M 2012,,,7669821986.000000,38000000000.000000,,,,7100955919.000000,252789425.000000,,,252789425.000000,927380566.000000,,734864207.000000,54685812103.000000,,,,,314836929424.000000,,464595496.000000,315301524920.000000,369987337023.000000,,,45751060426.000000,28500000000.000000,,,3312210490.000000,,,3312210490.000000,2071692784.000000,,,2071692784.000000,1597627459.000000,3149783115.000000,,,,7119746578.000000,45751060426.000000,44474084294.000000,,37510198845.000000,,,,,6963885449.000000,44474084294.000000,90225144720.000000,,89334835000.000000,716892763.000000,72981660989.000000,390000000.000000,72591660989.000000,72981660989.000000,116728803551.000000,,279762192303.000000,369987337023.000000,446674175.000000
12M 2013,,,20557065706.000000,28000000000.000000,,,,2298679741.000000,91526189.000000,,,91526189.000000,1085827472.000000,,1855391532.000000,53888490640.000000,,,,,307256431326.000000,,522759524.000000,307779190850.000000,361667681490.000000,,,23328485734.000000,12000000000.000000,,,4195066094.000000,,,4195066094.000000,833414197.000000,,,833414197.000000,1505811250.000000,1959627067.000000,,,,2834567126.000000,23328485734.000000,45570417258.000000,,37590073247.000000,,,,,7980344011.000000,45570417258.000000,68898902992.000000,,89334835000.000000,716892763.000000,80305836044.000000,400000000.000000,79905836044.000000,80305836044.000000,122411214691.000000,,292768778498.000000,361667681490.000000,446674175.000000
12M 2014,,,26671142036.000000,10000000000.000000,,,,2768998402.000000,220353678.000000,,,220353678.000000,1186504331.000000,,2365520626.000000,43212519073.000000,,,17655950000.000000,,301097244634.000000,,122089524.000000,318875284158.000000,362087803231.000000,,,13507903238.000000,4000000000.000000,,,3321457762.000000,,,3321457762.000000,638291813.000000,,,638291813.000000,1186324682.000000,1585901095.000000,,,,2775927886.000000,13507903238.000000,46847825540.000000,,37557587504.000000,,,,,9290238036.000000,46847825540.000000,60355728778.000000,,89334835000.000000,716892763.000000,87042480650.000000,450000000.000000,86592480650.000000,87042480650.000000,126940816040.000000,-2302950000.000000,301732074453.000000,362087803231.000000,446674175.000000
12M 2015,,,47265587249.000000,,,,,3155531941.000000,489059790.000000,,,489059790.000000,1285874218.000000,,3306740734.000000,55502793932.000000,,,17579185000.000000,,287449492769.000000,,617853574.000000,305646531343.000000,361149325275.000000,,,9550233724.000000,,,,4988617461.000000,,,4988617461.000000,737596199.000000,,,737596199.000000,1035436465.000000,1723761973.000000,,,,1064821626.000000,9550233724.000000,50382020513.000000,,36888503919.000000,,,,,13493516594.000000,50382020513.000000,59932254237.000000,,89334835000.000000,716892763.000000,87620335648.000000,500000000.000000,87120335648.000000,87620335648.000000,125924722627.000000,-2379715000.000000,301217071038.000000,361149325275.000000,446674175.000000
12M 2016,,,44791759059.000000,,,,,2991117568.000000,451621183.000000,,,451621183.000000,1602020957.000000,,1100664639.000000,50937183406.000000,,20000000000.000000,15122705000.000000,,280312298445.000000,,673893207.000000,316108896652.000000,367046080058.000000,,,8462186785.000000,,,,2940647801.000000,,,2940647801.000000,739701125.000000,,,739701125.000000,1023994035.000000,1391924673.000000,,,,2365919151.000000,8462186785.000000,52563245830.000000,,36891271300.000000,,,,,15671974530.000000,52563245830.000000,61025432615.000000,,89334835000.000000,1116892763.000000,90078023211.000000,550000000.000000,89528023211.000000,90078023211.000000,129307091469.000000,-3816195000.000000,306020647443.000000,367046080058.000000,446674175.000000
12M 2017,,,62549014931.000000,,,,,6929033048.000000,747765308.000000,,,747765308.000000,1375203622.000000,,5044834561.000000,76645851470.000000,,20100000000.000000,15583295000.000000,,269920677313.000000,,1966746075.000000,307570718388.000000,384216569858.000000,,,11051282357.000000,,,,3679262085.000000,,,3679262085.000000,869376907.000000,,,869376907.000000,2737574769.000000,1400527051.000000,,,,2364541545.000000,11051282357.000000,55379888422.000000,100000000.000000,36709448912.000000,,,,,18570439510.000000,55379888422.000000,66431170779.000000,,89334835000.000000,1116892763.000000,96077839255.000000,600000000.000000,95477839255.000000,96077839255.000000,134611437061.000000,-3355605000.000000,317785399079.000000,384216569858.000000,446674175.000000
