Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Pendapatan Bunga,Penerimaan Kas Dari Pendapatan Keuangan Lainnya,"Pembayaran Kepada Pemasok, Karyawan Dan Beban Operasional Lainnya",Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga,Pembayaran Beban Keuangan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Tetap,Penjualan Aset Tetap,Penempatan Uang Jaminan,Pencairan Uang Jaminan,Penempatan Investasi Pada Portofolio Efek,Penerimaan Investasi Pada Portofolio Efek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pencairan (Penempatan) Dana Jaminan,Pembayaran Utang Bank,Penerimaan Modal Atas Penawaran Umum Perdana,Penerimaan Modal Disetor,Penerimaan Dari Waran,Pembayaran Deviden,Penerimaan Dari Pihak Berelasi,Pembayaran Ke Pihak Berelasi,Penerimaan Dari Pihak Ketiga,Pembayaran Ke Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Adjusment,Total Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-4182136880.000000,21389724304.000000,1098445231.000000,5150843273.000000,-23028901015.000000,-1555875632.000000,-843689441.000000,-6392683600.000000,-4182136880.000000,-10146955510.000000,-10086093510.000000,,,,-177387200.000000,116525200.000000,-10146955510.000000,17813825549.000000,25166476000.000000,,-15398232918.000000,,,,,8713051727.000000,,,-667469260.000000,17813825549.000000,3484733159.000000,,3484733159.000000,2459690147.000000,5944423306.000000
12M 2021,-223106467.000000,36747084095.000000,968577522.000000,504677545.000000,-33264085380.000000,-1364928077.000000,-836338376.000000,-2978093796.000000,-223106467.000000,-4416743011.000000,-93626877.000000,,,,-89621532051.000000,85298415917.000000,-4416743011.000000,15415953395.000000,3971854000.000000,,-3409150904.000000,,24900941005.000000,,,,-9531844470.000000,,-515846236.000000,15415953395.000000,10776103917.000000,,10776103917.000000,5944423306.000000,16720527223.000000
12M 2022,160757162.000000,58042400319.000000,474754388.000000,804840159.000000,-55549445323.000000,-2229860982.000000,-1381356735.000000,-574664.000000,160757162.000000,630276796.000000,-1194706321.000000,56756757.000000,,,-44785967651.000000,46554194011.000000,630276796.000000,4680542204.000000,41163278000.000000,,-40335473000.000000,,500.000000,,,,-5542120050.000000,9394856754.000000,,4680542204.000000,5471576162.000000,,5471576162.000000,16720527223.000000,22192103385.000000
12M 2023,7707268756.000000,45089064350.000000,39830503.000000,564229758.000000,-32591922949.000000,-1156364517.000000,-2762751760.000000,-1474816629.000000,7707268756.000000,-1304131884.000000,-4256175947.000000,55500000.000000,-197888320.000000,258997858.000000,2835434525.000000,,-1304131884.000000,-26344115644.000000,99490099000.000000,,-82014079000.000000,,,,,,6339321353.000000,,-50159456997.000000,-26344115644.000000,-19940978772.000000,,-19940978772.000000,22192103385.000000,2251124613.000000
12M 2024,11674663118.000000,39815195864.000000,33356420.000000,73856859.000000,-23429096436.000000,-3134964007.000000,-1671886059.000000,-11799523.000000,11674663118.000000,-33866382764.000000,-32792110351.000000,193513474.000000,-1284503136.000000,,16717249.000000,,-33866382764.000000,61456312469.000000,79764370016.000000,,-79987970016.000000,71842897061.000000,,3965408.000000,,,-10166950000.000000,,,61456312469.000000,39264592823.000000,,39264592823.000000,2251124616.000000,41515717439.000000
