Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Portofolio Efek,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Bank Jangka Pendek,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,5944423306.000000,14971337716.000000,5555552200.000000,9415785516.000000,14971337716.000000,36381430.000000,36381430.000000,36381430.000000,297262000.000000,5641962174.000000,911968300.000000,27803334926.000000,,11694250768.000000,4270487584.000000,7423763184.000000,11694250768.000000,879200000.000000,12713570030.000000,98131054.000000,141329070.000000,25526480922.000000,53329815848.000000,,,29762282259.000000,,1159576369.000000,1159576369.000000,597956178.000000,25078698889.000000,2129069924.000000,796980899.000000,29762282259.000000,7576410739.000000,7576410739.000000,7576410739.000000,37338692998.000000,,3692599995.000000,112160000.000000,12140787715.000000,,12140787715.000000,12140787715.000000,,45575140.000000,15991122850.000000,53329815848.000000,1113.000000
12M 2021,,,16720527223.000000,19211940459.000000,6776601638.000000,12435338821.000000,19211940459.000000,47213640.000000,47213640.000000,47213640.000000,4620378134.000000,6552698157.000000,106940427.000000,47259698040.000000,,21731109264.000000,12368340054.000000,9362769210.000000,21731109264.000000,,11677992035.000000,349300433.000000,234928065.000000,33993329797.000000,81253027837.000000,,,30451066843.000000,,2712316221.000000,2712316221.000000,611305579.000000,25641401985.000000,1464035634.000000,22007424.000000,30451066843.000000,1534339736.000000,1534339736.000000,1534339736.000000,31985406579.000000,,41502309520.000000,5307398085.000000,2451041578.000000,,2451041578.000000,2451041578.000000,,6872075.000000,49267621258.000000,81253027837.000000,1934572096.000000
12M 2022,,,22192103385.000000,12880345827.000000,800000000.000000,12080345827.000000,12880345827.000000,36698424.000000,36698424.000000,36698424.000000,2852151774.000000,14551281907.000000,1265844933.000000,53778426250.000000,,18143784323.000000,11765248651.000000,6378535672.000000,18143784323.000000,,11682947645.000000,393769910.000000,258997858.000000,30479499736.000000,84257925986.000000,,,30890286247.000000,,1610368149.000000,1610368149.000000,591916086.000000,28001180000.000000,459705673.000000,227116339.000000,30890286247.000000,1736473723.000000,1736473723.000000,1736473723.000000,32626759970.000000,,41502310020.000000,5307398085.000000,4925627252.000000,200000000.000000,4725627252.000000,4925627252.000000,,-104169341.000000,51631166016.000000,84257925986.000000,2777310591.000000
12M 2023,,,2251124616.000000,6273844442.000000,,6273844442.000000,6273844442.000000,47748198.000000,47748198.000000,47748198.000000,16717249.000000,17450653668.000000,743386322.000000,26783474495.000000,,61952870193.000000,61924705648.000000,28164545.000000,61952870193.000000,,14409706231.000000,530746295.000000,3253279032.000000,80146601751.000000,106930076246.000000,,,47891113389.000000,,256151524.000000,256151524.000000,531647137.000000,45477200000.000000,1615960128.000000,10154600.000000,47891113389.000000,2359093653.000000,2359093653.000000,2359093653.000000,50250207042.000000,,41502310020.000000,5307398085.000000,4925627252.000000,400000000.000000,4756771798.000000,4925627252.000000,,-212237951.000000,51523097406.000000,101773304448.000000,2775310591.000000
12M 2024,,,41515717439.000000,10173263528.000000,,10173263528.000000,10173263528.000000,37503940.000000,37503940.000000,37503940.000000,,16244373991.000000,1532037276.000000,69502896174.000000,,72722457635.000000,72722457635.000000,,72722457635.000000,,99981391861.000000,534995461.000000,1482391456.000000,174721236413.000000,244224132587.000000,,,49731828830.000000,,3053577793.000000,3053577793.000000,594413981.000000,45253600000.000000,830237056.000000,,49731828830.000000,2378408045.000000,2378408045.000000,2378408045.000000,52110236875.000000,,55379347780.000000,63277700554.000000,19194673292.000000,400000000.000000,18794673292.000000,19194673292.000000,,54262174086.000000,192113895712.000000,244224132587.000000,3469162479.000000
