Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,29591947216.000000,-20501570954.000000,9090376262.000000,-4866346967.000000,-3619956640.000000,-1246390327.000000,-4866346967.000000,4224029295.000000,254755790.000000,1098445231.000000,-843689441.000000,254755790.000000,4478785085.000000,-1539056532.000000,-1555875632.000000,16819100.000000,-1539056532.000000,2939728553.000000,,2939728553.000000,58743968.000000,2998472521.000000,2939728553.000000,2939728553.000000,,2939728553.000000,2998472521.000000,2998472521.000000,,2998472521.000000
12M 2021,41762660313.000000,-28929803089.000000,12832857224.000000,-9726160960.000000,-7306914018.000000,-2419246942.000000,-9726160960.000000,3106696264.000000,132239146.000000,968577522.000000,-836338376.000000,132239146.000000,3238935410.000000,-1124674947.000000,-1364928077.000000,240253130.000000,-1124674947.000000,2114260463.000000,,2114260463.000000,-38703065.000000,2075557398.000000,2114260463.000000,2114260463.000000,,2114260463.000000,2075557398.000000,2075557398.000000,,2075557398.000000
12M 2022,51505696772.000000,-37550701615.000000,13954995157.000000,-9526003939.000000,-8021236814.000000,-1504767125.000000,-9526003939.000000,4428991218.000000,-906602347.000000,474754388.000000,-1381356735.000000,-906602347.000000,3522388871.000000,-1047803197.000000,-1060953300.000000,13150103.000000,-1047803197.000000,2474585674.000000,,2474585674.000000,-111041416.000000,2363544258.000000,2474585674.000000,2474585674.000000,,2474585674.000000,2363544258.000000,2363544258.000000,,2363544258.000000
12M 2023,38699524704.000000,-21378656670.000000,17320868034.000000,-7329642354.000000,-6474555483.000000,-855086871.000000,-7329642354.000000,9991225680.000000,-2722921257.000000,39830503.000000,-2762751760.000000,-2722921257.000000,7268304423.000000,-2111532625.000000,-2218028120.000000,106495495.000000,-2111532625.000000,5156771798.000000,,5156771798.000000,-108068610.000000,5048703188.000000,5156771798.000000,5156771798.000000,,5156771798.000000,5048703188.000000,5048703188.000000,,5048703188.000000
12M 2024,43724769550.000000,-23155935511.000000,20568834039.000000,-7643979765.000000,-7053978593.000000,-590001172.000000,-7643979765.000000,12924854274.000000,-1007727652.000000,664158407.000000,-1671886059.000000,-1007727652.000000,11917126622.000000,-2804852380.000000,-2887076720.000000,82224340.000000,-2804852380.000000,9112274242.000000,,9112274242.000000,54474412037.000000,63586686279.000000,9112274242.000000,9112274242.000000,,9112274242.000000,63586686279.000000,63586686279.000000,,63586686279.000000
