Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2018,0.00,16412.18,0.00,16361.80,125 B,231 B,355 B,354 B,(38 B)
12M 2019,0.00,5812.39,0.00,5420.93,171 B,341 B,512 B,512 B,(115 B)
12M 2020,0.00,8466.20,0.00,7377.98,79 B,346 B,425 B,424 B,(85 B)
12M 2021,0.00,408.44,0.00,403.78,63 B,308 B,371 B,295 B,(0 B)
12M 2022,2.55,548.06,2.58,542.07,69 B,260 B,329 B,296 B,35 B
12M 2023,2.48,543.39,2.52,536.10,127 B,336 B,462 B,457 B,(102 B)
12M 2024,1.39,667.82,1.41,661.00,192 B,418 B,610 B,599 B,(239 B)
